2015	AGENCY [COMPANY]	HEADQUARTERS	2015	% CHG
1	Epsilon [Alliance Data Systems Corp.]	Irving, Texas	$1,855,045	3.5
2	Accenture Interactive [Accenture]	New York	1,231,596	70.8
3	Deloitte Digital* [Deloitte]	New York	865,200	NA
4	IBM Interactive Experience* [IBM Corp.]	Armonk, N.Y.	796,800	NA
5	Acxiom Corp.*	Little Rock, Ark.	765,299	7.0
6	Razorfish Global* [Publicis]	New York	651,665	-1.3
7	PwC Digital Services [PwC]	New York	624,000	NA
8	BBDO Worldwide* [Omnicom]	New York	602,798	4.5
9	SapientNitro* [Publicis]	Boston	585,000	1.3
10	McCann* [Interpublic]	New York	561,860	15.9
11	Edelman [DJE Holdings]	Chicago	523,065	8.5
12	J. Walter Thompson Co.* [WPP]	New York	504,176	5.9
13	Leo Burnett Worldwide/Arc* [Publicis]	Chicago	489,369	-1.0
14	Publicis Worldwide* [Publicis]	Paris	487,887	7.5
15	Advantage Marketing Partners [Advantage Solutions]	Irvine, Calif.	480,668	9.2
16	Merkle	Columbia, Md.	464,500	5.8
17	DigitasLBi* [Publicis]	Boston	458,754	3.4
18	Rapp* [Omnicom]	New York	458,040	0.7
19	Y&R* [WPP]	New York	454,575	4.5
20	Weber Shandwick* [Interpublic]	New York	448,691	5.6
21	Experian Marketing Services [Experian]	New York	432,000	-0.2
22	Wunderman* [WPP]	New York	415,743	4.5
23	Harte Hanks*	San Antonio	380,940	-14.3
24	TBWA Worldwide* [Omnicom]	New York	361,661	7.5
25	Havas Worldwide* [Havas]	New York	358,600	4.6
26	FleishmanHillard* [Omnicom]	St. Louis	350,458	-0.6
27	FCB* [Interpublic]	New York	337,838	2.0
28	Grey* [WPP]	New York	336,209	5.8
29	Mindshare Worldwide* [WPP]	New York	331,731	14.5
30	inVentiv Health* [inVentiv Group Holdings]	New York	325,844	8.2
31	Mosaic [Acosta]	Irving, Texas	321,717	5.9
32	DDB Worldwide* [Omnicom]	New York	320,200	11.2
33	OMD Worldwide* [Omnicom]	New York	301,500	12.5
34	Ketchum* [Omnicom]	New York	300,000	10.8
35	OgilvyOne Worldwide* [WPP]	New York	292,500	1.5
36	Starcom USA* [Publicis]	Chicago	289,315	0.9
37	R/GA* [Interpublic]	New York	284,137	10.0
38	Saatchi & Saatchi* [Publicis]	New York	282,000	-2.1
39	Mediavest USA* [Publicis]	New York	272,396	0.8
40	Ogilvy & Mather Advertising* [WPP]	New York	269,620	-1.5
41	Zenith* [Publicis]	New York	266,729	12.9
42	Freeman	Dallas	260,000	5.7
43	MRM//McCann* [Interpublic]	New York	244,900	6.0
44	FCB Health* [Interpublic]	New York	244,825	17.3
45	Novus Media* [Omnicom]	Plymouth, Minn.	237,459	8.1
46	MEC* [WPP]	London	234,878	9.4
47	Horizon Media*	New York	225,000	20.3
48	iCrossing* [Hearst Corp.]	New York	224,940	20.0
49	Wieden & Kennedy*	Portland, Ore.	219,000	6.3
50	MarketStar* [Omnicom]	Ogden, Utah	217,680	0.7
51	Burson-Marsteller* [WPP]	New York	217,467	3.6
52	MediaCom* [WPP]	New York	211,050	20.5
53	Deutsch* [Interpublic]	New York	208,680	11.0
54	McGarryBowen* [Dentsu]	New York	196,000	-2.0
55	Havas Health* [Havas]	New York	195,500	3.7
56	Catapult [Alliance Data Systems Corp.]	Westport, Conn.	195,420	14.1
57	Marketing Arm* [Omnicom]	Dallas	193,000	17.0
58	Richards Group	Dallas	190,000	2.2
59	VML* [WPP]	Kansas City, Mo.	183,000	11.6
60	Hill Holliday Group* [Interpublic]	Boston	178,630	-6.2
61	Huge* [Interpublic]	Brooklyn, N.Y.	177,300	4.9
62	Geometry Global* [WPP]	New York	174,556	-8.3
63	MSL Group* [Publicis]	Paris	172,732	5.0
64	George P. Johnson [Project WorldWide]	Auburn Hills, Mich.	168,779	13.5
65	360i* [Dentsu]	New York	168,200	17.5
66	ICF Olson [ICF International]	Minneapolis	165,000	NA
67	AKQA* [WPP]	London	163,000	8.7
68	Carat* [Dentsu]	London	157,088	-3.0
69	Ogilvy CommonHealth Worldwide* [WPP]	Parsippany, N.J.	155,144	6.6
70	Interbrand* [Omnicom]	New York	154,200	7.7
71	Match Marketing Group	Mississauga, Ontario	153,247	13.3
72	Possible* [WPP]	Seattle	153,000	10.0
73	MullenLowe* [Interpublic]	Boston	152,395	9.0
74	Integer Group* [Omnicom]	Lakewood, Colo.	149,910	-5.0
75	CP&B* [MDC Partners]	Boulder, Colo.	148,407	0.0
76	Maxus* [WPP]	New York	147,751	40.0
77	Havas Media Group* [Havas]	Puteaux, France	146,991	NA
78	Hill&Knowlton Strategies* [WPP]	New York	143,276	3.5
79	GMR Marketing* [Omnicom]	New Berlin, Wis.	138,713	0.7
80	UM* [Interpublic]	New York	134,599	6.3
81	Zimmerman Advertising* [Omnicom]	Fort Lauderdale, Fla.	133,876	10.0
82	Organic* [Omnicom]	New York	131,262	3.0
83	Cramer-Krasselt	Chicago	131,149	-9.8
84	Momentum Worldwide* [Interpublic]	New York	127,536	0.9
85	Martin Agency* [Interpublic]	Richmond, Va.	126,008	4.2
86	Droga5	New York	126,000	61.5
87	72andSunny* [MDC Partners]	Playa Vista, Calif.	124,432	20.6
88	Octagon* [Interpublic]	Norwalk, Conn.	124,291	0.3
89	Ansira	St. Louis	124,041	7.9
90	Meredith Xcelerated Marketing [Meredith Corp.]	Des Moines, Iowa	124,000	-5.3
91	Proximity* [Omnicom]	New York	123,449	3.0
92	Golin* [Interpublic]	Chicago	123,401	7.9
93	OMG Entertainment & Sports* [Omnicom]	New York	123,066	25.0
94	Trailer Park [Engine Group]	Los Angeles	123,000	7.0
95	Jack Morton Worldwide* [Interpublic]	Boston	122,180	-3.3
96	Ogilvy Public Relations* [WPP]	New York	121,000	4.9
96	Critical Mass* [Omnicom]	Calgary, Canada	121,000	17.5
98	GHG/GreyHealth Group* [WPP]	New York	120,000	10.0
99	Gyro*	New York	117,000	2.6
100	KBS* [MDC Partners]	New York	115,154	11.0
101	Digitas Health LifeBrands* [Publicis]	Philadelphia	115,000	0.0
102	RPA	Santa Monica, Calif.	113,000	7.6
103	CDM New York* [Omnicom]	New York	112,326	10.0
104	Moxie* [Publicis]	Atlanta	110,247	-8.9
105	Assembly* [MDC Partners]	New York	110,175	12.0
106	Initiative* [Interpublic]	New York	109,721	5.0
107	Klick	Toronto	109,152	8.1
108	McCann Health* [Interpublic]	New York	108,624	14.1
109	TBWA/WorldHealth* [Omnicom]	New York	108,078	-1.1
110	Isobar* [Dentsu]	London	107,010	23.0
111	Campbell Ewald* [Interpublic]	Detroit	103,767	-8.5
112	Sudler & Hennessey* [WPP]	New York	103,430	6.6
113	Arnold Worldwide* [Havas]	Boston	102,500	7.9
114	Intouch Solutions	Overland Park, Kan.	101,765	32.5
115	Goodby, Silverstein & Partners* [Omnicom]	San Francisco	99,607	-8.3
116	Harrison & Star* [Omnicom]	New York	96,684	8.5
117	Cohn & Wolfe* [WPP]	New York	96,423	16.3
118	TracyLocke* [Omnicom]	Dallas	96,252	0.7
119	Doner* [MDC Partners]	Southfield, Mich.	95,475	-8.6
120	PHD* [Omnicom]	New York	95,340	0.0
121	iProspect* [Dentsu]	Boston	94,726	-2.0
122	Derse*	Milwaukee	94,478	2.5
123	Team One* [Publicis]	Los Angeles	92,466	14.0
124	Huntsworth Health* [Huntsworth]	Yardley, Pa.	92,065	24.1
125	TMP Worldwide Advertising & Communications	New York	91,816	6.1
126	Innocean Worldwide	Huntington Beach, Calif.	91,270	4.6
127	Group360 Worldwide*	St. Louis	90,000	12.5
128	W2O Group	San Francisco	88,468	16.9
129	Brunswick Group*	London	88,250	25.0
130	EPAM Systems	Newtown, Pa.	85,754	15.9
131	Javelin Marketing Group* [Omnicom]	Irving, Texas	85,450	6.7
132	Wasserman Media Group*	Los Angeles	85,280	19.6
133	Targetbase* [Omnicom]	Irving, Texas	84,117	0.7
134	MRY* [Publicis]	New York	84,000	-16.0
135	GSD&M* [Omnicom]	Austin, Texas	83,050	-1.0
136	Spark* [Publicis]	Chicago	82,777	17.6
137	Global Experience Specialists* [Viad Corp.]	Las Vegas	82,520	-0.5
138	Mirum* [WPP]	New York	82,251	9.7
139	Porter Novelli* [Omnicom]	New York	81,893	-0.6
140	MKTG* [Dentsu]	New York	81,615	10.0
141	WE Communications	Bellevue, Wash.	80,044	-8.6
142	Landor* [WPP]	San Francisco	80,000	3.7
143	Blast Radius* [WPP]	Vancouver, British Columbia	79,943	4.5
144	Resolution Media* [Omnicom]	Chicago	78,412	30.3
145	22squared	Atlanta	76,646	2.0
146	Periscope	Minneapolis	74,380	7.0
147	VSA Partners	Chicago	73,769	-7.6
148	Ivie & Associates	Flower Mound, Texas	72,809	26.0
149	SourceLink	Itasca, Ill.	72,800	9.0
150	AbelsonTaylor	Chicago	72,092	13.2
151	Merkley & Partners* [Omnicom]	New York	71,000	6.2
152	OMG Outdoor Media Group* [Omnicom]	New York	70,102	8.1
153	HelloWorld*	Southfield, Mich.	70,000	0.0
154	Optimedia International U.S.* [Publicis]	New York	69,791	12.8
155	FTI Consulting (Strategic Communications)*	New York	67,828	5.6
156	SMG Performance Marketing* [Publicis]	Chicago	67,038	11.8
157	Finn Partners	New York	66,634	5.5
158	Apco Worldwide	Washington	66,152	-4.2
159	DDB Health/DDB Remedy* [Omnicom]	New York	66,037	8.5
160	Marketing Store	Chicago	65,897	14.6
161	Team* [MDC Partners]	Fort Lauderdale, Fla.	65,000	0.0
162	Tribal Worldwide* [Omnicom]	New York	64,900	9.1
163	PMK-BNC* [Interpublic]	West Hollywood, Calif.	63,503	15.5
164	PureRed	Stone Mountain, Ga.	63,153	15.9
165	Anomaly* [MDC Partners]	New York	62,343	21.0
166	Glover Park Group* [WPP]	Washington	61,934	0.0
167	Saatchi & Saatchi Wellness* [Publicis]	New York	61,905	19.0
168	Moroch Partners	Dallas	61,519	11.6
169	Neo@Ogilvy* [WPP]	New York	61,164	19.4
170	Acronym	New York	60,850	21.2
171	Siegel & Gale* [Omnicom]	New York	59,504	19.0
172	Performics* [Publicis]	Chicago	58,460	20.0
173	Code and Theory	New York	58,000	NA
174	Allen & Gerritsen	Boston	57,436	0.0
175	CDMiConnect* [Omnicom]	New York	56,591	12.1
176	Rauxa	Costa Mesa, Calif.	56,460	-5.3
177	ICR	New York	56,209	10.8
178	Havas PR* [Havas]	New York	55,800	NA
179	Mars Agency	Southfield, Mich.	55,009	1.4
180	Rockfish* [WPP]	Rogers, Ark.	55,000	41.0
181	Deep Focus [Engine Group]	New York	54,783	19.2
182	MWWPR*	New York	54,000	0.9
183	Marketing Werks*	Chicago	53,976	-11.1
184	Barkley	Kansas City, Mo.	53,790	15.6
185	Fusion Marketing	St. Louis	53,600	7.2
186	TPN* [Omnicom]	Dallas	53,370	7.8
187	Sard Verbinnen & Co.*	New York	51,830	8.9
188	Healthcare Consultancy Group* [Omnicom]	New York	51,232	5.7
189	Essence* [WPP]	London	50,903	32.2
190	Paradysz & PM Digital	New York	50,202	9.5
191	Brierley & Partners*	Plano, Texas	50,000	11.1
191	Publicis Life Brands Medicus* [Publicis]	New York	50,000	0.0
