,AGENCY-COMPANY,HEADQUARTERS,2012-REVENUE,% CHG,AGENCY-NAME,AGENCY-OWNER
0,Epsilon* [Alliance Data Systems Corp.],"Irving, Texas",1060568000,7.3,Epsilon ,Alliance Data Systems Corp.
1,Acxiom Corp.,"Little Rock, Ark.",677954000,3.3,Acxiom Corp.,Independent
2,BBDO Worldwide* [Omnicom],New York,540788000,9.3,BBDO Worldwide ,Omnicom
3,SapientNitro* [Sapient Corp.],Boston,497000000,10.3,SapientNitro ,Sapient Corp.
4,Leo Burnett Worldwide/Arc* [Publicis],Chicago,471450000,5.0,Leo Burnett Worldwide/Arc ,Publicis
5,DraftFCB* [Interpublic],New York,443051000,-15.9,DraftFCB ,Interpublic
6,McCann Erickson Worldwide* [Interpublic],New York,426929000,-5.1,McCann Erickson Worldwide ,Interpublic
7,Rapp* [Omnicom],New York,423454000,1.6,Rapp ,Omnicom
8,DigitasLBi* [Publicis],Boston,407200000,1.8,DigitasLBi ,Publicis
9,Edelman [DJE Holdings],Chicago,406253000,6.0,Edelman ,DJE Holdings
10,Experian Marketing Services [Experian],New York,395000000,,Experian Marketing Services ,Experian
11,Razorfish* [Publicis],New York,390000000,18.2,Razorfish ,Publicis
12,Y&R* [WPP],New York,388500000,5.0,Y&R ,WPP
13,Weber Shandwick* [Interpublic],New York,366210000,3.4,Weber Shandwick ,Interpublic
14,Wunderman* [WPP],New York,354500000,4.0,Wunderman ,WPP
15,JWT* [WPP],New York,351200000,1.9,JWT ,WPP
16,IBM Interactive* [IBM Corp.],Chicago,343350000,,IBM Interactive ,IBM Corp.
17,inVentiv Health Communications*,New York,341500000,,inVentiv Health Communications,Independent
18,Fleishman-Hillard* [Omnicom],St. Louis,325000000,4.7,Fleishman-Hillard ,Omnicom
19,TBWA Worldwide* [Omnicom],New York,321263000,3.3,TBWA Worldwide ,Omnicom
20,Havas Worldwide* [Havas],New York,313457000,,Havas Worldwide ,Havas
21,Merkle,"Columbia, Md.",298700000,4.8,Merkle,Independent
22,DDB Worldwide* [Omnicom],New York,263684000,2.2,DDB Worldwide ,Omnicom
23,Publicis USA* [Publicis],New York,260000000,2.6,Publicis USA ,Publicis
24,OgilvyOne Worldwide* [WPP],New York,258691000,8.0,OgilvyOne Worldwide ,WPP
25,Starcom USA* [Publicis],Chicago,258263000,3.0,Starcom USA ,Publicis
26,Rosetta* [Publicis],"Hamilton, N.J.",257500000,3.0,Rosetta ,Publicis
27,Grey* [WPP],New York,252100000,9.6,Grey ,WPP
28,Saatchi & Saatchi* [Publicis],New York,249757000,6.0,Saatchi & Saatchi ,Publicis
29,Ogilvy & Mather Advertising* [WPP],New York,230200000,8.4,Ogilvy & Mather Advertising ,WPP
30,Ketchum* [Omnicom],New York,228425000,,Ketchum ,Omnicom
31,OMD Worldwide* [Omnicom],New York,228141000,9.0,OMD Worldwide ,Omnicom
32,R/GA* [Interpublic],New York,227000000,3.2,R/GA ,Interpublic
33,GSI Marketing Services* [eBay],"King of Prussia, Pa.",222000000,9.4,GSI Marketing Services ,eBay
34,MRM* [Interpublic],New York,220746000,5.6,MRM ,Interpublic
35,Burson-Marsteller* [WPP],New York,210000000,5.0,Burson-Marsteller ,WPP
36,Zenith Media USA* [Publicis],New York,200895000,13.5,Zenith Media USA ,Publicis
37,McGarryBowen* [Dentsu],New York,200000000,21.2,McGarryBowen ,Dentsu
38,MediaVest USA* [Publicis],New York,193640000,9.9,MediaVest USA ,Publicis
39,Mindshare Worldwide* [WPP],New York,193240000,2.5,Mindshare Worldwide ,WPP
40,Hill Holliday* [Interpublic],Boston,184000000,5.7,Hill Holliday ,Interpublic
41,Havas Health* [Havas],New York,183700000,7.7,Havas Health ,Havas
42,Deutsch* [Interpublic],New York,181053000,3.0,Deutsch ,Interpublic
43,Richards Group,Dallas,180000000,4.0,Richards Group,Independent
44,Wieden & Kennedy*,"Portland, Ore.",179675000,5.6,Wieden & Kennedy,Independent
45,iCrossing* [Hearst Corp.],New York,177100000,10.0,iCrossing ,Hearst Corp.
46,"Goodby, Silverstein & Partners* [Omnicom]",San Francisco,170000000,-12.0,"Goodby, Silverstein & Partners ",Omnicom
47,Integer Group* [Omnicom],"Lakewood, Colo.",165950000,11.0,Integer Group ,Omnicom
48,MEC* [WPP],New York,160169000,-3.0,MEC ,WPP
49,Cramer-Krasselt,Chicago,156562000,2.6,Cramer-Krasselt,Independent
50,MarketStar* [Omnicom],"Ogden, Utah",155843000,9.7,MarketStar ,Omnicom
51,George P. Johnson [Project WorldWide],"Auburn Hills, Mich.",148736000,1.9,George P. Johnson ,Project WorldWide
52,Meredith Xcelerated Marketing [Meredith Corp.],New York,143000000,-15.4,Meredith Xcelerated Marketing ,Meredith Corp.
53,CP&B* [MDC Partners],"Boulder, Colo.",142322000,-5.8,CP&B ,MDC Partners
54,Acquity Group,Chicago,141011000,32.2,Acquity Group,Independent
55,Martin Agency* [Interpublic],"Richmond, Va.",141000000,-6.0,Martin Agency ,Interpublic
56,The Agency Inside Harte-Hanks [Harte-Hanks],"Yardley, Pa.",140001000,-3.5,The Agency Inside Harte-Hanks ,Harte-Hanks
57,Momentum Worldwide* [Interpublic],New York,136149000,13.5,Momentum Worldwide ,Interpublic
58,DraftFCB Healthcare* [Interpublic],New York,133420000,-2.4,DraftFCB Healthcare ,Interpublic
59,Ogilvy CommonHealth Worldwide* [WPP],"Parsippany, N.J.",133400000,-11.1,Ogilvy CommonHealth Worldwide ,WPP
60,Ogilvy Public Relations* [WPP],New York,131000000,2.3,Ogilvy Public Relations ,WPP
61,Interbrand* [Omnicom],New York,128000000,2.0,Interbrand ,Omnicom
62,Carat* [Dentsu],New York,127920000,30.0,Carat ,Dentsu
63,Horizon Media*,New York,127500000,13.9,Horizon Media,Independent
64,RPA,"Santa Monica, Calif.",127000000,3.8,RPA,Independent
65,Hill & Knowlton Strategies* [WPP],New York,126250000,1.0,Hill & Knowlton Strategies ,WPP
66,Organic* [Omnicom],San Francisco,123000000,0.0,Organic ,Omnicom
67,Campbell Ewald* [Interpublic],"Warren, Mich.",121000000,2.5,Campbell Ewald ,Interpublic
68,Zimmerman Advertising* [Omnicom],"Fort Lauderdale, Fla.",120500000,10.6,Zimmerman Advertising ,Omnicom
69,Mullen* [Interpublic],Boston,119367000,12.0,Mullen ,Interpublic
70,GMR Marketing* [Omnicom],"New Berlin, Wis.",117555000,17.6,GMR Marketing ,Omnicom
71,UM* [Interpublic],New York,117433000,-1.7,UM ,Interpublic
72,360i* [Dentsu],New York,116000000,12.1,360i ,Dentsu
73,AKQA* [WPP],San Francisco,114400000,10.0,AKQA ,WPP
74,MediaCom* [WPP],New York,114298000,0.0,MediaCom ,WPP
75,Jack Morton Worldwide* [Interpublic],Boston,113000000,18.1,Jack Morton Worldwide ,Interpublic
76,Arnold Worldwide* [Havas],Boston,112148000,5.8,Arnold Worldwide ,Havas
77,Proximity Worldwide* [Omnicom],New York,111208000,10.0,Proximity Worldwide ,Omnicom
78,MSL Group* [Publicis],Paris,111026000,,MSL Group ,Publicis
79,Deloitte Digital* [Deloitte Touche Tohmatsu],Seattle,110000000,,Deloitte Digital ,Deloitte Touche Tohmatsu
80,Digitas Health* [Publicis],Philadelphia,110000000,-4.3,Digitas Health ,Publicis
81,VML* [WPP],"Kansas City, Mo.",107100000,1.2,VML ,WPP
82,Marketing Arm* [Omnicom],Dallas,106713000,10.0,Marketing Arm ,Omnicom
83,G2* [WPP],New York,105307000,-10.8,G2 ,WPP
84,Gyro*,New York,105000000,9.1,Gyro,Independent
85,GolinHarris* [Interpublic],Chicago,104967000,,GolinHarris ,Interpublic
86,Publicis Modem* [Publicis],Paris,102900000,5.0,Publicis Modem ,Publicis
87,TracyLocke* [Omnicom],Dallas,102000000,2.0,TracyLocke ,Omnicom
88,Waggener Edstrom Worldwide,"Bellevue, Wash.",101352000,0.8,Waggener Edstrom Worldwide,Independent
89,CDM New York* [Omnicom],New York,100000000,-9.1,CDM New York ,Omnicom
90,McCann Health* [Interpublic],New York,100000000,4.4,McCann Health ,Interpublic
91,Goodness Mfg./Trailer Park,Los Angeles,98500000,8.2,Goodness Mfg./Trailer Park,Independent
92,CatapultRPM* [Alliance Data Systems Corp.],"Westport, Conn.",98142000,7.7,CatapultRPM ,Alliance Data Systems Corp.
93,Octagon* [Interpublic],"Norwalk, Conn.",97308000,11.0,Octagon ,Interpublic
94,Initiative* [Interpublic],New York,94472000,0.8,Initiative ,Interpublic
95,MRY* [Publicis],New York,94000000,18.3,MRY ,Publicis
96,Roundarch Isobar* [Dentsu],Chicago,93400000,16.3,Roundarch Isobar ,Dentsu
97,KBS+* [MDC Partners],New York,93322000,2.0,KBS+ ,MDC Partners
98,Critical Mass* [Omnicom],Chicago,93000000,1.1,Critical Mass ,Omnicom
99,Sudler & Hennessey* [WPP],New York,93000000,1.1,Sudler & Hennessey ,WPP
100,McMurry/TMG,New York,90954000,18.4,McMurry/TMG,Independent
101,Hawkeye [Hawkeye Group],Dallas,90530000,6.0,Hawkeye ,Hawkeye Group
102,Doner* [MDC Partners],"Southfield, Mich.",90002000,,Doner ,MDC Partners
103,Possible* [WPP],New York,90000000,7.0,Possible ,WPP
104,Porter Novelli* [Omnicom],New York,87834000,0.0,Porter Novelli ,Omnicom
105,Huge* [Interpublic],"Brooklyn, N.Y.",87263000,16.2,Huge ,Interpublic
106,Ansira,St. Louis,86196000,9.4,Ansira,Independent
107,Havas Media* [Havas],New York,85500000,7.8,Havas Media ,Havas
108,PHD* [Omnicom],New York,84748000,11.6,PHD ,Omnicom
109,TMP Worldwide Advertising & Communications [TMP Worldwide],New York,84407000,5.7,TMP Worldwide Advertising & Communications ,TMP Worldwide
110,OMG Entertainment & Sports* [Omnicom],New York,84094000,4.5,OMG Entertainment & Sports ,Omnicom
111,Olson,Minneapolis,83212000,0.5,Olson,Independent
112,Targetbase* [Omnicom],"Irving, Texas",82432000,0.2,Targetbase ,Omnicom
113,Landor Associates* [WPP],San Francisco,81000000,1.3,Landor Associates ,WPP
114,MediaWhiz [Matomy Media Group],New York,79619000,-30.3,MediaWhiz ,Matomy Media Group
115,Derse*,Milwaukee,77919000,28.5,Derse,Independent
116,Brunswick Group*,London,76100000,7.9,Brunswick Group,Independent
117,Cohn & Wolfe* [WPP],New York,76000000,1.5,Cohn & Wolfe ,WPP
118,Apco Worldwide,Washington,75255000,3.2,Apco Worldwide,Independent
119,SourceLink,"Itasca, Ill.",75100000,10.9,SourceLink,Independent
120,AbelsonTaylor,Chicago,74368000,-4.0,AbelsonTaylor,Independent
121,Moxie* [Publicis],Atlanta,71300000,-0.3,Moxie ,Publicis
122,Brierley & Partners* [WPP],"Plano, Texas",70000000,16.7,Brierley & Partners ,WPP
123,Match Marketing Group,"Mississauga, Ontario",67250000,17.0,Match Marketing Group,Independent
124,GSD&M* [Omnicom],"Austin, Texas",67000000,-1.5,GSD&M ,Omnicom
125,22squared,Atlanta,66657000,3.1,22squared,Independent
126,FTI Consulting* (Strategic Communications),New York,66351000,-7.5,FTI Consulting (Strategic Communications),Independent
127,ePrize,"Pleasant Ridge, Mich.",65221000,21.3,ePrize,Independent
128,Group360 Worldwide,St. Louis,65000000,44.4,Group360 Worldwide,Independent
129,Parago,"Lewisville, Texas",64097000,2.6,Parago,Independent
130,GlobalHue*,"Southfield, Mich.",63925000,-2.1,GlobalHue,Independent
131,Team Enterprises* [MDC Partners],"Fort Lauderdale, Fla.",63600000,6.0,Team Enterprises ,MDC Partners
132,Maxus* [WPP],New York,63338000,85.0,Maxus ,WPP
133,CAHG* [Omnicom],Chicago,63000000,-5.3,CAHG ,Omnicom
134,Harrison & Star* [Omnicom],New York,62852000,-2.1,Harrison & Star ,Omnicom
135,Team One* [Publicis],"El Segundo, Calif.",62477000,7.0,Team One ,Publicis
136,Klick Health [Klick Inc.],Toronto,62425000,26.9,Klick Health ,Klick Inc.
137,iProspect* [Dentsu],Boston,62400000,6.3,iProspect ,Dentsu
138,Resource,"Columbus, Ohio",62000000,3.3,Resource,Independent
139,Glover Park Group* [WPP],Washington,61934000,3.2,Glover Park Group ,WPP
140,ICC Lowe* [Interpublic],"Parsippany, N.J.",61300000,-8.0,ICC Lowe ,Interpublic
141,Optimedia International U.S.* [Publicis],New York,61200000,27.5,Optimedia International U.S. ,Publicis
142,DDB Health/DDB Remedy* [Omnicom],New York,60000000,0.0,DDB Health/DDB Remedy ,Omnicom
143,Huntsworth Health* [Huntsworth],"Yardley, Pa.",59788000,14.6,Huntsworth Health ,Huntsworth
144,TBA Global,New York,59000000,13.5,TBA Global,Independent
145,Merkley & Partners* [Omnicom],New York,58800000,12.0,Merkley & Partners ,Omnicom
146,Global Experience Specialists* [Viad Corp.],Las Vegas,58700000,2.3,Global Experience Specialists ,Viad Corp.
147,PureRed,"Stone Mountain, Ga.",58686000,14.0,PureRed,Independent
148,Blast Radius* [WPP],New York,58000000,1.0,Blast Radius ,WPP
149,Saatchi & Saatchi Health & Wellness* [Publicis],New York,58000000,-17.7,Saatchi & Saatchi Health & Wellness ,Publicis
150,Periscope,Minneapolis,57872000,12.4,Periscope,Independent
151,Siegel & Gale* [Omnicom],New York,57743000,1.7,Siegel & Gale ,Omnicom
152,Tribal Worldwide* [Omnicom],New York,57573000,4.5,Tribal Worldwide ,Omnicom
153,W2O Group,San Francisco,56097000,26.1,W2O Group,Independent
154,Rauxa*,"Costa Mesa, Calif.",55336000,30.1,Rauxa,Independent
155,PlattForm Advertising,"Lenexa, Kan.",54569000,,PlattForm Advertising,Independent
156,Pacific Communications,"Costa Mesa, Calif.",53520000,8.6,Pacific Communications,Independent
157,VivaKi* [Publicis],Chicago,53025000,,VivaKi ,Publicis
158,Moroch Partners,Dallas,52906000,14.5,Moroch Partners,Independent
159,GMMB* [Omnicom],Washington,52000000,26.8,GMMB ,Omnicom
160,Javelin Marketing Group* [Omnicom],"Irving, Texas",52000000,4.0,Javelin Marketing Group ,Omnicom
161,OgilvyAction* [WPP],New York,51400000,6.9,OgilvyAction ,WPP
162,Intouch Solutions,"Overland Park, Kan.",51188000,30.7,Intouch Solutions,Independent
163,OMG Outdoor Media Group* [Omnicom],New York,50400000,4.5,OMG Outdoor Media Group ,Omnicom
164,Ivie & Associates,"Flower Mound, Texas",50380000,19.5,Ivie & Associates,Independent
165,72andSunny Partners* [MDC Partners],Los Angeles,50356000,65.5,72andSunny Partners ,MDC Partners
166,R2C Group,"Portland, Ore.",46558000,-5.7,R2C Group,Independent
167,R&R Partners,Las Vegas,46494000,13.0,R&R Partners,Independent
168,Campbell Mithun* [Interpublic],Minneapolis,46000000,,Campbell Mithun ,Interpublic
169,Havas PR* [Havas],New York,45990000,2.2,Havas PR ,Havas
170,MWW Group,"East Rutherford, N.J.",45908000,11.3,MWW Group,Independent
171,Publicis Life Brands Medicus* [Publicis],New York,45000000,-26.2,Publicis Life Brands Medicus ,Publicis
172,Marketing Store,Chicago,44822000,-18.6,Marketing Store,Independent
173,Wasserman Media Group*,Los Angeles,43753000,11.0,Wasserman Media Group,Independent
174,Neo@Ogilvy* [WPP],New York,43700000,-11.2,Neo@Ogilvy ,WPP
175,Bernstein-Rein Advertising,"Kansas City, Mo.",43026000,-0.2,Bernstein-Rein Advertising,Independent
176,Russ Reid Co.* [Omnicom],"Pasadena, Calif.",42320000,7.1,Russ Reid Co. ,Omnicom
177,CementBloc,New York,41600000,-1.5,CementBloc,Independent
178,MKTG,New York,41581000,12.8,MKTG,Independent
179,Band Digital*,Chicago,41210000,0.0,Band Digital,Independent
180,U.S. International Media*,Los Angeles,41163000,7.1,U.S. International Media,Independent
181,Paradysz,New York,41043000,8.5,Paradysz,Independent
182,BFG Communications,"Bluffton, S.C.",41033000,11.6,BFG Communications,Independent
183,AgencyRx* [Omnicom],New York,41000000,-2.4,AgencyRx ,Omnicom
184,Carmichael Lynch* [Interpublic],Minneapolis,41000000,,Carmichael Lynch ,Interpublic
185,GHG* [WPP],New York,41000000,-8.5,GHG ,WPP
186,Grayling* [Huntsworth],London,40880000,-12.9,Grayling ,Huntsworth
187,Fallon* [Publicis],Minneapolis,40479000,-10.3,Fallon ,Publicis
188,Performics* [Publicis],Chicago,40460000,19.0,Performics ,Publicis
189,Kekst & Co.* [Publicis],New York,40319000,,Kekst & Co. ,Publicis
190,Water Cooler Group*,"Norwalk, Conn.",40000000,,Water Cooler Group,Independent
191,Hacker Group* [Interpublic],Seattle,39936000,-4.0,Hacker Group ,Interpublic
