AGENCY-COMPANY,HEADQUARTERS,2010-REVENUE,% CHG
Acxiom Corp.,"Little Rock, Ark.","623,000",-2.4
Epsilon [Alliance Data Systems Corp.],"Irving, Texas","584,400",19.8
DraftFCB* [Interpublic (DraftFCB)],Chicago/New York,"530,000",7.1
McCann Erickson Worldwide* [Interpublic (McCann)],New York,"456,863",1.5
BBDO Worldwide* [Omnicom (BBDO)],New York,"450,000",3.2
Leo Burnett Worldwide/Arc* [Publicis (Leo Burnett)],Chicago,"441,013",7.5
Rapp* [Omnicom (DDB {Rapp})],New York,"376,500",10.7
JWT* [WPP (JWT)],New York,"356,245",9.6
SapientNitro [Sapient Corp.],Boston,"350,000",35.1
Edelman [Daniel J. Edelman],Chicago,"338,090",17.9
Euro RSCG Worldwide* [Havas (Euro RSCG)],New York,"337,203",3.5
Digitas* [Publicis (Digitas)],Boston,"331,800",12.5
Wunderman* [WPP (Y&R {Wunderman})],New York,"324,530",8.8
Weber Shandwick* [Interpublic (McCann)],New York,"320,000",10
Razorfish* [Publicis (Razorfish)],Seattle,"317,000",6.4
Y&R* [WPP (Y&R)],New York,"304,000",6.3
Fleishman-Hillard* [Omnicom],St. Louis,"294,000",8.1
inVentiv Health* [inVentiv Group Holdings],"Westerville, Ohio","269,425",16.5
Carlson Marketing* [Groupe Aeroplan],Minneapolis,"266,251",4
DDB Worldwide* [Omnicom (DDB)],New York,"263,550",5
TBWA Worldwide* [Omnicom (TBWA)],New York,"260,000",4
Merkle,"Columbia, Md.","254,000",13.9
OgilvyOne Worldwide* [WPP (O&M)],New York,"251,000",13.1
Aspen Marketing Services,"West Chicago, Ill.","244,334",8.4
IBM Interactive* [IBM Corp.],Chicago,"233,600",10.9
Starcom USA* [Publicis (SMG)],Chicago,"225,000",9
Rosetta,"Hamilton, N.J.","218,394",23.1
Saatchi & Saatchi* [Publicis (Saatchi)],New York,"214,200",2
Burson-Marsteller* [WPP (Y&R {Burson-Marsteller})],New York,"200,000",6.7
Grey* [WPP (Grey)],New York,"191,400",6.3
Hill & Knowlton* [WPP],New York,"190,000",2.7
Ketchum* [Omnicom],New York,"185,000",6.3
OMD Worldwide* [Omnicom (OMG)],New York,"183,600",4.3
R/GA* [Interpublic (DraftFCB)],New York,"175,000",45.8
Meredith Integrated Marketing [Meredith Corp.],"Des Moines, Iowa","173,000",-2.8
Deutsch* [Interpublic (Lowe)],New York,"171,600",4
Digitas Health* [Publicis (Digitas)],Philadelphia,"170,436",16.7
Richards Group,Dallas,"170,000",0.3
MEC* [WPP (Group M)],New York/London,"168,421",5
Ogilvy & Mather Advertising* [WPP (O&M)],New York,"168,000",8.4
Publicis* [Publicis (Publicis)],New York/Paris,"167,940",8
Hill Holliday* [Interpublic],Boston,"166,400",4
GSI Global Marketing Services* [GSI Commerce Inc.],"King of Prussia, Pa.","162,881",48.8
Mindshare Worldwide* [WPP (Group M)],New York,"159,092",15
Campbell Ewald* [Interpublic],"Warren, Mich.","157,000",0
MediaVest USA* [Publicis (SMG)],New York,"155,400",11
Zenith Media USA* [Publicis (ZenithOptimedia)],New York,"151,000",17.1
Ogilvy CommonHealth Worldwide* [WPP (O&M)],"Parsippany, N.J.","150,000",-16.7
Cramer-Krasselt,Chicago,"149,615",0.7
Crispin Porter & Bogusky* [MDC Partners],"Miami/Boulder, Colo.","144,765",4.8
"Goodby, Silverstein & Partners* [Omnicom]",San Francisco,"142,740",35.9
CDM New York* [Omnicom (CDM Group)],New York,"140,000",7.7
Wieden & Kennedy*,"Portland, Ore.","138,600",20.7
The Agency Inside Harte-Hanks [Harte-Hanks],"Yardley, Pa.","138,585",-1.8
Integer Group* [Omnicom (TBWA)],"Lakewood, Colo.","137,160",8
Martin Agency* [Interpublic (McCann)],"Richmond, Va.","136,640",22
iCrossing* [Hearst Corp.],"Scottsdale, Ariz.","136,100",12
Doner*,"Southfield, Mich.","133,000",-6.3
Ogilvy Public Relations Worldwide* [WPP (O&M)],New York,"130,000",5.7
Organic* [Omnicom (BBDO)],San Francisco,"129,007",-4.8
AKQA,San Francisco,"124,800",26.1
Euro RSCG Life* [Havas (Euro RSCG)],New York,"124,320",12
George P. Johnson [Project WorldWide],"Auburn Hills, Mich.","121,999",-1.2
G2* [WPP (Grey)],New York,"117,857",-1.8
MediaCom* [WPP (Group M)],New York,"112,787",5
UM* [Interpublic (Mediabrands)],New York,"112,575",18.5
McGarryBowen* [Dentsu (Dentsu Network West)],New York,"112,000",60
RPA,"Santa Monica, Calif.","111,300",12.9
Momentum Worldwide* [Interpublic (McCann)],New York,"110,000",8.9
Interbrand* [Omnicom (DDB)],New York,"107,422",7.4
Horizon Media*,New York,"106,500",26.8
Marketing Arm* [Omnicom],Dallas,"106,500",6.5
DraftFCB Healthcare* [Interpublic (DraftFCB)],New York,"105,000",20.7
Zimmerman Advertising* [Omnicom (TBWA)],"Fort Lauderdale, Fla.","105,000",8.2
TracyLocke* [Omnicom (DDB)],Dallas,"100,000",0
Waggener Edstrom Worldwide,"Bellevue, Wash.","99,786",5.5
Arnold Worldwide* [Havas],Boston,"99,500",6
McCann Healthcare Worldwide* [Interpublic (McCann)],"Parsippany, N.J.","95,186",4.6
Critical Mass* [Omnicom],Chicago,"95,000",26.7
Mullen* [Interpublic],Boston,"93,000",12
Sudler & Hennessey* [WPP (Y&R)],New York,"92,000",12.2
Tribal DDB* [Omnicom (DDB)],New York,"90,200",7.4
GolinHarris* [Interpublic],Chicago,"90,000",3
Porter Novelli* [Omnicom],New York,"90,000",3
VML* [WPP (Y&R)],"Kansas City, Mo.","90,000",12.5
Initiative* [Interpublic (Mediabrands)],New York,"89,000",12.7
GyroHSR*,New York,"88,706",4.1
Possible Worldwide* [WPP (WPP Digital)],New York,"87,000",NA
Accent Marketing Services* [MDC Partners],"Jeffersonville, Ind.","85,825",-19.1
MRM Worldwide* [Interpublic (McCann)],New York,"85,500",14
GMR Marketing* [Omnicom],"New Berlin, Wis.","85,000",9
Octagon* [Interpublic],"Norwalk, Conn.","84,700",10
Proximity Worldwide* [Omnicom (BBDO)],New York,"83,552",12
Kirshenbaum Bond Senecal & Partners* [MDC Partners],New York,"83,250",11
SolutionSet,"Mill Valley, Calif.","83,078",6
Jack Morton Worldwide* [Interpublic],Boston,"82,500",15.8
Goodness Mfg./Trailer Park,Los Angeles,"82,000",5.1
GHG* [WPP (Grey)],New York,"81,414",3.4
MSL* [Publicis (MSL Group)],Paris,"80,972",3.6
Ruder Finn [Ruder Finn Group],New York,"80,882",13.8
Carat* [Aegis Group],New York,"80,000",6.7
Lowe Healthcare Worldwide* [Interpublic (Lowe)],"Parsippany, N.J.","78,000",0.8
Targetbase* [Omnicom],"Irving, Texas","78,000",4
FD* [FTI Consulting],New York/London,"77,279",7.3
Apco Worldwide,Washington,"75,007",25
360i* [Dentsu (Dentsu Network West)],New York,"75,000",25
Harrison & Star* [Omnicom],New York,"75,000",7
Landor Associates* [WPP (Y&R)],San Francisco,"75,000",14.5
MPG* [Havas (Havas Media)],New York,"75,000",-7.7
SourceLink,"Itasca, Ill.","72,600",3.7
Hawkeye [Hawkeye Group],Dallas,"72,570",7
Acquity Group,Chicago,"72,500",41.4
Publicis Modem* [Publicis (Publicis)],New York,"72,500",16
GSD&M* [Omnicom],"Austin, Texas","72,000",0
