2010	2009	AGENCY [PARENT]	HEADQUARTERS	2010	% CHG
1	1	Acxiom Corp.	Little Rock, Ark.	$623,000	-2.4
2	3	Epsilon [Alliance Data Systems Corp.]	Irving, Texas	584,400	19.8
3	2	DraftFCB* [Interpublic (DraftFCB)]	Chicago/New York	530,000	7.1
4	4	McCann Erickson Worldwide* [Interpublic (McCann)]	New York	456,863	1.5
5	5	BBDO Worldwide* [Omnicom (BBDO)]	New York	450,000	3.2
6	6	Leo Burnett Worldwide/Arc* [Publicis (Leo Burnett)]	Chicago	441,013	7.5
7	7	Rapp* [Omnicom (DDB {Rapp})]	New York	376,500	10.7
8	9	JWT* [WPP (JWT)]	New York	356,245	9.6
9	17	SapientNitro [Sapient Corp.]	Boston	350,000	35.1
10	14	Edelman [Daniel J. Edelman]	Chicago	338,090	17.9
11	8	Euro RSCG Worldwide* [Havas (Euro RSCG)]	New York	337,203	3.5
12	12	Digitas* [Publicis (Digitas)]	Boston	331,800	12.5
13	10	Wunderman* [WPP (Y&R {Wunderman})]	New York	324,530	8.8
14	13	Weber Shandwick* [Interpublic (McCann)]	New York	320,000	10.0
15	11	Razorfish* [Publicis (Razorfish)]	Seattle	317,000	6.4
16	15	Y&R* [WPP (Y&R)]	New York	304,000	6.3
17	16	Fleishman-Hillard* [Omnicom]	St. Louis	294,000	8.1
18	21	inVentiv Health* [inVentiv Group Holdings]	Westerville, Ohio	269,425	16.5
19	18	Carlson Marketing* [Groupe Aeroplan]	Minneapolis	266,251	4.0
20	19	DDB Worldwide* [Omnicom (DDB)]	New York	263,550	5.0
21	20	TBWA Worldwide* [Omnicom (TBWA)]	New York	260,000	4.0
22	23	Merkle	Columbia, Md.	254,000	13.9
23	24	OgilvyOne Worldwide* [WPP (O&M)]	New York	251,000	13.1
24	22	Aspen Marketing Services	West Chicago, Ill.	244,334	8.4
25	25	IBM Interactive* [IBM Corp.]	Chicago	233,600	10.9
26	27	Starcom USA* [Publicis (SMG)]	Chicago	225,000	9.0
27	33	Rosetta	Hamilton, N.J.	218,394	23.1
28	26	Saatchi & Saatchi* [Publicis (Saatchi)]	New York	214,200	2.0
29	28	Burson-Marsteller* [WPP (Y&R {Burson-Marsteller})]	New York	200,000	6.7
30	30	Grey* [WPP (Grey)]	New York	191,400	6.3
31	29	Hill & Knowlton* [WPP]	New York	190,000	2.7
32	35	Ketchum* [Omnicom]	New York	185,000	6.3
33	34	OMD Worldwide* [Omnicom (OMG)]	New York	183,600	4.3
34	58	R/GA* [Interpublic (DraftFCB)]	New York	175,000	45.8
35	32	Meredith Integrated Marketing [Meredith Corp.]	Des Moines, Iowa	173,000	-2.8
36	37	Deutsch* [Interpublic (Lowe)]	New York	171,600	4.0
37	44	Digitas Health* [Publicis (Digitas)]	Philadelphia	170,436	16.7
38	36	Richards Group	Dallas	170,000	0.3
39	38	MEC* [WPP (Group M)]	New York/London	168,421	5.0
40	42	Ogilvy & Mather Advertising* [WPP (O&M)]	New York	168,000	8.4
41	41	Publicis* [Publicis (Publicis)]	New York/Paris	167,940	8.0
42	39	Hill Holliday* [Interpublic]	Boston	166,400	4.0
43	62	GSI Global Marketing Services* [GSI Commerce Inc.]	King of Prussia, Pa.	162,881	48.8
