AGENCY-COMPANY,HEADQUARTERS,2012-REVENUE,% CHG
Epsilon* [Alliance Data Systems Corp.],"Irving, Texas","$1,060,568 ",7.3
Acxiom Corp.,"Little Rock, Ark.","677,954",3.3
BBDO Worldwide* [Omnicom],New York,"540,788",9.3
SapientNitro* [Sapient Corp.],Boston,"497,000",10.3
Leo Burnett Worldwide/Arc* [Publicis],Chicago,"471,450",5
DraftFCB* [Interpublic],New York,"443,051",-15.9
McCann Erickson Worldwide* [Interpublic],New York,"426,929",-5.1
Rapp* [Omnicom],New York,"423,454",1.6
DigitasLBi* [Publicis],Boston,"407,200",1.8
Edelman [DJE Holdings],Chicago,"406,253",6
Experian Marketing Services [Experian],New York,"395,000",NA
Razorfish* [Publicis],New York,"390,000",18.2
Y&R* [WPP],New York,"388,500",5
Weber Shandwick* [Interpublic],New York,"366,210",3.4
Wunderman* [WPP],New York,"354,500",4
JWT* [WPP],New York,"351,200",1.9
IBM Interactive* [IBM Corp.],Chicago,"343,350",NA
inVentiv Health Communications*,New York,"341,500",NA
Fleishman-Hillard* [Omnicom],St. Louis,"325,000",4.7
TBWA Worldwide* [Omnicom],New York,"321,263",3.3
Havas Worldwide* [Havas],New York,"313,457",NA
Merkle,"Columbia, Md.","298,700",4.8
DDB Worldwide* [Omnicom],New York,"263,684",2.2
Publicis USA* [Publicis],New York,"260,000",2.6
OgilvyOne Worldwide* [WPP],New York,"258,691",8
Starcom USA* [Publicis],Chicago,"258,263",3
Rosetta* [Publicis],"Hamilton, N.J.","257,500",3
Grey* [WPP],New York,"252,100",9.6
Saatchi & Saatchi* [Publicis],New York,"249,757",6
Ogilvy & Mather Advertising* [WPP],New York,"230,200",8.4
Ketchum* [Omnicom],New York,"228,425",NA
OMD Worldwide* [Omnicom],New York,"228,141",9
R/GA* [Interpublic],New York,"227,000",3.2
GSI Marketing Services* [eBay],"King of Prussia, Pa.","222,000",9.4
MRM* [Interpublic],New York,"220,746",5.6
Burson-Marsteller* [WPP],New York,"210,000",5
Zenith Media USA* [Publicis],New York,"200,895",13.5
McGarryBowen* [Dentsu],New York,"200,000",21.2
MediaVest USA* [Publicis],New York,"193,640",9.9
Mindshare Worldwide* [WPP],New York,"193,240",2.5
Hill Holliday* [Interpublic],Boston,"184,000",5.7
Havas Health* [Havas],New York,"183,700",7.7
Deutsch* [Interpublic],New York,"181,053",3
Richards Group,Dallas,"180,000",4
Wieden & Kennedy*,"Portland, Ore.","179,675",5.6
iCrossing* [Hearst Corp.],New York,"177,100",10
"Goodby, Silverstein & Partners* [Omnicom]",San Francisco,"170,000",-12
Integer Group* [Omnicom],"Lakewood, Colo.","165,950",11
MEC* [WPP],New York,"160,169",-3
Cramer-Krasselt,Chicago,"156,562",2.6
MarketStar* [Omnicom],"Ogden, Utah","155,843",9.7
George P. Johnson [Project WorldWide],"Auburn Hills, Mich.","148,736",1.9
Meredith Xcelerated Marketing [Meredith Corp.],New York,"143,000",-15.4
CP&B* [MDC Partners],"Boulder, Colo.","142,322",-5.8
Acquity Group,Chicago,"141,011",32.2
Martin Agency* [Interpublic],"Richmond, Va.","141,000",-6
The Agency Inside Harte-Hanks [Harte-Hanks],"Yardley, Pa.","140,001",-3.5
Momentum Worldwide* [Interpublic],New York,"136,149",13.5
DraftFCB Healthcare* [Interpublic],New York,"133,420",-2.4
Ogilvy CommonHealth Worldwide* [WPP],"Parsippany, N.J.","133,400",-11.1
Ogilvy Public Relations* [WPP],New York,"131,000",2.3
Interbrand* [Omnicom],New York,"128,000",2
Carat* [Dentsu],New York,"127,920",30
Horizon Media*,New York,"127,500",13.9
RPA,"Santa Monica, Calif.","127,000",3.8
Hill & Knowlton Strategies* [WPP],New York,"126,250",1
Organic* [Omnicom],San Francisco,"123,000",0
Campbell Ewald* [Interpublic],"Warren, Mich.","121,000",2.5
Zimmerman Advertising* [Omnicom],"Fort Lauderdale, Fla.","120,500",10.6
Mullen* [Interpublic],Boston,"119,367",12
GMR Marketing* [Omnicom],"New Berlin, Wis.","117,555",17.6
UM* [Interpublic],New York,"117,433",-1.7
360i* [Dentsu],New York,"116,000",12.1
AKQA* [WPP],San Francisco,"114,400",10
MediaCom* [WPP],New York,"114,298",0
Jack Morton Worldwide* [Interpublic],Boston,"113,000",18.1
Arnold Worldwide* [Havas],Boston,"112,148",5.8
Proximity Worldwide* [Omnicom],New York,"111,208",10
MSL Group* [Publicis],Paris,"111,026",NA
Deloitte Digital* [Deloitte Touche Tohmatsu],Seattle,"110,000",NA
Digitas Health* [Publicis],Philadelphia,"110,000",-4.3
VML* [WPP],"Kansas City, Mo.","107,100",1.2
Marketing Arm* [Omnicom],Dallas,"106,713",10
G2* [WPP],New York,"105,307",-10.8
Gyro*,New York,"105,000",9.1
GolinHarris* [Interpublic],Chicago,"104,967",NA
Publicis Modem* [Publicis],Paris,"102,900",5
TracyLocke* [Omnicom],Dallas,"102,000",2
Waggener Edstrom Worldwide,"Bellevue, Wash.","101,352",0.8
CDM New York* [Omnicom],New York,"100,000",-9.1
McCann Health* [Interpublic],New York,"100,000",4.4
Goodness Mfg./Trailer Park,Los Angeles,"98,500",8.2
CatapultRPM* [Alliance Data Systems Corp.],"Westport, Conn.","98,142",7.7
Octagon* [Interpublic],"Norwalk, Conn.","97,308",11
Initiative* [Interpublic],New York,"94,472",0.8
MRY* [Publicis],New York,"94,000",18.3
Roundarch Isobar* [Dentsu],Chicago,"93,400",16.3
KBS+* [MDC Partners],New York,"93,322",2
Critical Mass* [Omnicom],Chicago,"93,000",1.1
Sudler & Hennessey* [WPP],New York,"93,000",1.1
McMurry/TMG,New York,"90,954",18.4
Hawkeye [Hawkeye Group],Dallas,"90,530",6
Doner* [MDC Partners],"Southfield, Mich.","90,002",NA
Possible* [WPP],New York,"90,000",7
Porter Novelli* [Omnicom],New York,"87,834",0
Huge* [Interpublic],"Brooklyn, N.Y.","87,263",16.2
Ansira,St. Louis,"86,196",9.4
Havas Media* [Havas],New York,"85,500",7.8
PHD* [Omnicom],New York,"84,748",11.6
TMP Worldwide Advertising & Communications [TMP Worldwide],New York,"84,407",5.7
OMG Entertainment & Sports* [Omnicom],New York,"84,094",4.5
Olson,Minneapolis,"83,212",0.5
Targetbase* [Omnicom],"Irving, Texas","82,432",0.2
Landor Associates* [WPP],San Francisco,"81,000",1.3
MediaWhiz [Matomy Media Group],New York,"79,619",-30.3
Derse*,Milwaukee,"77,919",28.5
Brunswick Group*,London,"76,100",7.9
Cohn & Wolfe* [WPP],New York,"76,000",1.5
Apco Worldwide,Washington,"75,255",3.2
SourceLink,"Itasca, Ill.","75,100",10.9
AbelsonTaylor,Chicago,"74,368",-4
Moxie* [Publicis],Atlanta,"71,300",-0.3
Brierley & Partners* [WPP],"Plano, Texas","70,000",16.7
Match Marketing Group,"Mississauga, Ontario","67,250",17
GSD&M* [Omnicom],"Austin, Texas","67,000",-1.5
22squared,Atlanta,"66,657",3.1
FTI Consulting* (Strategic Communications),New York,"66,351",-7.5
ePrize,"Pleasant Ridge, Mich.","65,221",21.3
Group360 Worldwide,St. Louis,"65,000",44.4
Parago,"Lewisville, Texas","64,097",2.6
GlobalHue*,"Southfield, Mich.","63,925",-2.1
Team Enterprises* [MDC Partners],"Fort Lauderdale, Fla.","63,600",6
Maxus* [WPP],New York,"63,338",85
CAHG* [Omnicom],Chicago,"63,000",-5.3
Harrison & Star* [Omnicom],New York,"62,852",-2.1
Team One* [Publicis],"El Segundo, Calif.","62,477",7
Klick Health [Klick Inc.],Toronto,"62,425",26.9
iProspect* [Dentsu],Boston,"62,400",6.3
Resource,"Columbus, Ohio","62,000",3.3
