2012	2011	AGENCY [COMPANY]	HEADQUARTERS	2012	% CHG
1	1	Epsilon* [Alliance Data Systems Corp.]	Irving, Texas	$1,060,568	7.3
2	2	Acxiom Corp.	Little Rock, Ark.	677,954	3.3
3	4	BBDO Worldwide* [Omnicom]	New York	540,788	9.3
4	5	SapientNitro* [Sapient Corp.]	Boston	497,000	10.3
5	7	Leo Burnett Worldwide/Arc* [Publicis]	Chicago	471,450	5.0
6	3	DraftFCB* [Interpublic]	New York	443,051	-15.9
7	6	McCann Erickson Worldwide* [Interpublic]	New York	426,929	-5.1
8	8	Rapp* [Omnicom]	New York	423,454	1.6
9	9	DigitasLBi* [Publicis]	Boston	407,200	1.8
10	10	Edelman [DJE Holdings]	Chicago	406,253	6.0
11	12	Experian Marketing Services [Experian]	New York	395,000	NA
12	16	Razorfish* [Publicis]	New York	390,000	18.2
13	11	Y&R* [WPP]	New York	388,500	5.0
14	13	Weber Shandwick* [Interpublic]	New York	366,210	3.4
15	15	Wunderman* [WPP]	New York	354,500	4.0
16	14	JWT* [WPP]	New York	351,200	1.9
17	NA	IBM Interactive* [IBM Corp.]	Chicago	343,350	NA
18	NA	inVentiv Health Communications*	New York	341,500	NA
19	19	Fleishman-Hillard* [Omnicom]	St. Louis	325,000	4.7
20	18	TBWA Worldwide* [Omnicom]	New York	321,263	3.3
21	NA	Havas Worldwide* [Havas]	New York	313,457	NA
22	20	Merkle	Columbia, Md.	298,700	4.8
23	21	DDB Worldwide* [Omnicom]	New York	263,684	2.2
24	22	Publicis USA* [Publicis]	New York	260,000	2.6
25	25	OgilvyOne Worldwide* [WPP]	New York	258,691	8.0
26	23	Starcom USA* [Publicis]	Chicago	258,263	3.0
27	24	Rosetta* [Publicis]	Hamilton, N.J.	257,500	3.0
28	27	Grey* [WPP]	New York	252,100	9.6
29	26	Saatchi & Saatchi* [Publicis]	New York	249,757	6.0
30	29	Ogilvy & Mather Advertising* [WPP]	New York	230,200	8.4
31	NA	Ketchum* [Omnicom]	New York	228,425	NA
32	30	OMD Worldwide* [Omnicom]	New York	228,141	9.0
33	28	R/GA* [Interpublic]	New York	227,000	3.2
34	32	GSI Marketing Services* [eBay]	King of Prussia, Pa.	222,000	9.4
35	31	MRM* [Interpublic]	New York	220,746	5.6
36	33	Burson-Marsteller* [WPP]	New York	210,000	5.0
37	37	Zenith Media USA* [Publicis]	New York	200,895	13.5
38	46	McGarryBowen* [Dentsu]	New York	200,000	21.2
39	38	MediaVest USA* [Publicis]	New York	193,640	9.9
40	36	Mindshare Worldwide* [WPP]	New York	193,240	2.5
41	40	Hill Holliday* [Interpublic]	Boston	184,000	5.7
42	42	Havas Health* [Havas]	New York	183,700	7.7
43	39	Deutsch* [Interpublic]	New York	181,053	3.0
44	41	Richards Group	Dallas	180,000	4.0
45	43	Wieden & Kennedy*	Portland, Ore.	179,675	5.6
46	47	iCrossing* [Hearst Corp.]	New York	177,100	10.0
47	34	Goodby, Silverstein & Partners* [Omnicom]	San Francisco	170,000	-12.0
48	52	Integer Group* [Omnicom]	Lakewood, Colo.	165,950	11.0
49	45	MEC* [WPP]	New York	160,169	-3.0
50	48	Cramer-Krasselt	Chicago	156,562	2.6
51	55	MarketStar* [Omnicom]	Ogden, Utah	155,843	9.7
52	53	George P. Johnson [Project WorldWide]	Auburn Hills, Mich.	148,736	1.9
53	44	Meredith Xcelerated Marketing [Meredith Corp.]	New York	143,000	-15.4
54	49	CP&B* [MDC Partners]	Boulder, Colo.	142,322	-5.8
55	73	Acquity Group	Chicago	141,011	32.2
56	50	Martin Agency* [Interpublic]	Richmond, Va.	141,000	-6.0
57	54	The Agency Inside Harte-Hanks [Harte-Hanks]	Yardley, Pa.	140,001	-3.5
58	63	Momentum Worldwide* [Interpublic]	New York	136,149	13.5
59	56	DraftFCB Healthcare* [Interpublic]	New York	133,420	-2.4
60	51	Ogilvy CommonHealth Worldwide* [WPP]	Parsippany, N.J.	133,400	-11.1
61	57	Ogilvy Public Relations* [WPP]	New York	131,000	2.3
62	58	Interbrand* [Omnicom]	New York	128,000	2.0
63	83	Carat* [Dentsu]	New York	127,920	30.0
64	70	Horizon Media*	New York	127,500	13.9
65	62	RPA	Santa Monica, Calif.	127,000	3.8
66	59	Hill & Knowlton Strategies* [WPP]	New York	126,250	1.0
67	61	Organic* [Omnicom]	San Francisco	123,000	0.0
68	65	Campbell Ewald* [Interpublic]	Warren, Mich.	121,000	2.5
69	72	Zimmerman Advertising* [Omnicom]	Fort Lauderdale, Fla.	120,500	10.6
70	74	Mullen* [Interpublic]	Boston	119,367	12.0
71	81	GMR Marketing* [Omnicom]	New Berlin, Wis.	117,555	17.6
72	64	UM* [Interpublic]	New York	117,433	-1.7
73	78	360i* [Dentsu]	New York	116,000	12.1
74	77	AKQA* [WPP]	San Francisco	114,400	10.0
75	68	MediaCom* [WPP]	New York	114,298	0.0
76	88	Jack Morton Worldwide* [Interpublic]	Boston	113,000	18.1
77	75	Arnold Worldwide* [Havas]	Boston	112,148	5.8
