Ad Venture Interactive,1
Aegis Group,5
Alliance Data Systems Corp.'s Epsilon,1
Asatsu-DK,1
Cheil Worldwide,1
Chime Communications,1
Creston,1
Daniel J. Edelman,2
Dentsu,6
Engine Group,2
FTI Consulting,1
FullSix Group,1
Grupo ABC,2
Harte-Hanks,1
Havas,6
Hawkeye Group,1
HealthStar Communications,1
Hearst Corp.'s iCrossing,1
Huntsworth,2
Hyper Marketing,5
IBM Corp.'s IBM Interactive,1
IMC2,1
Independent,625
Interpublic,38
Iris Worldwide,1
LBi International,2
MDC Partners,24
MSQ Partners,1
Marc USA,1
Meredith Corp.'s Meredith Xcelerated Marketing,1
Merkle,1
Mother Holdings,1
Next Fifteen Communications Group,3
Omnicom,64
Project WorldWide,2
Publicis,41
Quebecor Media's Nurun,1
Regan Communications Group,1
Richards Group,1
RiverNorth Group,3
Ruder Finn Group,3
Sapient Corp.'s SapientNitro,1
TMP Worldwide,1
Viad Corp.'s Global Experience Specialists,1
WPP,51
eBay's GSI Marketing Services,1
