,AGENCY-COMPANY,HEADQUARTERS,2012-REVENUE,% CHG,AGENCY-NAME,AGENCY-OWNER
0,Epsilon* [Alliance Data Systems Corp.],"Irving, Texas",106056800,7.3,Epsilon* ,Alliance Data Systems Corp.
1,Acxiom Corp.,"Little Rock, Ark.",67795400,3.3,Acxiom Corp.,Independent
2,BBDO Worldwide* [Omnicom],New York,54078800,9.3,BBDO Worldwide* ,Omnicom
3,SapientNitro* [Sapient Corp.],Boston,49700000,10.3,SapientNitro* ,Sapient Corp.
4,Leo Burnett Worldwide/Arc* [Publicis],Chicago,47145000,5.0,Leo Burnett Worldwide/Arc* ,Publicis
5,DraftFCB* [Interpublic],New York,44305100,-15.9,DraftFCB* ,Interpublic
6,McCann Erickson Worldwide* [Interpublic],New York,42692900,-5.1,McCann Erickson Worldwide* ,Interpublic
7,Rapp* [Omnicom],New York,42345400,1.6,Rapp* ,Omnicom
8,DigitasLBi* [Publicis],Boston,40720000,1.8,DigitasLBi* ,Publicis
9,Edelman [DJE Holdings],Chicago,40625300,6.0,Edelman ,DJE Holdings
10,Experian Marketing Services [Experian],New York,39500000,,Experian Marketing Services ,Experian
11,Razorfish* [Publicis],New York,39000000,18.2,Razorfish* ,Publicis
12,Y&R* [WPP],New York,38850000,5.0,Y&R* ,WPP
13,Weber Shandwick* [Interpublic],New York,36621000,3.4,Weber Shandwick* ,Interpublic
14,Wunderman* [WPP],New York,35450000,4.0,Wunderman* ,WPP
15,JWT* [WPP],New York,35120000,1.9,JWT* ,WPP
16,IBM Interactive* [IBM Corp.],Chicago,34335000,,IBM Interactive* ,IBM Corp.
17,inVentiv Health Communications*,New York,34150000,,inVentiv Health Communications*,Independent
18,Fleishman-Hillard* [Omnicom],St. Louis,32500000,4.7,Fleishman-Hillard* ,Omnicom
19,TBWA Worldwide* [Omnicom],New York,32126300,3.3,TBWA Worldwide* ,Omnicom
20,Havas Worldwide* [Havas],New York,31345700,,Havas Worldwide* ,Havas
21,Merkle,"Columbia, Md.",29870000,4.8,Merkle,Independent
22,DDB Worldwide* [Omnicom],New York,26368400,2.2,DDB Worldwide* ,Omnicom
23,Publicis USA* [Publicis],New York,26000000,2.6,Publicis USA* ,Publicis
24,OgilvyOne Worldwide* [WPP],New York,25869100,8.0,OgilvyOne Worldwide* ,WPP
25,Starcom USA* [Publicis],Chicago,25826300,3.0,Starcom USA* ,Publicis
26,Rosetta* [Publicis],"Hamilton, N.J.",25750000,3.0,Rosetta* ,Publicis
27,Grey* [WPP],New York,25210000,9.6,Grey* ,WPP
28,Saatchi & Saatchi* [Publicis],New York,24975700,6.0,Saatchi & Saatchi* ,Publicis
29,Ogilvy & Mather Advertising* [WPP],New York,23020000,8.4,Ogilvy & Mather Advertising* ,WPP
30,Ketchum* [Omnicom],New York,22842500,,Ketchum* ,Omnicom
31,OMD Worldwide* [Omnicom],New York,22814100,9.0,OMD Worldwide* ,Omnicom
32,R/GA* [Interpublic],New York,22700000,3.2,R/GA* ,Interpublic
33,GSI Marketing Services* [eBay],"King of Prussia, Pa.",22200000,9.4,GSI Marketing Services* ,eBay
34,MRM* [Interpublic],New York,22074600,5.6,MRM* ,Interpublic
35,Burson-Marsteller* [WPP],New York,21000000,5.0,Burson-Marsteller* ,WPP
36,Zenith Media USA* [Publicis],New York,20089500,13.5,Zenith Media USA* ,Publicis
37,McGarryBowen* [Dentsu],New York,20000000,21.2,McGarryBowen* ,Dentsu
38,MediaVest USA* [Publicis],New York,19364000,9.9,MediaVest USA* ,Publicis
39,Mindshare Worldwide* [WPP],New York,19324000,2.5,Mindshare Worldwide* ,WPP
40,Hill Holliday* [Interpublic],Boston,18400000,5.7,Hill Holliday* ,Interpublic
41,Havas Health* [Havas],New York,18370000,7.7,Havas Health* ,Havas
42,Deutsch* [Interpublic],New York,18105300,3.0,Deutsch* ,Interpublic
43,Richards Group,Dallas,18000000,4.0,Richards Group,Independent
44,Wieden & Kennedy*,"Portland, Ore.",17967500,5.6,Wieden & Kennedy*,Independent
45,iCrossing* [Hearst Corp.],New York,17710000,10.0,iCrossing* ,Hearst Corp.
