,2015-RANK,AGENCY-COMPANY,HEADQUARTERS,2015-REVENUE,% CHG,AGENCY-NAME,AGENCY-OWNER
4,5,Acxiom Corp.*,"Little Rock, Ark.","765,299",7.0,Acxiom Corp.*,Independent
15,16,Merkle,"Columbia, Md.","464,500",5.8,Merkle,Independent
22,23,Harte Hanks*,San Antonio,"380,940",-14.3,Harte Hanks*,Independent
41,42,Freeman,Dallas,"260,000",5.7,Freeman,Independent
46,47,Horizon Media*,New York,"225,000",20.3,Horizon Media*,Independent
48,49,Wieden & Kennedy*,"Portland, Ore.","219,000",6.3,Wieden & Kennedy*,Independent
57,58,Richards Group,Dallas,"190,000",2.2,Richards Group,Independent
70,71,Match Marketing Group,"Mississauga, Ontario","153,247",13.3,Match Marketing Group,Independent
82,83,Cramer-Krasselt,Chicago,"131,149",-9.8,Cramer-Krasselt,Independent
85,86,Droga5,New York,"126,000",61.5,Droga5,Independent
88,89,Ansira,St. Louis,"124,041",7.9,Ansira,Independent
98,99,Gyro*,New York,"117,000",2.6,Gyro*,Independent
101,102,RPA,"Santa Monica, Calif.","113,000",7.6,RPA,Independent
106,107,Klick,Toronto,"109,152",8.1,Klick,Independent
113,114,Intouch Solutions,"Overland Park, Kan.","101,765",32.5,Intouch Solutions,Independent
121,122,Derse*,Milwaukee,"94,478",2.5,Derse*,Independent
124,125,TMP Worldwide Advertising & Communications,New York,"91,816",6.1,TMP Worldwide Advertising & Communications,Independent
125,126,Innocean Worldwide,"Huntington Beach, Calif.","91,270",4.6,Innocean Worldwide,Independent
126,127,Group360 Worldwide*,St. Louis,"90,000",12.5,Group360 Worldwide*,Independent
127,128,W2O Group,San Francisco,"88,468",16.9,W2O Group,Independent
128,129,Brunswick Group*,London,"88,250",25.0,Brunswick Group*,Independent
129,130,EPAM Systems,"Newtown, Pa.","85,754",15.9,EPAM Systems,Independent
131,132,Wasserman Media Group*,Los Angeles,"85,280",19.6,Wasserman Media Group*,Independent
140,141,WE Communications,"Bellevue, Wash.","80,044",-8.6,WE Communications,Independent
144,145,22squared,Atlanta,"76,646",2.0,22squared,Independent
145,146,Periscope,Minneapolis,"74,380",7.0,Periscope,Independent
146,147,VSA Partners,Chicago,"73,769",-7.6,VSA Partners,Independent
147,148,Ivie & Associates,"Flower Mound, Texas","72,809",26.0,Ivie & Associates,Independent
148,149,SourceLink,"Itasca, Ill.","72,800",9.0,SourceLink,Independent
149,150,AbelsonTaylor,Chicago,"72,092",13.2,AbelsonTaylor,Independent
152,153,HelloWorld*,"Southfield, Mich.","70,000",0.0,HelloWorld*,Independent
154,155,FTI Consulting (Strategic Communications)*,New York,"67,828",5.6,FTI Consulting (Strategic Communications)*,Independent
156,157,Finn Partners,New York,"66,634",5.5,Finn Partners,Independent
157,158,Apco Worldwide,Washington,"66,152",-4.2,Apco Worldwide,Independent
159,160,Marketing Store,Chicago,"65,897",14.6,Marketing Store,Independent
163,164,PureRed,"Stone Mountain, Ga.","63,153",15.9,PureRed,Independent
167,168,Moroch Partners,Dallas,"61,519",11.6,Moroch Partners,Independent
169,170,Acronym,New York,"60,850",21.2,Acronym,Independent
172,173,Code and Theory,New York,"58,000",,Code and Theory,Independent
173,174,Allen & Gerritsen,Boston,"57,436",0.0,Allen & Gerritsen,Independent
175,176,Rauxa,"Costa Mesa, Calif.","56,460",-5.3,Rauxa,Independent
176,177,ICR,New York,"56,209",10.8,ICR,Independent
178,179,Mars Agency,"Southfield, Mich.","55,009",1.4,Mars Agency,Independent
181,182,MWWPR*,New York,"54,000",0.9,MWWPR*,Independent
182,183,Marketing Werks*,Chicago,"53,976",-11.1,Marketing Werks*,Independent
183,184,Barkley,"Kansas City, Mo.","53,790",15.6,Barkley,Independent
184,185,Fusion Marketing,St. Louis,"53,600",7.2,Fusion Marketing,Independent
186,187,Sard Verbinnen & Co.*,New York,"51,830",8.9,Sard Verbinnen & Co.*,Independent
189,190,Paradysz & PM Digital,New York,"50,202",9.5,Paradysz & PM Digital,Independent
190,191,Brierley & Partners*,"Plano, Texas","50,000",11.1,Brierley & Partners*,Independent
