,AGENCY-COMPANY,HEADQUARTERS,2011-REVENUE,% CHG,AGENCY-NAME,AGENCY-OWNER
58,Horizon Media*,New York,"133,000",24.9,Horizon Media*,Independent
89,Gyro*,New York,"96,250",8.5,Gyro*,Independent
137,TBA Global*,New York,"58,000",5.5,TBA Global*,Independent
168,CementBloc,New York,"42,241",24.6,CementBloc,Independent
180,Droga5*,New York,"39,420",33.6,Droga5*,Independent
192,MKTG,New York,"36,856",10.5,MKTG,Independent
208,Paradysz,New York,"34,329",8.8,Paradysz,Independent
229,Acronym Media,New York,"31,000",5.1,Acronym Media,Independent
230,Zeta Interactive*,New York,"30,900",0.0,Zeta Interactive*,Independent
251,DKC,New York,"27,414",13.0,DKC,Independent
280,Magnani Caruso Dutton,New York,"23,250",23.3,Magnani Caruso Dutton,Independent
296,Agency212*,New York,"21,500",0.0,Agency212*,Independent
321,Taylor Global,New York,"19,100",-1.0,Taylor Global,Independent
339,Global Advertising Strategies,New York,"18,000",28.6,Global Advertising Strategies,Independent
368,Greater Than One,New York,"16,100",9.2,Greater Than One,Independent
370,Heartbeat Ideas,New York,"16,032",11.3,Heartbeat Ideas,Independent
375,Translation*,New York,"15,750",50.0,Translation*,Independent
377,Della Femina/Rothschild/Jeary & Partners*,New York,"15,691",-2.5,Della Femina/Rothschild/Jeary & Partners*,Independent
385,Vidal Partnership*,New York,"15,300",-29.2,Vidal Partnership*,Independent
395,GlobalWorks Group,New York,"14,750",3.9,GlobalWorks Group,Independent
396,Gibbs & Soell*,New York,"14,706",-5.1,Gibbs & Soell*,Independent
399,Peppercom,New York,"14,362",21.4,Peppercom,Independent
409,Profero,New York,"14,000",122.2,Profero,Independent
417,Cheil Worldwide,New York,"13,247",-19.6,Cheil Worldwide,Independent
422,LeadDog Marketing Group,New York,"13,010",39.5,LeadDog Marketing Group,Independent
433,Totem Brand Stories,New York,"12,662",30.2,Totem Brand Stories,Independent
434,Prime Access*,New York,"12,600",-15.4,Prime Access*,Independent
437,Makovsky & Co.,New York,"12,500",10.6,Makovsky & Co.,Independent
439,5W Public Relations,New York,"12,455",9.3,5W Public Relations,Independent
442,Atrinsic Interactive*,New York,"12,259",-3.7,Atrinsic Interactive*,Independent
448,Hunter Public Relations,New York,"12,050",-5.9,Hunter Public Relations,Independent
453,Lippe Taylor*,New York,"12,000",0.0,Lippe Taylor*,Independent
473,AR New York*,New York,"11,000",10.0,AR New York*,Independent
481,Admerasia,New York,"10,750",10.3,Admerasia,Independent
499,Sullivan,New York,"10,076",43.4,Sullivan,Independent
501,Kaplow*,New York,"10,024",6.6,Kaplow*,Independent
522,Seiden Group,New York,"9,100",1.1,Seiden Group,Independent
523,Pedone & Partners,New York,"9,000",12.5,Pedone & Partners,Independent
543,SocialChorus,New York,"8,400",86.7,SocialChorus,Independent
544,Sarkissian Mason*,New York,"8,333",-16.7,Sarkissian Mason*,Independent
551,Gravity Media,New York,"8,165",140.1,Gravity Media,Independent
555,Gardner Nelson & Partners,New York,"8,100",-12.9,Gardner Nelson & Partners,Independent
556,Strikeforce Communications,New York,"8,000",33.3,Strikeforce Communications,Independent
564,Chandelier Creative*,New York,"7,790",-1.4,Chandelier Creative*,Independent
569,E & M Advertising,New York,"7,525",64.4,E & M Advertising,Independent
580,BoomBox*,New York,"7,268",19.1,BoomBox*,Independent
587,Gotham Direct*,New York,"7,103",0.0,Gotham Direct*,Independent
589,D Exposito & Partners,New York,"7,062",5.9,D Exposito & Partners,Independent
613,Halo Group,New York,"6,400",28.0,Halo Group,Independent
614,Digital Pulp,New York,"6,400",3.2,Digital Pulp,Independent
638,Catalyst Public Relations,New York,"5,924",15.4,Catalyst Public Relations,Independent
651,Applicable Media*,New York,"5,571",7.1,Applicable Media*,Independent
652,Mirrorball,New York,"5,523",20.1,Mirrorball,Independent
676,Barton F. Graf 9000,New York,"5,200",,Barton F. Graf 9000,Independent
677,KraftWorks NYC*,New York,"5,198",-10.0,KraftWorks NYC*,Independent
680,Barker/DZP,New York,"5,136",9.1,Barker/DZP,Independent
683,Underscore Marketing,New York,"5,037",61.0,Underscore Marketing,Independent
691,Fly Communications*,New York,"5,000",63.9,Fly Communications*,Independent
698,Seiter & Miller,New York,"4,900",-2.0,Seiter & Miller,Independent
712,KD&E,New York,"4,685",23.3,KD&E,Independent
725,Vox Collective,New York,"4,415",-39.1,Vox Collective,Independent
732,Tender Creative*,New York,"4,230",11.9,Tender Creative*,Independent
734,Bodden Partners,New York,"4,179",-55.0,Bodden Partners,Independent
741,CooperKatz & Co.,New York,"4,060",3.9,CooperKatz & Co.,Independent
744,Elite SEM,New York,"4,000",33.3,Elite SEM,Independent
745,Brooklyn Brothers,New York,"4,000",17.6,Brooklyn Brothers,Independent
766,Spring O'Brien,New York,"3,600",-12.2,Spring O'Brien,Independent
770,Agent 16,New York,"3,500",2.9,Agent 16,Independent
792,AY Digital,New York,"3,180",27.2,AY Digital,Independent
797,Grok,New York,"3,100",55.0,Grok,Independent
800,Middleberg Communications,New York,"3,050",-7.6,Middleberg Communications,Independent
807,Munn Rabot,New York,"2,917",12.7,Munn Rabot,Independent
816,Ventura Associates,New York,"2,798",5.8,Ventura Associates,Independent
825,Sub Rosa*,New York,"2,430",21.5,Sub Rosa*,Independent
837,ASB Communications,New York,"2,300",64.3,ASB Communications,Independent
847,Rosie Labs,New York,"2,100",162.5,Rosie Labs,Independent
869,Renegade,New York,"1,700",-32.0,Renegade,Independent
883,Oink Ink,New York,"1,300",-7.1,Oink Ink,Independent
911,Hudson Media Services,New York,325,4.8,Hudson Media Services,Independent
