Twitter Handle,Twitter ID,Full Name,Person/Company,Number of followers,Number of friends,Number of total tweets,Description,Location (raw),Profile Image URL,Insider Score,Listening,Emergence Score,Age of account (days),Tweets per day,First Name,Last Name,Location (continent),Location (country),Location (region),Location (sub_region),Related Website,Insider Blogs,StackOverflow,Instagram,Pinterest,YouTube,Google+,SlideShare,LinkedIn,Quora,AngelList,Facebook,Community Id,Community Name,Facebook ID
KirkDBorne,534563976,Kirk Borne,person,34691,33396,39416,"Principal Data Scientist at @BoozAllen, PhD Astrophysicist, Top Big Data Influencer. Ex-Professor. _ Data Science http://t.co/f4gsbNc00C",Booz-Allen Hamilton,http://pbs.twimg.com/profile_images/598876490353127424/EPjpqAK2_normal.jpg,409,419,0.334374694,1234,31,Kirk,Borne,North America,United States of America,Virginia,,http://www.linkedin.com/in/kirkdborne,,,,,,,,http://www.linkedin.com/in/kirkdborne,,,http://www.facebook.com/100000091131681,4,,
kdnuggets,20167623,Gregory Piatetsky,person,36831,392,22273,"KDnuggets President, #Analytics, #BigData, #DataMining, #DataScience expert, KDD & SIGKDD co-founder, was Chief Scientist at 2 startups, part-time philosopher.","Brookline, MA, USA",http://pbs.twimg.com/profile_images/1174228552/gpsc2_normal.jpg,318,78,0.134453183,2376,9,Gregory,Piatetsky,North America,United States of America,Massachusetts,,http://www.kdnuggets.com/,http://feeds.feedburner.com/kdnuggets-data-mining-analytics,,,,,,,http://www.linkedin.com/in/gpiatetsky,http://www.quora.com/gregory-piatetsky,,,2,,
analyticbridge,14174897,Big Data Science,company,97411,3967,25613,"Big data, machine learning, predictive modeling, R, Hadoop, Python, business analytics, data mining, IoT and operations research: resources, tutorials and more.","Seattle, WA",http://pbs.twimg.com/profile_images/1198161733/analitycbridge_normal.png,317,142,0.117903338,2700,9,,Science,North America,United States of America,Washington,Seattle,http://www.datasciencecentral.com/profiles/blogs/check-out-our-dsc-newsletter,http://www.datasciencecentral.com/leaderboards/topcontent/month?feed=yes&xn_auth=no&n=20&images=yes&imageMaxSize=240,,,http://www.pinterest.com/analyticbridge,,https://plus.google.com/116460988472927384512,,http://www.linkedin.com/in/vincentg,,http://www.angellist.com/933404,http://www.facebook.com/621279597,3,,
Doug_Laney,135945569,Doug Laney,person,29501,15367,6508,"Gartner VP Research, Analytics, Info Innovation & Big Data | Originator, discipline of Infonomics | Competitive tennis & non-competitive golf.",Chicago,http://pbs.twimg.com/profile_images/1766605650/Doug_Laney_headshot_2011-04_1_b_w_contrast_normal.JPG,286,226,0.148634031,1935,3,Doug,Laney,North America,United States of America,Illinois,Chicago,https://www.vizify.com/doug-laney/twitter-video,,,,,,,,http://www.linkedin.com/in/douglaney,,,http://www.facebook.com/1433055627,4,,
hmason,765548,Hilary Mason,person,60247,1281,14587,Founder at @FastForwardLabs. Data Scientist in Residence at @accel. I _ data and cheeseburgers.,NYC,http://pbs.twimg.com/profile_images/1290564266/me_square_normal.jpg,277,40,0.089644613,3101,4,Hilary,Mason,North America,United States of America,New York,New York City,http://www.hilarymason.com,http://www.hilarymason.com/feed/,,,http://www.pinterest.com/hmason,http://youtube.com/user/ahynes1,https://plus.google.com/112499121179140739581,http://www.slideshare.com/hmason,http://www.linkedin.com/in/hilarymason,http://www.quora.com/hilary-mason,http://www.angellist.com/5947,http://www.facebook.com/42407036,2,,
Gartner_inc,15231287,Gartner,company,270300,35609,14292,"We deliver the technology-related insight necessary for our clients to make the  right decisions, every day.","Stamford, CT",http://pbs.twimg.com/profile_images/479292472707649536/HfChXWQy_normal.png,270,157,0.104235666,2602,5,,Gartner,North America,United States of America,Connecticut,,http://www.gartner.com,http://blogs.gartner.com/gbn-feed/,,,http://www.pinterest.com/galvar60,http://youtube.com/user/gartnervideo,,,https://www.linkedin.com/company/2078,,,http://www.facebook.com/712007842,3,,
bigdata,18318677,Ben Lorica,person,26030,190,4109,Chief Data Scientist @OReillyMedia. Director of Content Strategy @strataconf. Aspirant Parisien. Every Sunday is a Hack Day.,"San Francisco, CA",http://pbs.twimg.com/profile_images/235298259/bigdata_logo_center3_normal.jpg,261,26,0.108301055,2421,1,Ben,Lorica,North America,United States of America,California,San Francisco,http://gradientflow.com/,http://gradientflow.com/feed/,,,http://www.pinterest.com/datascientist,,https://plus.google.com/110956339811583744337,,http://www.linkedin.com/in/benlorica,,http://www.angellist.com/121255,http://www.facebook.com/750421822,2,,
data_nerd,119802433,Carla Gentry,person,21681,8244,184463,"Data Scientist, Data_Nerd  Founder Analytical-Solution. What can your data do for you? Measure, Segment, Research and Data Analysis - keys for increasing ROI","Louisville, Kentucky",http://pbs.twimg.com/profile_images/563828727306391552/Jxxp_Nar_normal.jpeg,255,153,0.129236748,1984,92,Carla,Gentry,North America,United States of America,Kentucky,,http://analytical-solution.com/,http://analytical-solution.com/feed/,,,http://www.pinterest.com/DataNerd/boards/,,https://plus.google.com/114117648410023867666,,http://www.linkedin.com/in/datanerd13,http://www.quora.com/carla-gentry,,http://www.facebook.com/100002034734139,1,,
mgualtieri,14060372,Mike Gualtieri,person,46983,37151,10256,"Forrester Analyst: IoT, Hadoop, Spark & predictive analytics. Tech storyteller. Lexington Minute Man & Improvisational swing dancing with @lisagualtieri","Massachusetts, USA",http://pbs.twimg.com/profile_images/2498780585/ve3wwoksqxnyb2znxa1o_normal.png,247,201,0.091235776,2719,3,Mike,Gualtieri,North America,United States of America,Massachusetts,Boston,http://blogs.forrester.com/mike_gualtieri,http://blogs.forrester.com/mike_gualtieri/feed&pub=Forrester_Blogs,,,,,,,http://www.linkedin.com/in/mikegualtieri,,http://www.angellist.com/mgualtieri,,1,,
jameskobielus,14072398,jameskobielus,company,17056,9909,54720,"IBM Big Data Evangelist; Sr Prog Dir, Mktg, BD Analytics; Team Lead, Technical Marketing, IBM BD&A Hub. Tweets are mine & don't represent my employer's opinion.","Alexandria, Virginia USA",http://pbs.twimg.com/profile_images/378800000793164581/459dd692d147d6592b8b0c747ad73eba_normal.jpeg,238,265,0.088007057,2716,20,,jameskobielus,North America,United States of America,Virginia,Alexandria,http://jkobielus.blogspot.com,https://www.blogger.com/feeds/9487215/posts/default,,,http://www.pinterest.com/jkobielus,,,,http://www.linkedin.com/pub/james-kobielus/6/ab2/8b0,,http://www.angellist.com/118015,http://www.facebook.com/763633277,1,,
