Status,Published Date,Category,Published Title,URL,3 Step Buyers Journey,Gated,Content Type,
Planned,TBD,Hyperconverged,Animated Use Case Videos (3),,Earned Attention,No,video,
In Progress,TBD,Hyperconverged,HPE HyperConverged Interactive Infographic,,Earned Attention,No,hp.com (not curated),
In Progress,TBD,Hyperconverged,Video: What to consider when deploying ROBOs,,Earned Attention,No,video,
In Progress,TBD,Hyperconverged,"Blog: Prepare for the Next Phase of Hyperconvergence, Gartner Report",,Earned Attention,No,blog post,
Planned,TBD,Hyperconverged,Blog for Circus video (title tbd),,Earned Attention,No,video,
Published,5/31/16,Hyperconverged,Paid Digital Facebook Carousel,https://www.facebook.com/130362163691502/posts/1110986368962405,Earned Attention,No,paid digital,
Published,5/31/16,Hyperconverged,"Hyperconvergence: 10 Considerations for Buyers (updated for paid digital from ""Solving problems by asking questions"" blog)",http://community.hpe.com/t5/Converged-Data-Center/Hyperconvergence-10-Considerations-for-Buyers/ba-p/6863538#.V1d7wk32aM8,Earned Attention,No,blog post,
Published,5/30/16,Hyperconverged,Video: Don’t get taken for a ride! Find the right hyperconverged solution at HPE,"Bright Cove: 
http://h22228.www2.hpe.com/video-gallery/us/en/sss/solutions/converged-infrastructure/84552361-FF80-4F43-A257-747BD7650059/Don’t-get-taken-for-a-ride!-Find-the-right-hyperconverged-solution-at-HPE/video/   
YouTube: 
https://www.youtube.com/watch?v=AaENNv3bhKE ",Earned Attention,No,video,
Published,5/18/16,Hyperconverged,Infographic: How to Use a Hyperconverged Infrastructure (ATM Use Cases),http://h20195.www2.hp.com/v2/GetDocument.aspx?docname=4AA6-5182ENW,Earned Attention,No,infographic,
Published,5/3/16,Hyperconverged,Infographic: Does your datacenter work for you?  (ATM Sentiment Report),http://h20195.www2.hp.com/v2/GetDocument.aspx?docname=4AA6-5183ENW,Earned Attention,No,infographic,
Published,5/1/16,Hyperconverged,Hyperconverged  Demo Request registration page,http://www.hpe.com/info/hcdemo ,Engage & Persuade,No,Demo (BU led),
Published,4/27/16,Hyperconverged,Actual Tech Media (ATM): Hyperconverged Infrastructure MegaCast,,Earned Attention,No,other website,
Pubished,4/8/16,Hyperconverged,Technology Now article: Why hyper-convergence? ,https://www.hpe.com/h30683/us/en/hpe-technology-now/Why-hyper-convergence_1573363.html?jumpid=em_2w76ngtyvb_AID-510057841&em_taw_US_may16_pan-hp_692603_hpc_us_1581796_775&DIMID=EMID_11B506658655390437FEA2CDF833AE8A&mrm=1-4BVUP,Earned Attention,No,article,
Published,4/8/16,Hyperconverged,Why hyper-convergence?,https://www.hpe.com/h30683/us/en/hpe-technology-now/Why-hyper-convergence_1573363.html?jumpid=em_2w76ngtyvb_AID-510057841&em_taw_US_may16_pan-hp_692603_hpc_us_1581796_775&DIMID=EMID_11B506658655390437FEA2CDF833AE8A&mrm=1-4BVUP,Engage & Persuade,No,HPE Tech Now article,
Published,3/15/16,Hyperconverged,Gartner Research Note: Prepare for the Next Phase of Hyperconvergence,http://www.gartner.com/reprints/hpe-eg?id=1-2XYHJX3&ct=160204&st=sb,Earned Attention,Yes,analyst paper,
