Status,Published Date,Category,Published Title,URL,3 Step Buyers Journey,Gated,Content Type,
In Progress,7/27/16,Path to Composable,Navigating IT Transformation: Tales from the Front Lines (IDG Tech Dossier),,Earned Attention,Yes,web interactive,
In Progress,7/27/16,Path to Composable,IDG Rapid Benchmark tool,,Earned Attention,No,benchmark tool,
In Progress,8/10/16,Path to Composable,IDG 10 slide PPT to post on SlideShare,,Earned Attention,No,slide share,
In Progress,8/15/16,Path to Composable,"IDG CIO Magazine Articles for IDG Insights (IDG writing 20 articles, HPE editing and post on IDG site over 3-month period)",,Earned Attention,No,blog post,
In Progress,8/18/16,Path to Composable,IDG 2D static infographic,,Earned Attention,No,infographic,
In Progress,8/25/16,Path to Composable,IDG Advocacy Accelerator,,Earned Attention,No,social media campaign,
In Progress,9/12/16,Path to Composable,IDG Worldwide Executive Summary of Tech Dossier,,Earned Attention,No,executive summary,
In Progress,9/23/16,Path to Composable,IDG animated video,,Earned Attention,No,video,
Idea with no plan,TBD,Path to Composable,Promo video,,Earned Attention,No,video,
In Progress,TBD,Path to Composable,"Promo Blog for ""IDG Insights"" Videos (HPE produced and on-page posting)",,Earned Attention,No,blog post,
In Progress,TBD,Path to Composable,Promo Blog for IDG Rapid Benchmark Tool  (HPE produced and on-page posting),,Earned Attention,No,blog post,
In Progress,TBD,Path to Composable,EMEA versioned Executive Summary of Tech Dossier (HPE produced),,Earned Attention,No,executive summary,
In Progress,TBD,Path to Composable,APJ versioned Executive Summary of Tech Dossier (HPE produced),,Earned Attention,No,executive summary,
In Progress,TBD,Path to Composable,Exec Summary Blog for IDG Insights (HPE produced and on-page posting),,Earned Attention,No,blog post,
In Progress,TBD,Path to Composable,IDG Smart advertising,,Earned Attention,No,banner ads,
In Progress,TBD,Path to Composable,Twitter Card Series for IDG Insights (qty 4 – 10),,Earned Attention,No,Twitter cards,
In Progress,7/27/16,Path to Composable,Journey to Composable with Forrester Research (Quadmark On Demand Experience). Staging site: http://hpe.projectwebby.com/,"Predictive URL : 
http://www.drivingcomposable.com/",Engage & Persuade,Yes,web interactive,
In Progress,TBD,Path to Composable,"Twitter Cards for ""Forrester Journey"" video snippets (HPE produced)",,Engage & Persuade,No,Twitter cards,
In Progress,TBD,Path to Composable,"Promo blog for ""Forrester Journey"" Video snipettes (HPE produced and on-page posting)",,Engage & Persuade,No,blog post,
In Progress,TBD,Path to Composable,"Infographic on ""Forrester Journey""",,Engage & Persuade,No,infographic,
In Progress,TBD,Path to Composable,"Promo blog for ""Forrester Journey"" Infographic (HPE produced and on-page posting)",,Engage & Persuade,No,blog post,
In Progress,TBD,Path to Composable,IDG InfoWorld Articles for Forrester Journey (HPE writing 20 articles and post on IDG site over 3-month period),,Engage & Persuade,No,blog post,
In Progress,7/27/16,Path to Composable,45-sec Live Action video (produced by Somnio),,Engage & Persuade,No,video,
In Progress,7/27/16,Path to Composable,60-sec Motion Graphic video (produced by Somnio),,Engage & Persuade,No,video,
In Progress,7/27/16,Path to Composable," x3 Facebook Carausels, with x3 image panel per carousel (paid)",,Engage & Persuade,No,Facebook carausel,
In Progress,7/27/16,Path to Composable,x4 Facebook Image Posts (organic),,Engage & Persuade,No,Facebook image,
In Progress,7/27/16,Path to Composable,x3 Twitter cards (paid),,Engage & Persuade,No,Twitter cards,
In Progress,7/27/16,Path to Composable,x4 Twitter image posts (organic),,Engage & Persuade,No,Twitter image,
Published,6/17/16,Path to Composable,HudsonAlpha Institute and HPE - Enhancing the power of genomics (Synergy case study video),https://www.hpe.com/h22228/video-gallery/us/en/products/storage/converged-storage/C04A153F-655B-4811-AB96-AA88F53825E5/HudsonAlpha-Institute-and-HPE---Enhancing-the-power-of-genomics/video/,Engage & Persuade,No,video,
Published,6/17/16,Path to Composable,A cheat sheet for your transition to composable infrastructure (Gary Thome surround for Gartner Research: Infrastructure and Operations Leaders Should Examine Nine Critical Criteria When Assessing Composable Infrastructures),http://community.hpe.com/t5/Converged-Data-Center/A-cheat-sheet-for-your-transition-to-composable-infrastructure/ba-p/6870305#.V2Q7ebsrKM8 ,Earned Attention,No,blog post,
Published,6/13/16,Path to Composable,Blog: Ric Lewis discusses HPE game changers in interview with theCube,http://community.hpe.com/t5/Converged-Data-Center/Ric-Lewis-discusses-HPE-game-changers-in-interview-with-theCube/ba-p/6868435,Earned Attention,No,blog post,
Published,6/9/16,Path to Composable,Gartner Research: Infrastructure and Operations Leaders Should Examine Nine Critical Criteria When Assessing Composable Infrastructures,https://www.gartner.com/doc/reprints?id=1-38STNE9&ct=160606&st=sb ,Earned Attention,No,analyst paper,
Published,6/8/16,Path to Composable,Composable for Dummies,http://h20195.www2.hp.com/v2/GetDocument.aspx?docname=4AA6-6120ENW ,Earned Attention,"No?
Translation?",ebook,
Published,6/7/16,Path to Composable,Infographic: Top Ten Reasons to Move to Composable Infrastructure (previoulsy Bill of Rights infographic; same URL),http://h20195.www2.hpe.com/V2/GetDocument.aspx?docname=4AA6-4091ENW&cc=us&lc=en,Earned Attention,No,infographic,
Published,6/7/16,Path to Composable,Blog: It’s the end of the pizza night as we know it … Feel fine with Composable Infrastructure (Surround for Forrester Report),http://community.hpe.com/t5/Converged-Data-Center/It-s-the-end-of-the-pizza-night-as-we-know-it-Feel-fine-with/ba-p/6866980,Engage & Persuade,No,blog post,
Published,6/8/16,Path to Composable,"The top ten reasons to move to Composable Infrastructure ebook, rev 1 (layout redo)",http://h20195.www2.hpe.com/V2/GetPDF.aspx/4AA6-4783ENW.pdf,Earned Attention,Yes,ebook,
Published,5/31/16,Path to Composable,TechBeacon: 3 principles of Infrastructure as Code: What every manager should know,ttp://techbeacon.com/3-principles-infrastructure-code-what-every-manager-should-know,Engage & Persuade,No,article,
Published,5/31/16,Path to Composable,"Blog: Top 10 reasons to move to composable infrastructure, rev 1 (updated for new layout and Q3 paid digital)",http://community.hpe.com/t5/Converged-Data-Center/Top-10-reasons-to-move-to-composable-infrastructure/ba-p/6852890 ,Engage & Persuade,No,blog post,
Published,5/2/16,Path to Composable,Moor Insights: Bridging traditional and new IT with composable infrastructure,http://community.hpe.com/t5/Converged-Data-Center/Moor-Insights-Bridging-traditional-and-new-IT-with-composable/ba-p/6856672,Engage & Persuade,No,blog post,
Published,5/1/16,Path to Composable,Composable Infrastructure: A Hardware Foundation For Extreme Service Agility,http://reprints.forrester.com/#/assets/2/76/'RES132661'/reports,Earned Attention,No,analyst paper,
Published,4/15/16,Path to Composable,"Video: Patrick Moor, HPE Bridges the Traditional and New IT with Composable Infrrastructure","HPE Videos/Brightcove: http://h22228.www2.hpe.com/video-gallery/us/en/products/F7034F3F-A5C6-4D7D-B5FA-6BF2923505CE/r/video/ 
YouTube: https://www.youtube.com/watch?v=BcSFQMWRx5c ",Engage & Persuade,No,video,
Published,3/31/16,Path to Composable,Moor Insights Report: HPE Bridges the Traditional and New IT with Composable Infrastructure,http://h20195.www2.hpe.com/v2/GetDocument.aspx?docname=4AA6-4729ENW,Engage & Persuade,Yes,analyst paper,
Published,3/15/16,Path to Composable,Forrester: The Case for Composable Infrastructure,http://www.datacenterknowledge.com/archives/2016/03/15/the-case-for-composable-infrastructure/,Engage & Persuade,No,other website,
Published,2/29/16,Path to Composable,"Rushing to catch up with HPE, Cisco gets ahead - of itself",http://community.hpe.com/t5/Converged-Data-Center/Rushing-to-catch-up-with-HPE-Cisco-gets-ahead-of-itself/ba-p/6837535,,No,blog post,
Published,2/24/16,Path to Composable,Is business disruption spinning IT’s head?,http://community.hpe.com/t5/Converged-Data-Center/Is-business-disruption-spinning-IT-s-head/ba-p/6836098,,No,blog post,
Published,2/11/16,Path to Composable,"Just what the heck is composable infrastructure, anyway?",http://community.hpe.com/t5/Converged-Data-Center/Just-what-the-heck-is-composable-infrastructure-anyway/ba-p/6832264,,No,blog post,
Published,2/10/16,Path to Composable,"Composable Infrastructure: breakthrough to fast, fluid IT",http://community.hpe.com/t5/Converged-Data-Center/Composable-Infrastructure-breakthrough-to-fast-fluid-IT/ba-p/6831565,,No,blog post,
Published,2/5/16,Path to Composable,Business Disruption? Bring it on!,http://community.hpe.com/t5/Converged-Data-Center/Business-disruption-Bring-it-on/ba-p/6828394,Earned Attention,No,blog post,
Archived,2/4/16,Path to Composable,"Infographic: Composable Bill of Rights
See June 2016 update (same URL): Infographic: Top Ten Reasons to Move to Composable Infrastructure",http://h20195.www2.hpe.com/V2/GetDocument.aspx?docname=4AA6-4091ENW&cc=us&lc=en,Earned Attention,No,infographic,
Published,1/8/16,Path to Composable,"When it comes to composable infrastructure, beware the oxymorons",http://community.hpe.com/t5/Converged-Data-Center/When-it-comes-to-composable-infrastructure-beware-the-oxymorons/ba-p/6822749,,,blog post,
