COMPANY-TYPE,ITEM,TAX-STATUS,EMPLOYER,2015 Revenue,2014 Revenue,2013 Revenue,2012 Revenue,2011 Revenue,2010 Revenue,2009 Revenue,2008 Revenue,2007 Revenue
Utilities1 ,Revenue ,All Establishments ,Employer Firms ,576560,605238,561593,531891,562752,550965,524701,0,0
Utilities1 ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,576560,605238,561593,531891,562752,550965,524701,0,0
"Electric Power Generation, Transmission, and Distribution ",Revenue ,All Establishments ,Employer Firms ,464561,471846,446299,430080,443859,428463,406379,0,0
"Electric Power Generation, Transmission, and Distribution ",Revenue ,Establishments subject to federal income tax ,Employer Firms ,464561,471846,446299,430080,443859,428463,406379,0,0
0tural Gas Distribution ,Revenue ,All Establishments ,Employer Firms ,98154,119881,102681,89568,106591,110694,106939,0,0
0tural Gas Distribution ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,98154,119881,102681,89568,106591,110694,106939,0,0
"Water, Sewage and Other Systems ",Revenue ,All Establishments ,Employer Firms ,13845,13511,12613,12243,12302,11808,11383,0,0
"Water, Sewage and Other Systems ",Revenue ,Establishments subject to federal income tax ,Employer Firms ,13845,13511,12613,12243,12302,11808,11383,0,0
Transportation and Warehousing2 ,Revenue ,All Establishments ,Employer Firms ,876498,859178,805714,773120,732854,660440,614995,0,0
Transportation and Warehousing2 ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,876498,859178,805714,773120,732854,660440,614995,0,0
Air Transportation ,Revenue ,All Establishments ,Employer Firms ,200161,199009,189150,181271,173791,148419,136441,0,0
Air Transportation ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,200161,199009,189150,181271,173791,148419,136441,0,0
Scheduled Passenger Air Transportation ,Revenue ,All Establishments ,Employer Firms ,174099,173250,165509,157177,150392,126902,116666,0,0
Scheduled Passenger Air Transportation ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,174099,173250,165509,157177,150392,126902,116666,0,0
Scheduled Freight Air Transportation ,Revenue ,All Establishments ,Employer Firms ,6042,6146,6233,6671,7078,6441,5795,0,0
Scheduled Freight Air Transportation ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,6042,6146,6233,6671,7078,6441,5795,0,0
Nonscheduled Chartered Passenger Air Transportation ,Revenue ,All Establishments ,Employer Firms ,13709,13285,11706,11451,11132,10499,9300,0,0
Nonscheduled Chartered Passenger Air Transportation ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,13709,13285,11706,11451,11132,10499,9300,0,0
Nonscheduled Chartered Freight Air Transportation ,Revenue ,All Establishments ,Employer Firms ,4474,4269,3736,4173,3581,3317,3353,0,0
Nonscheduled Chartered Freight Air Transportation ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,4474,4269,3736,4173,3581,3317,3353,0,0
Other Nonscheduled Air Transportation ,Revenue ,All Establishments ,Employer Firms ,1837,2059,1966,1799,1608,1260,1327,0,0
Other Nonscheduled Air Transportation ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,1837,2059,1966,1799,1608,1260,1327,0,0
Water Transportation ,Revenue ,All Establishments ,Employer Firms ,44003,45132,42807,41709,39540,37392,34937,0,0
Water Transportation ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,44003,45132,42807,41709,39540,37392,34937,0,0
Deep Sea Freight Transportation ,Revenue ,All Establishments ,Employer Firms ,8443,9215,9530,9640,9409,9281,8239,0,0
Deep Sea Freight Transportation ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,8443,9215,9530,9640,9409,9281,8239,0,0
Deep Sea Passenger Transportation ,Revenue ,All Establishments ,Employer Firms ,18593,17985,16875,16325,15307,14393,13440,0,0
Deep Sea Passenger Transportation ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,18593,17985,16875,16325,15307,14393,13440,0,0
Coastal and Great Lakes Freight Transportation ,Revenue ,All Establishments ,Employer Firms ,7509,7909,7657,7006,6486,6254,5356,0,0
Coastal and Great Lakes Freight Transportation ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,7509,7909,7657,7006,6486,6254,5356,0,0
Coastal and Great Lakes Passenger Transportation ,Revenue ,All Establishments ,Employer Firms ,492,432,387,371,357,307,297,0,0
Coastal and Great Lakes Passenger Transportation ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,492,432,387,371,357,307,297,0,0
Inland Water Freight Transportation ,Revenue ,All Establishments ,Employer Firms ,8652,9281,8064,8074,7698,6879,7370,0,0
Inland Water Freight Transportation ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,8652,9281,8064,8074,7698,6879,7370,0,0
Inland Water Passenger Transportation ,Revenue ,All Establishments ,Employer Firms ,314,310,294,293,283,278,235,0,0
Inland Water Passenger Transportation ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,314,310,294,293,283,278,235,0,0
Truck Transportation ,Revenue ,All Establishments ,Employer Firms ,263249,263875,245520,238003,221096,197963,182749,223204,217833
Truck Transportation ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,263249,263875,245520,238003,221096,197963,182749,223204,217833
"General Freight Trucking, Local ",Revenue ,All Establishments ,Employer Firms ,26426,26222,24305,23360,21889,19902,18134,21792,21174
"General Freight Trucking, Local ",Revenue ,Establishments subject to federal income tax ,Employer Firms ,26426,26222,24305,23360,21889,19902,18134,21792,21174
"General Freight Trucking, Long-Distance, Truckload ",Revenue ,All Establishments ,Employer Firms ,101884,101178,94298,92215,87027,77474,70551,86540,83386
"General Freight Trucking, Long-Distance, Truckload ",Revenue ,Establishments subject to federal income tax ,Employer Firms ,101884,101178,94298,92215,87027,77474,70551,86540,83386
"General Freight Trucking, Long-Distance, Less Than Truckload ",Revenue ,All Establishments ,Employer Firms ,41221,41378,38805,37453,35472,31698,29260,37817,37948
"General Freight Trucking, Long-Distance, Less Than Truckload ",Revenue ,Establishments subject to federal income tax ,Employer Firms ,41221,41378,38805,37453,35472,31698,29260,37817,37948
Used Household and Office Goods Moving ,Revenue ,All Establishments ,Employer Firms ,15897,15366,14348,13651,12992,12361,12188,14375,14549
Used Household and Office Goods Moving ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,15897,15366,14348,13651,12992,12361,12188,14375,14549
"Specialized Freight (except Used Goods) Trucking, Local ",Revenue ,All Establishments ,Employer Firms ,38828,40873,37631,36171,32168,28465,26612,32021,31549
"Specialized Freight (except Used Goods) Trucking, Local ",Revenue ,Establishments subject to federal income tax ,Employer Firms ,38828,40873,37631,36171,32168,28465,26612,32021,31549
"Specialized Freight (except Used Goods) Trucking, Long-Distance ",Revenue ,All Establishments ,Employer Firms ,38993,38858,36133,35153,31548,28063,26004,30659,29227
"Specialized Freight (except Used Goods) Trucking, Long-Distance ",Revenue ,Establishments subject to federal income tax ,Employer Firms ,38993,38858,36133,35153,31548,28063,26004,30659,29227
Transit and Ground Passenger Transportation ,Revenue ,All Establishments ,Employer Firms ,34031,32969,31307,29955,28394,26900,27526,0,0
Transit and Ground Passenger Transportation ,Revenue ,Establishments subject to federal income tax ,Employer Firms ,34031,32969,31307,29955,28394,26900,27526,0,0
Urban Transit Systems ,Revenue ,All Establishments ,Employer Firms ,5596,5443,5178,4940,4718,4460,4855,0,0
