COMPANY-NAME,URL,CITY,STATE,EMPLOYEES,TAGS,sponsorship-activation,mobile-tours,b-to-b-meetingsevents,launch-events,buzz-influencer-programs,pr-events,worldwide-event-programs,sampling,sales-conferencesmeetings,internal-employee-events,guerrilla-street-programs,nightlife-marketing,pop-up-stores,trade-shows,retailtainment-events,developer-conferencesevents,college-campus-marketing,press-events,multicultural-events,automotive-launches-and-personal-drive-experiences,events-for-content,digitalsocial-program-creation,corporate-visitorexperience-centers,sports-marketing,incentive-travel
ACTIVENT MARKETING,http://www.eventmarketer.com/company/activent-marketing/,TBD,TBD,1,all guerrilla-street-programs mobile-tours sponsorship-activation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADVANTAGE INTERNATIONAL,http://www.eventmarketer.com/company/advantage-international/,TBD,TBD,1,all b-to-b-meetingsevents mobile-tours sponsorship-activation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGENCYEA,http://www.eventmarketer.com/company/agencyea/,TBD,TBD,1,all b-to-b-meetingsevents internal-employee-events sales-conferencesmeetings,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALL TERRAIN,http://www.eventmarketer.com/company/all-terrain/,TBD,TBD,1,all buzz-influencer-programs mobile-tours sponsorship-activation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALLIED EXPERIENTIAL,http://www.eventmarketer.com/company/allied-experiential/,TBD,TBD,1,all mobile-tours pr-events pop-up-stores,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASTOUND GROUP,http://www.eventmarketer.com/company/astound-group/,TBD,TBD,1,all launch-events mobile-tours trade-shows,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BARKLEY KALPAK AGENCY,http://www.eventmarketer.com/company/barkley-kalpak/,TBD,TBD,1,all b-to-b-meetingsevents launch-events sales-conferencesmeetings,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BMF MEDIA,http://www.eventmarketer.com/company/bmf-media/,TBD,TBD,1,all buzz-influencer-programs launch-events sponsorship-activation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOLT MARKETING GROUP,http://www.eventmarketer.com/company/bolt-marketing-group/,TBD,TBD,1,all guerrilla-street-programs mobile-tours sponsorship-activation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOTTLEROCKET MARKETING,http://www.eventmarketer.com/company/bottlerocket-marketing/,TBD,TBD,1,all mobile-tours pr-events sampling,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BROADSTREET,http://www.eventmarketer.com/company/broadstreet/,TBD,TBD,1,all b-to-b-meetingsevents internal-employee-events sales-conferencesmeetings,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C3 AGENCY,http://www.eventmarketer.com/company/c3-agency/,TBD,TBD,1,all buzz-influencer-programs launch-events pop-up-stores,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CARDENAS MARKETING NETWORK,http://www.eventmarketer.com/company/cardenas-marketing-network/,TBD,TBD,1,all retailtainment-events multicultural-events sponsorship-activation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CRAMER,http://www.eventmarketer.com/company/cramer/,TBD,TBD,1,all b-to-b-meetingsevents internal-employee-events sales-conferencesmeetings,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DIVISION BLACK,http://www.eventmarketer.com/company/division-black/,TBD,TBD,1,all buzz-influencer-programs guerrilla-street-programs pr-events,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DRIVESHOP,http://www.eventmarketer.com/company/driveshop/,TBD,TBD,1,all automotive-launches-and-personal-drive-experiences launch-events sponsorship-activation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ELEMENTO L2,http://www.eventmarketer.com/company/elemento-l2/,TBD,TBD,1,all mobile-tours multicultural-events sponsorship-activation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ELITE MARKETING GROUP,http://www.eventmarketer.com/company/elite-exp/,TBD,TBD,1,all guerrilla-street-programs mobile-tours sampling,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EMG3,http://www.eventmarketer.com/company/emg3/,TBD,TBD,1,all mobile-tours sampling sponsorship-activation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENGINE SHOP,http://www.eventmarketer.com/company/engine-shop/,TBD,TBD,1,all buzz-influencer-programs mobile-tours sponsorship-activation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EPSILON,http://www.eventmarketer.com/company/epsilon/,TBD,TBD,1,all b-to-b-meetingsevents mobile-tours nightlife-marketing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EVENT STRATEGY GROUP,http://www.eventmarketer.com/company/event-strategy-group/,TBD,TBD,1,all b-to-b-meetingsevents launch-events worldwide-event-programs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EVENTAGE,http://www.eventmarketer.com/company/eventage/,TBD,TBD,1,all b-to-b-meetingsevents launch-events pr-events,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
