COMPANY-NAME,STATUS,CITY,STATE,EMPLOYEES
EMG3,Owned by TideSmart Global,Falmouth,ME,11-50
ENGINE SHOP,Owned by Bruin Sports Capital,NY,NY,50-200
EPSILON,public,Irving,TX,500+
EVENT STRATEGY GROUP,private,Broomall,PA,11-50
EVENTAGE,independent,South Orange,NJ,11-50
EVENTIVE,public,NY,NY,11-50
EVENTNEXT,public,Lake Orion,MI,11-50
EXECUTIVE VISIONS INC.,independent,Norcross ,GA,11-50
FACTORY 360,independent,NY,NY,50-200
FCBX,public,Chicago,IL,11-50
FIRST PROTOCOL,private,London,England,180
FLUENT,private,Colombia,SC,11-50
FREEMANXP,Owned by Freeman,Dallas,TX,50-200
FUSION MARKETING,private,St. Louis,MO,11-50
GEOMETRY GLOBAL,public,NY,NY,1000+
GEORGE P. JOHNSON,Owned by Project,Auburn Hills,MI,1000+
GIANT STEP MARKETING,private,Brooklyn,NY,11-50
GLOBAL EXPERIENCE SPECIALISTS (GES),public,Las Vegas,NV,500+
GMR MARKETING,public,New Berlin ,WI,500+
GO! EXPERIENCE DESIGN,private,Atlanta,GA,11-50
GROW MARKETING,private,san francisco,CA,11-50
HAVAS IMPACT,public,Chicago,IL,50-200
HENRY V,private,Portland,OR,50-200
IGNITION,Owned by Havas,Atlanta,GA,50-200
IMAGINATION,private,London,England,500+
IMG LIVE,Owned by WME | IMG,Norcross,GA,50-200
INFINITY MARKETING TEAM,independent,Culver City,CA,50-200
INFRARED,owned by Red Peak Group,NY,NY,11-50
INSPIRA MARKETING GROUP,independent,Norwalk,CT,200-500
INVISION COMMUNICATIONS,private,Walnut Creek,CA,50-200
INVNT,public,NY,NY,50-200
JACK MORTON WORLDWIDE,public,NY,NY,500+
KENWOOD EXPERIENCES,private,san francisco,CA,11-50
KICKING COW,private,st. louis,MO,11-50
KUBIK,private,toronto,Ontario,200-500
LEGACY MARKETING,private,Chicago,IL,450
LEO EVENTS,private,Memphis,TN,11-50
MAC PRESENTS,private,NY,NY,11-50
MAGNETIC COLLABORATIVE,private,NY,NY,51-200
MANIFESTO,private,Portland,OR,11-50
MANIFOLD,private,san francisco,CA,11-50
THE MARKETING ARM,public,Dallas,TX,500+
MARKETING FACTORY,private,Los Angeles,CA,11-50
MARKETING WERKS,owned by Crossmark,Chicago,IL,50-200
MATCH MARKETING GROUP,private,Norwalk,CT,500+
THE MICHAEL ALAN GROUP,private,NY,NY,11-50
MIRRORBALL,private,NY,NY,51-200
MIRRORED MEDIA,private,Santa Monica,CA,11-50
MKG,private,NY,NY,51-200
MKTG,owned by Dentsu,NY,NY,1450
MODERNE COMMUNICATIONS,private,Rockville Centre,NY,11-50
MOMENTUM WORLDWIDE,public,NY,NY,1000+
MOSAIC,private,Mississauga,Ontario,1000+
MOTIVE,private,NY,NY,50-200
MVP COLLABORATIVE,private,Madison Heights,Michigan,11-50
NA COLLECTIVE,private,NY,NY,11-50
NCOMPASS,private,West Hollywood,CA,50-200
NEWBRIDGE LIVE,private,Portland,ME,11-50
NEXT MARKETING,independent,Atlanta,GA,11-50
NVE,private,Beverly Hills,CA,17
OCTAGON,public,McLean,VA,800
ON BOARD EXPERIENTIAL,private,Sausalito,CA,50-200
OPUS AGENCY,private,Beaverton,OR,50-200
PERFORMANCE MARKETING GROUP,private,Indianapolis,IN,50-200
PGW EXPERIENCE,owned by CAA,Los Angeles,CA,50-200
POP2LIFE,private,NY,NY,11-50
PROSCENIUM,partership,NY,NY,11-50
REDPEG MARKETING,private in a collective,Alexandria,VA,50-200
REVEL,private,Muskegon,MI,11-50
REVOLUTION,independent,Chicago,IL,50-200
SET,public,Portland,OR,50-200
SOHO EXPERIENTIAL,private,NY,NY,11-50
SPARKS,private,Philadelphia,PA,200-500
SUPERFLY,private,NY,NY,50-200
SWITCH,private,st. louis,MO,50-200
SYNERGY,private,Ocean,NJ,50-200
THE TAYLOR GROUP,private,Brampton,Ontario,200-500
TOUCH WORLDWIDE,private,Seattle,WA,50-200
TRACK MARKETING GROUP,private,NY,NY,11-50
UNITED ENTERTAINMENT GROUP,owned by Edelman,NY,NY,50-200
THE VISIONARY GROUP,private,Los Angeles,CA,35
WASSERMAN,private,Los Angeles,CA,500+
