,city,state_l,metro,revenue,url,industry,workers,rank,id,yrs_on_list,growth,ifmid,ifiid,state_s,company
0,El Segundo,California,Los Angeles,195640000,fuhu,Consumer Products & Services,227,1,22890,2,158956.9106,2,4,CA,Fuhu
1,El Segundo,California,Los Angeles,82640563,quest-nutrition,Food & Beverage,191,2,25747,1,57347.9246,2,11,CA,Quest Nutrition
2,Arlington,Virginia,"Washington, DC",85076502,reliant-asset-management,Business Products & Services,145,3,25643,1,55460.1646,3,17,VA,Reliant Asset Management
3,Palo Alto,California,San Jose,35293000,superfish,Software,62,4,26098,1,26042.963,20,9,CA,Superfish
4,Maynard,Massachusetts,Boston,77652360,acacia-communications,Telecommunications,92,5,26182,1,20690.4578,6,14,MA,Acacia Communications
5,Auburn,Maine,"Lewiston-Auburn, ME",137977203,provider-power,Energy,50,6,22913,2,19876.5169,151,16,ME,Provider Power
6,South San Francisco,California,San Francisco,27308000,crescendo-bioscience,Health,129,7,22937,2,18375.0693,4,10,CA,Crescendo Bioscience
7,Scottsdale,Arizona,Phoenix,159897088,plexus-worldwide,Health,130,8,25413,1,16457.6529,46,10,AZ,Plexus Worldwide
8,Portland,Oregon,"Portland, OR",26263454,vacasa,Travel & Hospitality,264,9,26079,1,16192.061,10,22,OR,Vacasa
9,Wilmington,North Carolina,"Wilmington, NC",32851754,go-energies,Energy,11,10,25861,1,16006.8013,192,16,NC,Go Energies
10,Boulder,Colorado,"Boulder, CO",15782039,minute-key,Consumer Products & Services,113,11,25231,1,14588.3448,31,4,CO,Minute Key
11,Lenexa,Kansas,"Kansas City, MO-KS",19243863,sainstore,Business Products & Services,135,12,26450,1,14086.513,21,17,KS,SainStore
12,Jacksonville,Florida,"Jacksonville, FL",34583142,the-hci-group,Health,153,13,22892,2,13230.9467,64,10,FL,The HCI Group
13,Palmetto,Florida,"Sarasota-Bradenton-Venice, FL",19802935,dynamic-dental-partners-group,Health,313,14,26223,1,12895.5867,576,10,FL,Dynamic Dental Partners Group
14,Raleigh,North Carolina,"Raleigh-Cary, NC",13887650,aseptia,Food & Beverage,159,15,25021,1,12427.4225,36,11,NC,Aseptia
15,Honolulu,Hawaii,"Honolulu, HI",20445071,asentra-health,Health,34,16,26535,1,12127.9133,101,10,HI,Asentra Health
16,Los Angeles,California,Los Angeles,52086567,american-solar-direct,Energy,436,17,24632,1,11560.3538,2,16,CA,American Solar Direct
17,McLean,Virginia,"Washington, DC",12315210,prescient-edge,Government Services,42,18,26246,1,11497.7718,3,7,VA,Prescient Edge
18,Scottsdale,Arizona,Phoenix,46400872,bluesquare-resolutions,Financial Services,27,19,22962,2,11488.6004,46,2,AZ,BlueSquare Resolutions
19,Fairhope,Alabama,"Daphne-Fairhope-Foley, AL",11819161,bes-designbuild,Construction,44,20,25398,1,11374.9136,589,20,AL,BES Design/Build
20,Austin,Texas,Austin,11260000,simpler-trading,Financial Services,12,21,25290,1,10522.6415,18,2,TX,Simpler Trading
21,Richmond,Virginia,"Richmond, VA",34382478,sweetfrog-premium-frozen-yogurt,Food & Beverage,790,22,24803,1,10371.7994,40,11,VA,sweetFrog Premium Frozen Yogurt
22,Tempe,Arizona,Phoenix,12479598,base-commerce,Financial Services,17,23,25925,1,10186.259,46,2,AZ,Base Commerce
23,Dallas,Texas,Dallas,17095000,cpsg-partners,IT Services,102,24,25323,1,9531.6371,8,8,TX,CPSG Partners
24,Tampa,Florida,Tampa,17037000,medhok,Health,102,25,25679,1,9109.1892,7,10,FL,MedHOK
25,Miami,Florida,Miami,13443409,showroom-logic,Advertising & Marketing,90,26,25524,1,8448.5785,1,5,FL,Showroom Logic
26,Morrisville,Pennsylvania,Philadelphia,9007000,weveel,Consumer Products & Services,27,27,25360,1,8239.8148,49,4,PA,WeVeel
27,Westlake Village,California,Los Angeles,11874148,packit,Consumer Products & Services,10,28,25764,1,7877.9544,2,4,CA,PackIt
28,Scottsdale,Arizona,Phoenix,13876488,american-retirement-advisors,Financial Services,8,29,25317,1,7758.1594,46,2,AZ,American Retirement Advisors
29,Indianapolis,Indiana,"Indianapolis, IN",95810719,highpoint-global,Government Services,200,30,26342,1,7638.5408,81,7,IN,HighPoint Global
30,Columbia,Missouri,"Columbia, MO",13326503,adkarma,Advertising & Marketing,33,31,24949,1,7635.2397,62,5,MO,AdKarma
31,Berkeley Heights,New Jersey,New York City,8963909,axtria,Software,176,32,25188,1,7351.2959,9,9,NJ,Axtria
32,San Francisco,California,San Francisco,7585000,dolls-kill,Retail,24,33,25240,1,7055.6604,4,18,CA,Dolls Kill
33,New York,New York,New York City,18045419,centric-digital,Business Products & Services,140,34,25357,1,6898.4173,9,17,NY,Centric Digital
34,New York,New York,New York City,7013359,credibly,Financial Services,55,35,25522,1,6861.3577,9,2,NY,Credibly
35,Madison,Wisconsin,"Madison, WI",6821205,restore-health,Health,61,36,22949,2,6663.1769,78,10,WI,Restore Health
36,Fort Worth,Texas,Dallas,8853881,openroad-lending,Financial Services,53,37,25527,1,6603.3722,8,2,TX,OpenRoad Lending
37,New Orleans,Louisiana,"New Orleans-Metairie-Kenner, LA",10545091,pontchartrain-partners,Government Services,25,38,25755,1,6535.0538,33,7,LA,Pontchartrain Partners
38,Chevy Chase,Maryland,"Washington, DC",6772856,team-extreme-marketing-international,Consumer Products & Services,1,39,25634,1,6369.1921,3,4,MD,Team Extreme Marketing International
39,Des Moines,Iowa,"Des Moines-West Des Moines, IA",20894369,choice-energy,Energy,4,40,25306,1,6020.9548,161,16,IA,Choice Energy
40,New York,New York,New York City,5963105,revimedia,Advertising & Marketing,24,41,26117,1,5817.1289,9,5,NY,ReviMedia
41,Pleasanton,California,San Francisco,11396150,smartzip-analytics,Software,96,42,26490,1,5811.3568,4,9,CA,SmartZip Analytics
42,Huntsville,Alabama,"Huntsville, AL",14104761,thompson-gray,Government Services,48,43,25659,1,5752.5251,69,7,AL,Thompson Gray
43,Norman,Oklahoma,"Oklahoma City, OK",7686703,mcsg-technologies,IT Services,147,44,26179,1,5715.2859,38,8,OK,MCSG Technologies
44,Irving,Texas,Dallas,10247444,innovative-surveillance-solutions,Security,20,45,25965,1,5604.7826,8,13,TX,Innovative Surveillance Solutions
45,Madison,Wisconsin,"Madison, WI",81410104,nordic,Health,379,46,25677,1,5593.0143,78,10,WI,Nordic
46,Richmond,Michigan,Detroit,6178120,michigan-realty-solutions,Real Estate,40,47,25385,1,5530.8057,50,3,MI,Michigan Realty Solutions
47,Enon,Ohio,"Springfield, OH",23809245,ohio-investments,Real Estate,17,48,25931,1,5507.4529,372,3,OH,Ohio Investments
48,New York,New York,New York City,5637838,adore-me,Retail,30,49,25654,1,5505.55,9,18,NY,Adore Me
49,Tamarac,Florida,Miami,8269660,iq-formulations,Health,35,50,26146,1,5486.2116,1,10,FL,IQ Formulations
50,Chicago,Illinois,Chicago,6577541,max-digital,Software,32,51,26092,1,5483.1298,17,9,IL,MAX Digital
51,New Orleans,Louisiana,"New Orleans-Metairie, LA",5792929,maxhome,Construction,50,52,25699,1,5438.9673,1010,20,LA,MaxHome
52,Cranston,Rhode Island,"Providence-New Bedford-Fall River, RI-MA",230109687,alex-and-ani,Retail,1106,53,17948,5,5220.9165,55,18,RI,Alex and Ani
53,New York,New York,New York City,6261593,crowdtap,Advertising & Marketing,46,54,25453,1,5217.2043,9,5,NY,Crowdtap
54,Elgin,Illinois,Chicago,5703235,compass-automation,Manufacturing,30,55,25107,1,5214.2331,17,15,IL,Compass Automation
55,San Diego,California,San Diego,5757194,multifamily-utility-company,Real Estate,35,56,25445,1,5196.0656,11,3,CA,Multifamily Utility Company
56,Scottsdale,Arizona,Phoenix,5958067,the-joint,Health,19,57,21041,3,5139.4732,46,10,AZ,The Joint
57,San Francisco,California,San Francisco,6178728,bizness-apps,Software,70,58,26233,1,5078.5874,4,9,CA,Bizness Apps
58,Los Angeles,California,Los Angeles,15363997,ecosense,Construction,59,59,25846,1,5059.1489,2,20,CA,EcoSense
59,San Diego,California,San Diego,6385268,photobin,Consumer Products & Services,61,60,26043,1,5003.4376,11,4,CA,PhotoBin
60,Fort Worth,Texas,Dallas,5764577,pmg-worldwide,Advertising & Marketing,44,61,25914,1,5000.4026,8,5,TX,PMG Worldwide
61,Englewood,New Jersey,New York City,6494832,victor-securities,Financial Services,19,62,21105,3,4897.024,9,2,NJ,Victor Securities
62,Irving,Texas,Dallas,9149555,elan-technologies,IT Services,89,63,24951,1,4863.7089,8,8,TX,eLan Technologies
63,Maple Glen,Pennsylvania,Philadelphia,166889598,centennial-lending-group,Financial Services,41,64,25166,1,4845.0294,49,2,PA,Centennial Lending Group
64,Brooklyn,New York,New York City,107900476,tough-mudder,Health,143,65,26157,1,4737.5104,9,10,NY,Tough Mudder
65,Laguna Niguel,California,Los Angeles,30058088,netcom3-global,Software,40,66,21440,3,4724.7797,2,9,CA,Netcom3 Global
66,Huntsville,Alabama,"Huntsville, AL",23252268,gideon-services,Government Services,3,67,26204,1,4723.0413,69,7,AL,Gideon Services
67,Washington,District of Columbia,"Washington, DC",18327000,viderity,Government Services,34,68,22983,2,4722.8947,3,7,DC,Viderity
68,Waltham,Massachusetts,Boston,5017670,affectiva,Software,37,69,25774,1,4676.4588,6,9,MA,Affectiva
69,Cambridge,Massachusetts,Boston,45929345,everquote,Advertising & Marketing,40,70,24877,1,4669.4024,6,5,MA,EverQuote
70,Miramar,Florida,Miami,6000834,acordis-international,IT Services,28,71,23088,2,4638.7226,1,8,FL,Acordis International
71,Sonoma,California,"Napa, CA",16940863,krave-pure-foods,Food & Beverage,40,72,26510,1,4632.0582,255,11,CA,KRAVE Pure Foods
72,Austin,Texas,Austin,9157664,main-street-hub,Advertising & Marketing,175,73,25018,1,4625.3168,18,5,TX,Main Street Hub
73,East Greenwich,Rhode Island,"Providence-New Bedford-Fall River, RI-MA",23499000,first-point-power,Energy,4,74,26093,1,4355.2259,55,16,RI,First Point Power
74,Scottsdale,Arizona,Phoenix,8815804,ethology,Advertising & Marketing,64,75,26181,1,4219.4187,46,5,AZ,Ethology
75,Brooklyn,New York,New York City,54355000,regal-wings,Travel & Hospitality,126,76,22998,2,4146.4844,9,22,NY,Regal Wings
76,Hopkinton,Massachusetts,Boston,12477972,solect-energy,Energy,23,77,25843,1,4101.3374,6,16,MA,Solect Energy
77,Burleson,Texas,Dallas,4897229,old-pro-roofing,Construction,16,78,25910,1,4076.4206,8,20,TX,Old Pro Roofing
78,Manhattan Beach,California,Los Angeles,6058237,clean-energy-experts,Advertising & Marketing,53,79,25062,1,4063.5937,2,5,CA,Clean Energy Experts
79,Pompano Beach,Florida,Miami,8003961,logoupcom,Retail,32,80,25618,1,4062.0098,1,18,FL,LogoUp.com
80,Washington,District of Columbia,"Washington, DC",15010399,analytica,IT Services,28,81,25868,1,4056.1632,3,8,DC,ANALYTICA
81,Austin,Texas,Austin,22119065,phunware,Software,131,82,22919,2,4040.0382,18,9,TX,Phunware
82,Redwood City,California,San Francisco,7315850,icracked,Consumer Products & Services,39,83,25510,1,4033.2486,4,4,CA,iCracked
83,Long Island City,New York,New York City,4139786,buybackworld,Consumer Products & Services,13,84,25545,1,4011.2131,9,4,NY,BuyBackWorld
84,Washington,District of Columbia,"Washington, DC",5693350,tahzoo,Business Products & Services,49,85,25518,1,3946.3888,3,17,DC,Tahzoo
85,Salt Lake City,Utah,Salt Lake City,18286053,connexion-point,Health,1250,86,24946,1,3943.8155,12,10,UT,Connexion Point
