,AGENCY,PARENT,2015 US REVENUE,% CHG
121,Derse*,Independent,94478000,2.5
124,TMP Worldwide Advertising & Communications,Independent,91816000,6.1
125,Innocean Worldwide,Independent,91270000,4.6
126,Group360 Worldwide*,Independent,90000000,12.5
127,W2O Group,Independent,88468000,16.9
128,Brunswick Group*,Independent,88250000,25.0
129,EPAM Systems,Independent,85754000,15.9
131,Wasserman Media Group*,Independent,85280000,19.6
140,WE Communications,Independent,80044000,-8.6
144,22squared,Independent,76646000,2.0
145,Periscope,Independent,74380000,7.0
146,VSA Partners,Independent,73769000,-7.6
147,Ivie & Associates,Independent,72809000,26.0
148,SourceLink,Independent,72800000,9.0
149,AbelsonTaylor,Independent,72092000,13.2
152,HelloWorld*,Independent,70000000,0.0
154,FTI Consulting (Strategic Communications)*,Independent,67828000,5.6
156,Finn Partners,Independent,66634000,5.5
157,Apco Worldwide,Independent,66152000,-4.2
159,Marketing Store,Independent,65897000,14.6
163,PureRed,Independent,63153000,15.9
167,Moroch Partners,Independent,61519000,11.6
169,Acronym,Independent,60850000,21.2
172,Code and Theory,Independent,58000000,
173,Allen & Gerritsen,Independent,57436000,0.0
175,Rauxa,Independent,56460000,-5.3
176,ICR,Independent,56209000,10.8
178,Mars Agency,Independent,55009000,1.4
181,MWWPR*,Independent,54000000,0.9
182,Marketing Werks*,Independent,53976000,-11.1
183,Barkley,Independent,53790000,15.6
184,Fusion Marketing,Independent,53600000,7.2
186,Sard Verbinnen & Co.*,Independent,51830000,8.9
189,Paradysz & PM Digital,Independent,50202000,9.5
190,Brierley & Partners*,Independent,50000000,11.1
192,Impact XM,Independent,49620000,6.9
194,R&R Partners,Independent,49040000,-0.3
196,Ackerman McQueen,Independent,48074000,2.5
198,DKC,Independent,46950000,13.1
199,Ruder Finn*,Independent,46400000,0.1
200,R2C Group,Independent,45800000,3.5
201,M&C Saatchi,Independent,45333000,81.3
203,Kobie Marketing,Independent,45000000,77.6
204,Media Storm*,Independent,44506000,0.0
205,U.S. International Media*,Independent,44036000,0.9
206,GlobalHue*,Independent,43946000,-13.5
207,Sandbox Group,Independent,43876000,18.7
208,Allied Integrated Marketing*,Independent,43741000,7.9
211,Pepperjam,Independent,42300000,
212,BVK,Independent,42250000,10.0
213,Ayzenberg Group,Independent,42050000,31.4
214,The Bloc,Independent,41726000,-8.1
215,Didit,Independent,41478000,32.5
218,Sparks*,Independent,40872000,4.2
221,CMI/Compas*,Independent,39552000,32.3
222,Greater Than One,Independent,39200000,35.0
228,David & Goliath,Independent,37400000,11.3
231,Mercury Media*,Independent,36380000,0.0
233,CMD,Independent,36148000,10.6
234,Venables Bell & Partners,Independent,36000000,-7.7
235,Eric Mower & Associates,Independent,35791000,-1.3
236,PadillaCRT,Independent,35670000,7.4
237,Anderson Direct & Digital,Independent,35608000,4.7
239,Cramer,Independent,35500000,36.5
242,Knock,Independent,35274000,13.3
