,city,state_l,metro,revenue,url,industry,workers,rank,id,yrs_on_list,growth,ifmid,ifiid,state_s,company
7,Santa Monica,California,Los Angeles,15598837,los-york,Advertising & Marketing,25,8,42945,1,14404.6093,2,5,CA,Los York
61,Scottsdale,Arizona,Phoenix,5509381,sparty-ventures,Advertising & Marketing,5,61,37416,2,4271.6919,46,5,AZ,Sparty Ventures
87,San Jose,California,San Jose,5591094,tapclicks,Advertising & Marketing,96,87,43012,1,3533.9549,20,5,CA,TapClicks
124,Portland,Oregon,"Portland, OR",8152899,manifesto-agency,Advertising & Marketing,22,124,43041,1,2769.0217,10,5,OR,Manifesto Agency
137,Grand Rapids,Michigan,"Grand Rapids-Wyoming, MI",8356001,boost-marketing-group,Advertising & Marketing,4,137,43053,1,2559.3852,219,5,MI,Boost Marketing Group
178,Reno,Nevada,"Reno, NV",5882854,abuv-media,Advertising & Marketing,29,178,43082,1,2071.3958,1013,5,NV,ABUV Media
198,San Mateo,California,San Francisco,66081971,drawbridge,Advertising & Marketing,110,199,36636,2,1902.9896,4,5,CA,Drawbridge
201,New York,New York,New York City,18080327,movable-ink,Advertising & Marketing,96,202,43100,1,1897.1509,9,5,NY,Movable Ink
286,Park City,Utah,"Summit Park, UT",7375000,advice-media,Advertising & Marketing,65,287,43167,1,1360.396,1022,5,UT,Advice Media
291,San Francisco,California,San Francisco,10259310,metamarkets,Advertising & Marketing,36,292,43169,1,1350.9159,4,5,CA,Metamarkets
313,Boston,Massachusetts,Boston,9755851,pixability,Advertising & Marketing,58,314,37100,2,1225.9376,6,5,MA,Pixability
329,New York,New York,New York City,8879980,signpost,Advertising & Marketing,300,330,43194,1,1172.7468,9,5,NY,Signpost
335,New York,New York,New York City,94183530,kargo,Advertising & Marketing,169,336,36920,2,1140.7235,9,5,NY,Kargo
346,New York,New York,New York City,7282515,influenster,Advertising & Marketing,30,347,43203,1,1105.4809,9,5,NY,Influenster
348,Austin,Texas,Austin,5364355,status-labs,Advertising & Marketing,29,349,43204,1,1099.2558,18,5,TX,Status Labs
366,Atlanta,Georgia,Atlanta,77634380,cardlytics,Advertising & Marketing,366,366,36700,2,1049.2938,29,5,GA,Cardlytics
424,New York,New York,New York City,18888583,convertmedia,Advertising & Marketing,60,423,43248,1,909.0055,9,5,NY,ConvertMedia
430,New York,New York,New York City,10635693,kepler-group,Advertising & Marketing,75,429,43251,1,889.1616,9,5,NY,Kepler Group
434,Brooklyn,New York,New York City,10188446,prolific-interactive,Advertising & Marketing,100,433,43254,1,881.9148,9,5,NY,Prolific Interactive
491,New York,New York,New York City,60738467,liveintent,Advertising & Marketing,220,490,22941,2,776.1572,9,5,NY,LiveIntent
495,Kew Gardens,New York,New York City,5351535,advantages,Advertising & Marketing,7,494,37274,2,771.1003,9,5,NY,Advantages
506,Miami,Florida,Miami,33832892,showroom-logic,Advertising & Marketing,118,505,25524,3,749.6988,1,5,FL,Showroom Logic
507,New York,New York,New York City,9245052,wondersauce,Advertising & Marketing,68,506,43293,1,749.4589,9,5,NY,Wondersauce
509,New York,New York,New York City,14848179,contently,Advertising & Marketing,104,508,36707,2,748.9569,9,5,NY,Contently
519,Seattle,Washington,Seattle,60407280,tune,Advertising & Marketing,250,518,22933,4,740.6433,23,5,WA,TUNE
526,Chicago,Illinois,Chicago,40100294,home-run-media,Advertising & Marketing,18,525,43299,1,731.4455,17,5,IL,Home Run Media
