,Unnamed: 0,city,state_l,metro,revenue,url,industry,workers,rank,id,yrs_on_list,growth,ifmid,ifiid,state_s,company
4,4,Boston,Massachusetts,Boston,87036000,dataxu,Advertising & Marketing,220,5,22894,1,21337.4384,6,5,MA,DataXu
7,7,San Francisco,California,San Francisco,23858231,emerge-digital-group,Advertising & Marketing,75,8,22897,1,17064.0715,4,5,CA,Emerge Digital Group
11,11,San Francisco,California,San Francisco,34121000,adroll,Advertising & Marketing,200,12,20974,2,15064.8889,4,5,CA,AdRoll
18,18,Cupertino,California,San Jose,26799334,bluekai,Advertising & Marketing,107,20,22905,1,9245.497,20,5,CA,BlueKai
25,25,Boulder,Colorado,"Boulder, CO",12555504,trada,Advertising & Marketing,75,27,22908,1,8100.9053,31,5,CO,Trada
28,28,New York,New York,New York City,8066424,sailthru,Advertising & Marketing,79,30,22911,1,7322.1789,9,5,NY,Sailthru
35,35,New York,New York,New York City,17967652,yellowhammer,Advertising & Marketing,27,37,22918,1,6739.9472,9,5,NY,YellowHammer
36,36,New York,New York,New York City,7139438,conductor,Advertising & Marketing,89,38,17365,2,6701.6024,9,5,NY,Conductor
45,45,Irvine,California,Los Angeles,13840594,29-prime,Advertising & Marketing,300,47,20998,2,5443.3109,2,5,CA,29 Prime
49,49,Fort Collins,Colorado,"Fort Collins, CO",6901850,madwire,Advertising & Marketing,127,51,22925,1,5254.2559,1009,5,CO,Madwire
52,52,Denver,Colorado,Denver,11418569,altitude-digital,Advertising & Marketing,21,54,21011,2,5162.0134,30,5,CO,Altitude Digital
55,55,Newark,California,San Francisco,35566766,lead5-media,Advertising & Marketing,33,57,22930,1,5015.8273,4,5,CA,Lead5 Media
56,56,Irvine,California,Los Angeles,9639320,egumball,Advertising & Marketing,125,58,17695,4,5014.5387,2,5,CA,eGumball
61,61,Seattle,Washington,Seattle,7341000,tune,Advertising & Marketing,57,63,22933,1,4836.7855,23,5,WA,TUNE
66,66,San Francisco,California,San Francisco,6466851,retargeter,Advertising & Marketing,35,68,22938,1,4738.5017,4,5,CA,ReTargeter
67,67,Saugus,Massachusetts,Boston,4894550,c-4-analytics,Advertising & Marketing,46,69,22939,1,4645.8161,6,5,MA,C-4 Analytics
68,68,New York,New York,New York City,27916000,33across,Advertising & Marketing,75,70,22940,1,4499.0115,9,5,NY,33Across
69,69,New York,New York,New York City,6932370,liveintent,Advertising & Marketing,42,71,22941,1,4485.1434,9,5,NY,LiveIntent
70,70,Redwood City,California,San Francisco,106589000,rocket-fuel,Advertising & Marketing,289,72,22942,1,4451.1956,4,5,CA,Rocket Fuel
86,86,Boca Raton,Florida,Miami,12034984,skm-media-group,Advertising & Marketing,20,89,22955,1,3751.6509,1,5,FL,SKM Media Group
100,100,Mount Laurel,New Jersey,Philadelphia,8362768,webimax,Advertising & Marketing,125,104,20999,2,3367.3234,49,5,NJ,Webimax
119,119,Trumbull,Connecticut,"Bridgeport-Stamford-Norwalk, CT",12100100,asentra,Advertising & Marketing,24,123,19413,3,2963.3165,58,5,CT,Asentra
126,126,McKinney,Texas,Dallas,3198726,advice-interactive-group,Advertising & Marketing,31,130,21092,2,2807.9327,8,5,TX,Advice Interactive Group
132,132,Baltimore,Maryland,Baltimore,137512141,videology,Advertising & Marketing,321,136,22984,1,2727.3474,35,5,MD,Videology
148,148,Santa Monica,California,Los Angeles,59775472,w4,Advertising & Marketing,40,152,22997,1,2515.0148,2,5,CA,W4
167,167,Needham,Massachusetts,Boston,41532776,extreme-reach,Advertising & Marketing,203,171,23011,1,2348.5936,6,5,MA,Extreme Reach
180,180,Boston,Massachusetts,Boston,3360907,wordstream,Advertising & Marketing,56,184,23019,1,2224.6163,6,5,MA,WordStream
182,182,Poway,California,San Diego,2754719,ad-juster,Advertising & Marketing,18,186,23021,1,2217.5385,11,5,CA,Ad-Juster
217,217,Pasadena,California,Los Angeles,153980000,openx,Advertising & Marketing,276,222,23047,1,1920.7349,2,5,CA,OpenX
234,234,Emeryville,California,San Francisco,53390749,tubemogul,Advertising & Marketing,165,239,21080,2,1802.5094,4,5,CA,TubeMogul
235,235,JERSEY CITY,New Jersey,New York City,2515766,iquanti,Advertising & Marketing,50,240,23059,1,1795.9869,9,5,NJ,iQuanti
242,242,Indianapolis,Indiana,"Indianapolis, IN",3740544,trendyminds,Advertising & Marketing,29,247,23065,1,1757.8338,81,5,IN,TrendyMinds
245,245,New York,New York,New York City,12393534,gravity-media,Advertising & Marketing,15,250,23067,1,1723.5305,9,5,NY,Gravity Media
250,250,Greenacres,Florida,Miami,6650000,transcend-media,Advertising & Marketing,107,255,23070,1,1673.0969,1,5,FL,Transcend Media
267,267,Ft. Lauderdale,Florida,Miami,3409652,full-circle-marketing,Advertising & Marketing,14,273,21134,2,1586.8693,1,5,FL,Full Circle Marketing
279,279,Portland,Oregon,"Portland, OR",23673000,set,Advertising & Marketing,52,285,23090,1,1528.3858,10,5,OR,SET
285,285,Irvine,California,Los Angeles,5337847,column-five,Advertising & Marketing,42,291,23094,1,1503.5301,2,5,CA,Column Five
298,298,Nashville,Tennessee,CBSA Metro Region,11750390,reboot-marketing,Advertising & Marketing,7,304,23104,1,1427.9257,977,5,TN,Reboot Marketing
328,328,Bellaire,Texas,"Ashtabula, OH",2230375,fuelfx,Advertising & Marketing,31,334,23124,1,1290.6902,653,5,TX,FuelFX
352,352,St. Louis Park,Minnesota,Minneapolis,17118715,magnet-360,Advertising & Marketing,71,358,23140,1,1230.8949,13,5,MN,Magnet 360
353,353,Needham,Massachusetts,Boston,3323489,acceleration-partners,Advertising & Marketing,15,359,23141,1,1226.8375,6,5,MA,Acceleration Partners
362,362,Morrisville,North Carolina,"Durham-Chapel Hill, NC",9002000,netsertive,Advertising & Marketing,73,368,23145,1,1193.3908,56,5,NC,Netsertive
364,364,Ramsey,New Jersey,New York City,2852449,rethink-ramsey-nj,Advertising & Marketing,22,370,23147,1,1186.0281,9,5,NJ,"Re:think (Ramsey, NJ)"
367,367,West Chicago,Illinois,Chicago,4491898,evo-exhibits,Advertising & Marketing,22,373,23150,1,1184.3939,17,5,IL,Evo Exhibits
369,369,Chicago,Illinois,Chicago,7858317,action-lead-solutions,Advertising & Marketing,12,375,23152,1,1180.7782,17,5,IL,Action Lead Solutions
370,370,San Francisco,California,San Francisco,17168718,martini-media,Advertising & Marketing,50,376,23153,1,1176.6384,4,5,CA,Martini Media
380,380,Cranston,Rhode Island,"Providence-New Bedford-Fall River, RI-MA",8814495,seven-swords-media,Advertising & Marketing,29,386,23160,1,1155.7763,55,5,RI,Seven Swords Media
383,383,Cedar Knolls,New Jersey,New York City,28142981,marketsmith,Advertising & Marketing,23,389,23162,1,1137.652,9,5,NJ,Marketsmith
390,390,Austin,Texas,Dallas,10882518,adscend-media,Advertising & Marketing,8,396,23168,1,1123.4999,8,5,TX,Adscend Media
412,412,New York,New York,New York City,9369733,grok,Advertising & Marketing,19,418,23181,1,1077.2633,9,5,NY,Grok
438,438,Los Angeles,California,Los Angeles,11305000,adcolony,Advertising & Marketing,53,444,23197,1,1028.2435,2,5,CA,AdColony
444,444,Brooklyn,New York,New York City,7216000,carrot-creative,Advertising & Marketing,45,450,23202,1,1023.676,9,5,NY,Carrot Creative
447,447,Boston,Massachusetts,Boston,16742107,brafton,Advertising & Marketing,263,453,21016,2,1014.1773,6,5,MA,Brafton
448,448,Springfield,Missouri,"Springfield, MO",2362682,classy-llama,Advertising & Marketing,26,454,23205,1,1008.3714,102,5,MO,Classy Llama
