,Unnamed: 0,city,state_l,metro,revenue,url,industry,workers,rank,id,yrs_on_list,growth,state_s,company
5,5,San Mateo,California,San Francisco,32945188,drawbridge,Advertising & Marketing,100,6,36636,23484.1623,1,CA,Drawbridge
8,8,Culver City,California,Los Angeles,32077840,scopely,Advertising & Marketing,120,9,36638,19556.3823,1,CA,Scopely
18,18,Mountain View,California,San Jose,31661528,aarki,Advertising & Marketing,146,19,36647,11133.1885,1,CA,Aarki
26,26,Pleasant Grove,Utah,"Provo-Orem, UT",11819579,skyrocket-media,Advertising & Marketing,31,27,36650,8110.9490000000005,1,UT,SkyRocket Media
28,28,Los Angeles,California,Los Angeles,10806711,allscreen,Advertising & Marketing,12,29,36652,7964.7097,1,CA,AllScreen
33,33,Ventura,California,"Oxnard-Thousand Oaks-Ventura, CA",202060488,the-trade-desk,Advertising & Marketing,250,34,36657,6948.8053,1,CA,The Trade Desk
34,34,New York,New York,New York City,22290446,adtheorent,Advertising & Marketing,110,35,36658,6772.1951,1,NY,AdTheorent
37,37,Irvine,California,Los Angeles,10026051,searchmarketerscom,Advertising & Marketing,11,38,25668,6146.3327,2,CA,SearchMarketers.com
39,39,Roswell,Georgia,Atlanta,6088911,muscle-up-marketing,Advertising & Marketing,10,40,36662,5967.3718,1,GA,Muscle Up Marketing
64,64,Houston,Texas,Houston,9405376,local-search-group,Advertising & Marketing,20,65,36683,4213.4033,1,TX,Local Search Group
72,72,Orlando,Florida,"Orlando, FL",8145300,dg3-media-group,Advertising & Marketing,30,73,25769,4061.2854,2,FL,DG3 Media Group
87,87,Atlanta,Georgia,Atlanta,53489473,cardlytics,Advertising & Marketing,273,88,36700,3596.7152,1,GA,Cardlytics
91,91,Plainfield,Illinois,Chicago,4584697,llt-group,Advertising & Marketing,9,92,36702,3559.9984,1,IL,LLT Group
96,96,Cedar Knolls,New Jersey,New York City,103091321,marketsmith,Advertising & Marketing,25,97,23162,3420.0405,3,NJ,Marketsmith
99,99,New York,New York,New York City,7611265,contently,Advertising & Marketing,73,100,36707,3391.3899,1,NY,Contently
101,101,Kemah,Texas,Houston,5428445,direct-results-marketing,Advertising & Marketing,6,102,36709,3283.347,1,TX,Direct Results Marketing
109,109,Los Angeles,California,Los Angeles,10200869,dogs-bollocks-db5,Advertising & Marketing,38,110,21360,3104.9682,3,CA,Dogs Bollocks DB5
111,111,Santa Barbara,California,"Santa Barbara-Santa Maria-Goleta, CA",6000816,impact-radius,Advertising & Marketing,135,112,36715,3087.2781,1,CA,Impact Radius
118,118,Wilmington,Delaware,Philadelphia,3389277,astoria-company,Advertising & Marketing,24,119,36721,2982.6181,1,DE,Astoria Company
119,119,Boise,Idaho,"Boise City-Nampa, ID",3137000,the-newsletter-pro,Advertising & Marketing,33,120,36722,2974.8571,1,ID,The Newsletter Pro
120,120,Granville,Ohio,"Columbus, OH",12518559,revlocal,Advertising & Marketing,169,121,23215,2967.8457,3,OH,RevLocal
124,124,New York,New York,New York City,3381658,the-bait-shoppe,Advertising & Marketing,9,125,36724,2900.2909999999997,1,NY,The Bait Shoppe
141,141,Miami,Florida,Miami,28883247,showroom-logic,Advertising & Marketing,129,143,25524,2711.4019,2,FL,Showroom Logic
155,155,New York,New York,New York City,3192450,180-south,Advertising & Marketing,23,157,36747,2506.5072,1,NY,180 South
170,170,Valley Village,California,Los Angeles,4295696,bde-ventures,Advertising & Marketing,4,172,36758,2387.8212,1,CA,BDE Ventures
171,171,San Francisco,California,San Francisco,4943130,visually,Advertising & Marketing,38,174,36760,2383.9849,1,CA,Visually
181,181,New York,New York,New York City,78702121,optimatic-media,Advertising & Marketing,40,184,23427,2253.7956,3,NY,Optimatic Media
205,205,Lake Mary,Florida,"Orlando, FL",3437859,leads-on-demand,Advertising & Marketing,40,209,19917,2031.609,2,FL,Leads On Demand
206,206,San Francisco,California,San Francisco,15163156,ninthdecimal,Advertising & Marketing,80,210,36789,2028.3743,1,CA,NinthDecimal
209,209,San Diego,California,San Diego,10466276,recovery-brands,Advertising & Marketing,29,213,36791,2024.3213,1,CA,Recovery Brands
213,213,Columbia,Missouri,"Columbia, MO",45197562,adkarma,Advertising & Marketing,76,217,24949,2016.8519,2,MO,AdKarma
215,215,Austin,Texas,Austin,16546171,main-street-hub,Advertising & Marketing,444,219,25018,1996.1342,2,TX,Main Street Hub
