,Unnamed: 0,city,state_l,metro,revenue,url,industry,workers,rank,id,yrs_on_list,growth,ifmid,ifiid,state_s,company
201,201,New York,New York,New York City,18080327,movable-ink,Advertising & Marketing,96,202,43100,1,1897.1509,9,5,NY,Movable Ink
313,313,Boston,Massachusetts,Boston,9755851,pixability,Advertising & Marketing,58,314,37100,2,1225.9376,6,5,MA,Pixability
329,329,New York,New York,New York City,8879980,signpost,Advertising & Marketing,300,330,43194,1,1172.7468,9,5,NY,Signpost
346,346,New York,New York,New York City,7282515,influenster,Advertising & Marketing,30,347,43203,1,1105.4809,9,5,NY,Influenster
351,351,Marshfield,Massachusetts,Boston,2376055,palo-media,Advertising & Marketing,5,352,43207,1,1077.9151,6,5,MA,Palo Media
393,393,Asbury Park,New Jersey,New York City,2223705,core-and-more-technologies,Advertising & Marketing,6,393,43230,1,975.3810000000001,9,5,NJ,Core and More Technologies
424,424,New York,New York,New York City,18888583,convertmedia,Advertising & Marketing,60,423,43248,1,909.0055,9,5,NY,ConvertMedia
430,430,New York,New York,New York City,10635693,kepler-group,Advertising & Marketing,75,429,43251,1,889.1616,9,5,NY,Kepler Group
434,434,Brooklyn,New York,New York City,10188446,prolific-interactive,Advertising & Marketing,100,433,43254,1,881.9148,9,5,NY,Prolific Interactive
495,495,Kew Gardens,New York,New York City,5351535,advantages,Advertising & Marketing,7,494,37274,2,771.1003,9,5,NY,Advantages
507,507,New York,New York,New York City,9245052,wondersauce,Advertising & Marketing,68,506,43293,1,749.4589,9,5,NY,Wondersauce
509,509,New York,New York,New York City,14848179,contently,Advertising & Marketing,104,508,36707,2,748.9569,9,5,NY,Contently
652,652,New York,New York,New York City,8195699,collins,Advertising & Marketing,29,651,43354,1,600.0372,9,5,NY,Collins
682,682,Boston,Massachusetts,Boston,22764044,wordstream,Advertising & Marketing,148,681,23019,4,577.2296,6,5,MA,WordStream
732,732,New York,New York,New York City,17366744,revimedia,Advertising & Marketing,33,731,26117,3,541.0231,9,5,NY,ReviMedia
746,746,Portsmouth,New Hampshire,Boston,3354709,vital,Advertising & Marketing,36,745,37409,2,534.4195,6,5,NH,Vital
792,792,Fort Lee,New Jersey,New York City,10084440,bridge,Advertising & Marketing,79,791,43422,1,505.858,9,5,NJ,Bridge
849,849,New York,New York,New York City,6578572,vertamedia,Advertising & Marketing,76,848,43454,1,467.7874,9,5,NY,VertaMedia
876,876,New York,New York,New York City,12724416,engine-shop,Advertising & Marketing,55,875,26415,2,453.4171,9,5,NY,Engine Shop
970,970,New York,New York,New York City,6234275,adgate-media,Advertising & Marketing,10,969,37066,2,412.454,9,5,NY,AdGate Media
991,991,Wellesley,Massachusetts,Boston,14115212,instream,Advertising & Marketing,25,990,25199,3,404.9524,6,5,MA,inStream
1025,1025,Saratoga Springs,New York,"Albany-Schenectady-Troy, NY",5122800,brandxads,Advertising & Marketing,12,1024,43526,1,386.9582,146,5,NY,BrandXads
1074,1074,Haddonfield,New Jersey,Philadelphia,5258069,redline-automotive-merchandising,Advertising & Marketing,110,1073,43543,1,362.7372,49,5,NJ,Redline Automotive Merchandising
1105,1105,Henrietta,New York,"Rochester, NY",21766844,clickspark,Advertising & Marketing,215,1105,25635,3,350.6142,71,5,NY,ClickSpark
1161,1161,Needham,Massachusetts,Boston,14427612,acceleration-partners,Advertising & Marketing,45,1161,23141,4,334.1105,6,5,MA,Acceleration Partners
1213,1213,Newton,Massachusetts,Boston,7615649,insegment,Advertising & Marketing,65,1214,25201,3,320.6841,6,5,MA,inSegment
1223,1223,Framingham,Massachusetts,Boston,4507664,listengage,Advertising & Marketing,38,1224,37964,2,317.6737,6,5,MA,ListEngage
1346,1346,New York,New York,New York City,11532402,bitly,Advertising & Marketing,78,1346,43642,1,285.9964,9,5,NY,Bitly
1351,1351,New York,New York,New York City,3071383,delve-partners,Advertising & Marketing,13,1351,37288,2,284.8586,9,5,NY,Delve Partners
1359,1359,Edgewater,New Jersey,New York City,11076149,dxagency,Advertising & Marketing,50,1359,26125,3,282.9485,9,5,NJ,DXagency
1437,1437,New York,New York,New York City,25223342,precise-leads,Advertising & Marketing,63,1437,26023,3,266.3575,9,5,NY,Precise Leads
1524,1524,New York,New York,New York City,7015830,social-media-link,Advertising & Marketing,25,1524,25251,3,248.8755,9,5,NY,Social Media link
1721,1721,Brooklyn,New York,New York City,5010000,fake-love,Advertising & Marketing,18,1722,43758,1,216.2719,9,5,NY,Fake Love
1767,1767,New York,New York,New York City,6577505,vector-media-group,Advertising & Marketing,22,1768,23354,4,210.9908,9,5,NY,Vector Media Group
1894,1894,Topsfield,Massachusetts,Boston,9515941,pure-incubation,Advertising & Marketing,60,1895,25512,3,196.7998,6,5,MA,Pure Incubation
1988,1988,Colts Neck,New Jersey,New York City,2066393,cmds,Advertising & Marketing,10,1989,43847,1,187.1055,9,5,NJ,CMDS
1999,1999,New York,New York,New York City,20226580,team-epiphany,Advertising & Marketing,55,2000,17976,8,186.3662,9,5,NY,Team Epiphany
2036,2036,Rockville Centre,New York,New York City,3400140,moderne-communications,Advertising & Marketing,9,2037,43858,1,183.1204,9,5,NY,Moderne Communications
2188,2188,New York,New York,New York City,7491107,factory-360,Advertising & Marketing,15,2189,17954,6,167.7525,9,5,NY,Factory 360
2326,2326,Boston,Massachusetts,Boston,22879449,verndale,Advertising & Marketing,170,2327,2449,10,155.9525,6,5,MA,Verndale
2551,2551,Boston,Massachusetts,Boston,2272073,pilot,Advertising & Marketing,19,2553,44009,1,138.7431,6,5,MA,Pilot
2585,2585,Pearl River,New York,New York City,15121737,reach-marketing,Advertising & Marketing,42,2587,44021,1,136.4059,9,5,NY,Reach Marketing
2593,2593,Boston,Massachusetts,Boston,2859624,lavoie-health-science,Advertising & Marketing,10,2595,20231,3,135.9077,6,5,MA,LaVoie Health Science
2616,2616,Framingham,Massachusetts,Boston,6955710,stone-temple-consulting,Advertising & Marketing,50,2618,44028,1,134.7986,6,5,MA,Stone Temple Consulting
2635,2635,Exeter,New Hampshire,Boston,3381267,lauchlan,Advertising & Marketing,22,2637,44034,1,133.5471,6,5,NH,Lauchlan
2678,2678,Boston,Massachusetts,Boston,2747239,pandemic-labs,Advertising & Marketing,23,2679,44043,1,131.0412,6,5,MA,Pandemic Labs
2724,2724,Wellesley,Massachusetts,Boston,4494000,md-connect,Advertising & Marketing,15,2725,23762,4,128.7023,6,5,MA,MD Connect
2829,2829,Saratoga Springs,New York,"Albany-Schenectady-Troy, NY",21268065,fingerpaint,Advertising & Marketing,120,2830,23391,4,122.9382,146,5,NY,Fingerpaint
2862,2862,Waltham,Massachusetts,Boston,27494319,zoominfo,Advertising & Marketing,137,2862,5806,4,121.3409,6,5,MA,ZoomInfo
2916,2916,New York,New York,New York City,2822387,shespeaks,Advertising & Marketing,7,2916,44111,1,117.8222,9,5,NY,SheSpeaks
2952,2952,Sewell,New Jersey,Philadelphia,13790675,synergixx,Advertising & Marketing,175,2952,44127,1,116.1018,49,5,NJ,Synergixx
3081,3081,Springfield,New Jersey,New York City,3623886,pride-products-distributors,Advertising & Marketing,14,3081,10932,4,110.2299,9,5,NJ,Pride Products Distributors
3217,3217,Binghamton,New York,"Binghamton, NY",14368460,savearound,Advertising & Marketing,104,3217,20099,4,104.072,238,5,NY,SaveAround
3242,3242,New York,New York,New York City,3618144,ready-set-rocket,Advertising & Marketing,20,3242,26365,3,102.9654,9,5,NY,Ready Set Rocket
3346,3346,Boston,Massachusetts,Boston,9114017,small-army,Advertising & Marketing,30,3345,44212,1,98.4566,6,5,MA,Small Army
3430,3430,New York,New York,New York City,23528065,mediabrix,Advertising & Marketing,67,3429,37103,2,94.6872,9,5,NY,MediaBrix
3450,3450,New York,New York,New York City,2119936,phoenix-media-group,Advertising & Marketing,31,3449,44240,1,93.8137,9,5,NY,Phoenix Media Group
3518,3518,Hillsborough,New Jersey,New York City,4355082,the-luminations-group,Advertising & Marketing,32,3517,20117,2,89.7543,9,5,NJ,The Luminations Group
3547,3547,Newburyport,Massachusetts,Boston,5200000,creative-community-connections,Advertising & Marketing,14,3546,44259,1,89.0909,6,5,MA,Creative Community Connections
3748,3748,Framingham,Massachusetts,Boston,7098410,commcreative,Advertising & Marketing,26,3746,3720,3,81.9351,6,5,MA,CommCreative
3777,3777,Washington,New Jersey,"Allentown-Bethlehem-Easton, PA-NJ",2135606,graphic-d-signs,Advertising & Marketing,18,3775,44312,1,81.1343,93,5,NJ,Graphic D-Signs
