,Unnamed: 0,city,state_l,metro,revenue,url,industry,workers,rank,id,yrs_on_list,growth,state_s,company
34,34,New York,New York,New York City,22290446,adtheorent,Advertising & Marketing,110,35,36658,6772.1951,1,NY,AdTheorent
99,99,New York,New York,New York City,7611265,contently,Advertising & Marketing,73,100,36707,3391.3899,1,NY,Contently
124,124,New York,New York,New York City,3381658,the-bait-shoppe,Advertising & Marketing,9,125,36724,2900.2909999999997,1,NY,The Bait Shoppe
155,155,New York,New York,New York City,3192450,180-south,Advertising & Marketing,23,157,36747,2506.5072,1,NY,180 South
438,438,New York,New York,New York City,10550258,create-group-nyc,Advertising & Marketing,19,445,36944,1044.3541,1,NY,Create Group NYC
508,508,New York,New York,New York City,2895893,the-participation-agency,Advertising & Marketing,6,516,25078,894.9573,2,NY,The Participation Agency
527,527,New York,New York,New York City,16468797,crowdtap,Advertising & Marketing,79,535,25453,869.658,2,NY,Crowdtap
656,656,New York,New York,New York City,6363023,adgate-media,Advertising & Marketing,6,669,37066,673.0399,1,NY,AdGate Media
725,725,New York,New York,New York City,20588084,mediabrix,Advertising & Marketing,63,738,37103,610.1977,1,NY,MediaBrix
745,745,New York,New York,New York City,6054444,social-media-link,Advertising & Marketing,20,758,25251,596.7572,2,NY,Social Media Link
762,762,New York,New York,New York City,11454991,kettle,Advertising & Marketing,35,775,26281,579.2921,2,NY,Kettle
849,849,New York,New York,New York City,10334570,factory-360,Advertising & Marketing,1693,862,17954,518.0904,5,NY,Factory 360
1138,1138,New York,New York,New York City,2069174,delve-partners,Advertising & Marketing,11,1149,37288,368.1813,1,NY,Delve Partners
1256,1256,New York,New York,New York City,5324883,vector-media-group,Advertising & Marketing,26,1267,23354,329.5594,3,NY,Vector Media Group
1336,1336,New York,New York,New York City,20740004,precise-leads,Advertising & Marketing,80,1347,26023,307.6684,2,NY,Precise Leads
1451,1451,New York,New York,New York City,7061108,revimedia,Advertising & Marketing,26,1464,26117,281.6504,2,NY,Revimedia
1504,1504,New York,New York,New York City,2047900,ruckus,Advertising & Marketing,14,1517,37434,270.4193,1,NY,Ruckus
1556,1556,New York,New York,New York City,23966304,elite-sem,Advertising & Marketing,79,1570,17855,259.5105,6,NY,Elite SEM
1587,1587,New York,New York,New York City,5227745,new-tradition-media,Advertising & Marketing,7,1601,24829,253.8084,2,NY,New Tradition Media
1642,1642,New York,New York,New York City,4010272,ready-set-rocket,Advertising & Marketing,20,1656,26365,246.2411,2,NY,Ready Set Rocket
2169,2169,New York,New York,New York City,3773000,the-kagency,Advertising & Marketing,5,2184,37663,179.4815,1,NY,The Kagency
2303,2303,New York,New York,New York City,26331000,madison-logic,Advertising & Marketing,61,2319,23578,166.1041,3,NY,Madison Logic
2445,2445,New York,New York,New York City,20988829,gravity-media,Advertising & Marketing,40,2461,23067,152.8924,3,NY,Gravity Media
2797,2797,New York,New York,New York City,6737254,grok,Advertising & Marketing,19,2816,23181,127.9611,3,NY,Grok
2801,2801,New York,New York,New York City,8986919,launchpad-advertising,Advertising & Marketing,50,2821,21281,127.581,4,NY,Launchpad Advertising
3147,3147,New York,New York,New York City,10093804,path-interactive,Advertising & Marketing,39,3171,37911,107.7106,1,NY,Path Interactive
3457,3457,New York,New York,New York City,11748281,team-epiphany,Advertising & Marketing,70,3481,17976,92.4156,7,NY,Team Epiphany
3756,3756,New York,New York,New York City,15564012,wilson-rms,Advertising & Marketing,44,3785,38068,80.4605,1,NY,Wilson RMS
3844,3844,New York,New York,New York City,16299234,sullivan,Advertising & Marketing,75,3873,4540,77.5515,6,NY,Sullivan
3868,3868,New York,New York,New York City,4450620,beardwoodco,Advertising & Marketing,15,3897,18068,76.7045,2,NY,Beardwood&Co.
4282,4282,New York,New York,New York City,2408026,eye5-mktg-talent,Advertising & Marketing,4,4311,25888,63.1475,2,NY,Eye5 Mktg & Talent
4351,4351,New York,New York,New York City,20263000,prosek-partners,Advertising & Marketing,86,4380,2717,61.0731,7,NY,Prosek Partners
4801,4801,New York,New York,New York City,5095000,digennaro-communications,Advertising & Marketing,32,4832,22151,48.4557,5,NY,DiGennaro Communications
