,Unnamed: 0,city,state_l,metro,revenue,url,industry,workers,rank,id,yrs_on_list,growth,ifmid,ifiid,state_s,company
201,201,New York,New York,New York City,18080327,movable-ink,Advertising & Marketing,96,202,43100,1,1897.1509,9,5,NY,Movable Ink
329,329,New York,New York,New York City,8879980,signpost,Advertising & Marketing,300,330,43194,1,1172.7468,9,5,NY,Signpost
346,346,New York,New York,New York City,7282515,influenster,Advertising & Marketing,30,347,43203,1,1105.4809,9,5,NY,Influenster
424,424,New York,New York,New York City,18888583,convertmedia,Advertising & Marketing,60,423,43248,1,909.0055,9,5,NY,ConvertMedia
430,430,New York,New York,New York City,10635693,kepler-group,Advertising & Marketing,75,429,43251,1,889.1616,9,5,NY,Kepler Group
507,507,New York,New York,New York City,9245052,wondersauce,Advertising & Marketing,68,506,43293,1,749.4589,9,5,NY,Wondersauce
509,509,New York,New York,New York City,14848179,contently,Advertising & Marketing,104,508,36707,2,748.9569,9,5,NY,Contently
652,652,New York,New York,New York City,8195699,collins,Advertising & Marketing,29,651,43354,1,600.0372,9,5,NY,Collins
732,732,New York,New York,New York City,17366744,revimedia,Advertising & Marketing,33,731,26117,3,541.0231,9,5,NY,ReviMedia
849,849,New York,New York,New York City,6578572,vertamedia,Advertising & Marketing,76,848,43454,1,467.7874,9,5,NY,VertaMedia
876,876,New York,New York,New York City,12724416,engine-shop,Advertising & Marketing,55,875,26415,2,453.4171,9,5,NY,Engine Shop
970,970,New York,New York,New York City,6234275,adgate-media,Advertising & Marketing,10,969,37066,2,412.454,9,5,NY,AdGate Media
1346,1346,New York,New York,New York City,11532402,bitly,Advertising & Marketing,78,1346,43642,1,285.9964,9,5,NY,Bitly
1351,1351,New York,New York,New York City,3071383,delve-partners,Advertising & Marketing,13,1351,37288,2,284.8586,9,5,NY,Delve Partners
1437,1437,New York,New York,New York City,25223342,precise-leads,Advertising & Marketing,63,1437,26023,3,266.3575,9,5,NY,Precise Leads
1524,1524,New York,New York,New York City,7015830,social-media-link,Advertising & Marketing,25,1524,25251,3,248.8755,9,5,NY,Social Media link
1767,1767,New York,New York,New York City,6577505,vector-media-group,Advertising & Marketing,22,1768,23354,4,210.9908,9,5,NY,Vector Media Group
1999,1999,New York,New York,New York City,20226580,team-epiphany,Advertising & Marketing,55,2000,17976,8,186.3662,9,5,NY,Team Epiphany
2188,2188,New York,New York,New York City,7491107,factory-360,Advertising & Marketing,15,2189,17954,6,167.7525,9,5,NY,Factory 360
2916,2916,New York,New York,New York City,2822387,shespeaks,Advertising & Marketing,7,2916,44111,1,117.8222,9,5,NY,SheSpeaks
3242,3242,New York,New York,New York City,3618144,ready-set-rocket,Advertising & Marketing,20,3242,26365,3,102.9654,9,5,NY,Ready Set Rocket
3430,3430,New York,New York,New York City,23528065,mediabrix,Advertising & Marketing,67,3429,37103,2,94.6872,9,5,NY,MediaBrix
3450,3450,New York,New York,New York City,2119936,phoenix-media-group,Advertising & Marketing,31,3449,44240,1,93.8137,9,5,NY,Phoenix Media Group
4296,4296,New York,New York,New York City,24417600,prosek-partners,Advertising & Marketing,102,4294,2717,8,62.5705,9,5,NY,Prosek Partners
4451,4451,New York,New York,New York City,16723100,sullivan,Advertising & Marketing,71,4449,4540,7,57.7344,9,5,NY,Sullivan
