company,ownership,city,state,tags
activent marketing,independent,Raleigh ,NC,all guerrilla-street-programs mobile-tours sponsorship-activation
advantage international,public,Norwalk ,CT,all b-to-b-meetingsevents mobile-tours sponsorship-activation
agencyea,private,Chicago,IL,all b-to-b-meetingsevents internal-employee-events sales-conferencesmeetings
all terrain,private,Chicago,IL,all buzz-influencer-programs mobile-tours sponsorship-activation
allied experiential,Owned by Allied Integrated Marketing,NY,NY,all mobile-tours pr-events pop-up-stores
astound group,private,Oakville,Ontario,all launch-events mobile-tours trade-shows
barkley kalpak agency,Owned by First Protocol,NY,NY ,all b-to-b-meetingsevents launch-events sales-conferencesmeetings
bmf media,independent,NY,NY,all buzz-influencer-programs launch-events sponsorship-activation
bolt marketing group,independent,Portland,OR,all guerrilla-street-programs mobile-tours sponsorship-activation
bottlerocket marketing,Owned by Brand Connections,NY,NY,all mobile-tours pr-events sampling
broadstreet,private,NY,NY,all b-to-b-meetingsevents internal-employee-events sales-conferencesmeetings
c3 agency,private,Brooklyn,NY,all buzz-influencer-programs launch-events pop-up-stores
cardenas marketing network,private,Chicago,IL,all retailtainment-events multicultural-events sponsorship-activation
cramer,independent,Norwood ,MA,all b-to-b-meetingsevents internal-employee-events sales-conferencesmeetings
division black,Owned by Billups,Lake Oswego,OR,all buzz-influencer-programs guerrilla-street-programs pr-events
driveshop,private,Redmond,WA,all automotive-launches-and-personal-drive-experiences launch-events sponsorship-activation
elemento l2,independent,Chicago,IL,all mobile-tours multicultural-events sponsorship-activation
elite marketing group,private,NY,NY,all guerrilla-street-programs mobile-tours sampling
emg3,Owned by TideSmart Global,Falmouth,ME,all mobile-tours sampling sponsorship-activation
engine shop,Owned by Bruin Sports Capital,NY,NY,all buzz-influencer-programs mobile-tours sponsorship-activation
epsilon,public,Irving,TX,all b-to-b-meetingsevents mobile-tours nightlife-marketing
event strategy group,private,Broomall,PA,all b-to-b-meetingsevents launch-events worldwide-event-programs
eventage,independent,South Orange,NJ,all b-to-b-meetingsevents launch-events pr-events
eventive,public,NY,NY,all mobile-tours sponsorship-activation trade-shows
eventnext,public,Lake Orion,MI,all launch-events mobile-tours sampling
executive visions inc.,independent,Norcross ,GA,all b-to-b-meetingsevents launch-events worldwide-event-programs
factory 360,independent,NY,NY,all pop-up-stores sampling sponsorship-activation
fcbx,public,Chicago,IL,all buzz-influencer-programs pr-events sponsorship-activation
first protocol,private,London,England,all b-to-b-meetingsevents internal-employee-events sales-conferencesmeetings
fluent,private,Colombia,SC,all college-campus-marketing guerrilla-street-programs mobile-tours
freemanxp,Owned by Freeman,Dallas,TX,all b-to-b-meetingsevents sales-conferencesmeetings trade-shows
fusion marketing,Owned by WME | IMG,St. Louis,MO,all mobile-tours sampling sponsorship-activation
geometry global,public,NY,NY,all buzz-influencer-programs retailtainment-events nightlife-marketing
george p. johnson,Owned by Project,Auburn Hills,MI,all sponsorship-activation trade-shows worldwide-event-programs
giant step marketing,private,Brooklyn,NY,all buzz-influencer-programs launch-events pop-up-stores
global experience specialists (ges),public,Las Vegas,NV,all b-to-b-meetingsevents trade-shows worldwide-event-programs
gmr marketing,public,New Berlin ,WI,all nightlife-marketing sponsorship-activation worldwide-event-programs
go! experience design,private,Atlanta,GA,all launch-events press-events sales-conferencesmeetings
grow marketing,private,san francisco,CA,all b-to-b-meetingsevents mobile-tours pop-up-stores
havas impact,public,Chicago,IL,all mobile-tours sampling sponsorship-activation
henry v,private,Portland,OR,all b-to-b-meetingsevents press-events
ignition,Owned by Havas,Atlanta,GA,all mobile-tours sponsorship-activation worldwide-event-programs
imagination,private,London,England,all b-to-b-meetingsevents trade-shows
img live,Owned by WME | IMG,Norcross,GA,all college-campus-marketing mobile-tours sponsorship-activation
