,city,state_l,metro,revenue,url,industry,workers,rank,id,yrs_on_list,growth,ifmid,ifiid,state_s,company
0,El Segundo,California,Los Angeles,117872000,fuhu,Consumer Products & Services,143,1,22890,1,42148.0287,2,4,CA,Fuhu
1,Dumfries,Virginia,"Washington, DC",49625829,federalconferencecom,Government Services,51,2,20989,2,24830.5869,3,7,VA,FederalConference.com
2,Jacksonville,Florida,"Jacksonville, FL",25501186,the-hci-group,Health,113,3,22892,1,24544.7799,64,10,FL,The HCI Group
3,Carrollton,Texas,Dallas,1919062000,bridger,Energy,50,4,22893,1,23308.1822,8,16,TX,Bridger
4,Boston,Massachusetts,Boston,87036000,dataxu,Advertising & Marketing,220,5,22894,1,21337.4384,6,5,MA,DataXu
5,Austin,Texas,Austin,45683484,milestone-community-builders,Real Estate,63,6,22895,1,17937.7485,18,3,TX,Milestone Community Builders
6,Nashville,Tennessee,CBSA Metro Region,25489171,value-payment-systems,Financial Services,27,7,22896,1,17404.1348,977,2,TN,Value Payment Systems
7,San Francisco,California,San Francisco,23858231,emerge-digital-group,Advertising & Marketing,75,8,22897,1,17064.0715,4,5,CA,Emerge Digital Group
8,Bluffdale,Utah,Salt Lake City,33104308,goal-zero,Consumer Products & Services,97,9,22898,1,16980.5405,12,4,UT,Goal Zero
9,Warwick,Rhode Island,"Providence-New Bedford-Fall River, RI-MA",18636055,yagoozon,Retail,15,10,21148,2,16689.2387,55,18,RI,Yagoozon
10,Vienna,Virginia,"Washington, DC",29616593,obxtek,Government Services,149,11,20997,2,16433.2059,3,7,VA,OBXtek
11,San Francisco,California,San Francisco,34121000,adroll,Advertising & Marketing,200,12,20974,2,15064.8889,4,5,CA,AdRoll
12,Orlando,Florida,"Orlando, FL",17042525,ubreakifix,Retail,180,13,22899,1,14102.1042,68,18,FL,uBreakiFix
13,Charleston,South Carolina,"Charleston-North Charleston, SC",21138888,sparc,Software,160,14,22900,1,12862.5195,536,9,SC,SPARC
14,Washington,District of Columbia,"Washington, DC",536000000,livingsocial,Consumer Products & Services,4100,15,22901,1,12333.1688,3,4,DC,LivingSocial
15,Chino,California,"Riverside-San Bernardino-Ontario, CA",14295000,amped-wireless,Computer Hardware,26,16,22902,1,11067.9688,54,25,CA,Amped Wireless
16,Sarasota,Florida,"Sarasota-Bradenton-Venice, FL",11076624,integrity-funding,Financial Services,11,18,20972,2,10462.1421,576,2,FL,Integrity Funding
17,Columbus,Ohio,"Columbus, OH",11775633,vertex-body-sciences,Food & Beverage,51,19,22904,1,10010.3562,19,11,OH,Vertex Body Sciences
18,Cupertino,California,San Jose,26799334,bluekai,Advertising & Marketing,107,20,22905,1,9245.497,20,5,CA,BlueKai
19,Seattle,Washington,Seattle,9628535,level-11,IT Services,30,21,22906,1,9043.9079,23,8,WA,Level 11
20,Austin,Texas,Austin,9770645,patient-conversation-media,Health,59,22,21096,2,8782.4045,18,10,TX,Patient Conversation Media
21,Dallas,Texas,Dallas,76981000,wingspan-portfolio-advisors,Financial Services,1704,23,22821,1,8768.7788,8,2,TX,Wingspan Portfolio Advisors
22,Portland,Maine,"Portland-South Portland, ME",14629177,vets-first-choice,Health,74,24,20992,2,8585.303,1018,10,ME,Vets First Choice
23,Frisco,Texas,Dallas,13785928,timberhorn,IT Services,175,25,22858,1,8516.205,8,8,TX,Timberhorn
24,New York,New York,New York City,13740852,beenverified,Consumer Products & Services,17,26,22907,1,8442.6497,9,4,NY,BeenVerified
25,Boulder,Colorado,"Boulder, CO",12555504,trada,Advertising & Marketing,75,27,22908,1,8100.9053,31,5,CO,Trada
26,Orlando,Florida,"Orlando, FL",51118355,kony,Software,1100,28,22909,1,7786.2497,68,9,FL,Kony
27,Irving,Texas,Dallas,23478000,onesource-virtual,Business Products & Services,260,29,22910,1,7353.3333,8,17,TX,OneSource Virtual
28,New York,New York,New York City,8066424,sailthru,Advertising & Marketing,79,30,22911,1,7322.1789,9,5,NY,Sailthru
29,Atlanta,Georgia,Atlanta,8039700,innovolt,Business Products & Services,30,31,22912,1,7247.6942,29,17,GA,Innovolt
30,Auburn,Maine,"Lewiston-Auburn, ME",56774032,provider-power,Energy,50,32,22913,1,7224.3962,151,16,ME,Provider Power
31,Carlsbad,California,San Diego,7656778,zurple,Software,32,33,22914,1,7112.4887,11,9,CA,Zurple
32,Cincinnati,Ohio,Cincinnati,48309029,us-logistics,Logistics & Transportation,10,34,22915,1,7087.2286,47,6,OH,US Logistics
33,Peoria,Illinois,"Peoria, IL",15041511,mcafee-institute,Education,15,35,22916,1,7062.6243,340,19,IL,McAfee Institute
34,Tempe,Arizona,Phoenix,7033618,now-communications,Consumer Products & Services,110,36,22917,1,6763.9414,46,4,AZ,Now Communications
35,New York,New York,New York City,17967652,yellowhammer,Advertising & Marketing,27,37,22918,1,6739.9472,9,5,NY,YellowHammer
36,New York,New York,New York City,7139438,conductor,Advertising & Marketing,89,38,17365,2,6701.6024,9,5,NY,Conductor
37,Greensboro,North Carolina,"Greensboro-High Point, NC",30003666,intellect-resources,Health,675,39,21466,2,6553.6713,287,10,NC,Intellect Resources
38,Austin,Texas,Austin,8177343,phunware,Software,92,40,22919,1,6526.8035,18,9,TX,Phunware
39,Rockville,Maryland,"Washington, DC",10093766,nsr-solutions,Government Services,252,41,22920,1,6392.3786,3,7,MD,NSR Solutions
40,Chicago,Illinois,Chicago,28255049,pangea-properties,Real Estate,348,42,22921,1,6218.4674,17,3,IL,Pangea Properties
41,Minneapolis,Minnesota,Minneapolis,27692278,field-nation,Business Products & Services,15,43,22922,1,6031.1814,13,17,MN,Field Nation
42,Scottsdale,Arizona,Phoenix,7358832,the-joint,Health,14,44,21041,2,5961.6409,46,10,AZ,The Joint
43,Redwood City,California,San Francisco,196737000,silver-spring-networks,Energy,566,45,22923,1,5867.152,4,16,CA,Silver Spring Networks
44,Natick,Massachusetts,Boston,8498786,thinklite,Energy,14,46,22924,1,5524.8708,6,16,MA,ThinkLite
45,Irvine,California,Los Angeles,13840594,29-prime,Advertising & Marketing,300,47,20998,2,5443.3109,2,5,CA,29 Prime
46,Miami,Florida,Miami,5902000,cinium-financial-services,Financial Services,32,48,21161,2,5364.8148,1,2,FL,Cinium Financial Services
47,San Diego,California,San Diego,17291000,solar-alliance-of-america,Energy,4,49,21005,2,5337.4214,11,16,CA,Solar Alliance of America
48,Oklahoma City,Oklahoma,"Oklahoma City, OK",29255307,saratoga-roofing-construction,Construction,106,50,21126,2,5328.2949,38,20,OK,Saratoga Roofing & Construction
49,Fort Collins,Colorado,"Fort Collins, CO",6901850,madwire,Advertising & Marketing,127,51,22925,1,5254.2559,1009,5,CO,Madwire
50,Englewood,Colorado,Denver,6398293,eventus-solutions-group,Business Products & Services,22,52,22926,1,5220.8258,30,17,CO,Eventus Solutions Group
51,Tampa,Florida,Tampa,23092783,labtech-software,Software,152,53,22927,1,5208.2342,7,9,FL,LabTech Software
52,Denver,Colorado,Denver,11418569,altitude-digital,Advertising & Marketing,21,54,21011,2,5162.0134,30,5,CO,Altitude Digital
53,Gaithersburg,Maryland,"Washington, DC",9393088,dsfederal,Government Services,70,55,22928,1,5151.4665,3,7,MD,DSFederal
54,Plano,Texas,Dallas,6976229,pinnacle-strategies,Business Products & Services,17,56,22929,1,5134.0298,8,17,TX,Pinnacle Strategies
55,Newark,California,San Francisco,35566766,lead5-media,Advertising & Marketing,33,57,22930,1,5015.8273,4,5,CA,Lead5 Media
56,Irvine,California,Los Angeles,9639320,egumball,Advertising & Marketing,125,58,17695,4,5014.5387,2,5,CA,eGumball
57,Boulder,Colorado,"Boulder, CO",7154792,doc-popcorn,Retail,18,59,22931,1,5010.5657,31,18,CO,Doc Popcorn
58,Chicago,Illinois,Chicago,49454000,red-frog-events,Consumer Products & Services,95,60,20976,2,4956.6462,17,4,IL,Red Frog Events
59,Austin,Texas,Austin,7210175,mhd-enterprises,Business Products & Services,27,61,20991,2,4942.0804,18,17,TX,MHD Enterprises
60,Newtown Square,Pennsylvania,Philadelphia,5537075,wilson-legal-solutions,IT Services,30,62,22932,1,4839.0984,49,8,PA,Wilson Legal Solutions
61,Seattle,Washington,Seattle,7341000,tune,Advertising & Marketing,57,63,22933,1,4836.7855,23,5,WA,TUNE
62,Atlanta,Georgia,Atlanta,112568577,gsc-packaging,Manufacturing,300,64,22934,1,4812.7279,29,15,GA,GSC Packaging
63,Houston,Texas,Houston,6913867,ethosiq,Business Products & Services,118,65,22935,1,4768.3719,22,17,TX,ethosIQ
64,Sarasota,Florida,"Sarasota-Bradenton-Venice, FL",16229207,celebrity-auto-group,Consumer Products & Services,6,66,22936,1,4744.7563,576,4,FL,Celebrity Auto Group
65,South San Francisco,California,San Francisco,5453824,crescendo-bioscience,Health,103,67,22937,1,4739.7558,4,10,CA,Crescendo Bioscience
66,San Francisco,California,San Francisco,6466851,retargeter,Advertising & Marketing,35,68,22938,1,4738.5017,4,5,CA,ReTargeter
67,Saugus,Massachusetts,Boston,4894550,c-4-analytics,Advertising & Marketing,46,69,22939,1,4645.8161,6,5,MA,C-4 Analytics
68,New York,New York,New York City,27916000,33across,Advertising & Marketing,75,70,22940,1,4499.0115,9,5,NY,33Across
69,New York,New York,New York City,6932370,liveintent,Advertising & Marketing,42,71,22941,1,4485.1434,9,5,NY,LiveIntent
70,Redwood City,California,San Francisco,106589000,rocket-fuel,Advertising & Marketing,289,72,22942,1,4451.1956,4,5,CA,Rocket Fuel
71,Middlebury,Connecticut,"New Haven-Milford, CT",105785296,isend,Financial Services,15,73,22943,1,4441.2856,70,2,CT,iSend
72,Indianapolis,Indiana,"Indianapolis, IN",10245166,bidpal,Business Products & Services,88,74,22944,1,4322.7875,81,17,IN,BidPal
73,Salt Lake City,Utah,Salt Lake City,82583494,equinox-business-solutions,Business Products & Services,140,75,22945,1,4235.2668,12,17,UT,Equinox Business Solutions
74,Manassas,Virginia,"Washington, DC",4530515,dito,IT Services,30,76,22946,1,4200.3597,3,8,VA,Dito
75,Irvine,California,Los Angeles,7477000,janes-capital-partners,Financial Services,10,78,22948,1,4053.8889,2,2,CA,Janes Capital Partners
76,Madison,Wisconsin,"Madison, WI",4897412,restore-health,Health,45,79,22949,1,4039.0195,78,10,WI,Restore Health
77,Frisco,Texas,Dallas,31711362,matt-martin-real-estate-management,Real Estate,114,80,21060,2,3981.9025,8,3,TX,Matt Martin Real Estate Management
78,Alexandria,Virginia,"Washington, DC",15846100,celerity-ventures,Real Estate,7,81,22950,1,3959.9899,3,3,VA,Celerity Ventures
79,Brentwood,Tennessee,Nashville,26157000,ase-direct,Government Services,17,82,19412,3,3924.1538,82,7,TN,ASE Direct
80,San Rafael,California,San Francisco,6732618,evolving-wisdom,Education,29,83,22951,1,3923.6292,4,19,CA,Evolving Wisdom
81,Boston,Massachusetts,Boston,29447000,next-step-living,Energy,502,84,22952,1,3890.1084,6,16,MA,Next Step Living
82,Austin,Texas,Austin,9674549,vital-farms,Food & Beverage,30,85,21008,2,3877.5966,18,11,TX,Vital Farms
83,Addison,Texas,Dallas,5475668,c-dm-network,Construction,19,86,21040,2,3854.9787,8,20,TX,C-DM Network
84,Stafford,Texas,Houston,4051000,salesstaff,Business Products & Services,60,87,22953,1,3833.0097,22,17,TX,SalesStaff
85,Laramie,Wyoming,"Laramie, WY",8039867,welldog,Energy,42,88,22954,1,3758.0868,119,16,WY,WellDog
86,Boca Raton,Florida,Miami,12034984,skm-media-group,Advertising & Marketing,20,89,22955,1,3751.6509,1,5,FL,SKM Media Group
