,Unnamed: 0,city,state_l,metro,revenue,url,industry,workers,rank,id,yrs_on_list,growth,ifmid,ifiid,state_s,company,hr-ratio
0,0,Los Angeles,California,Los Angeles,116247698,loot-crate,Consumer Products & Services,218,1,42940,1,66788.5962,2,4,CA,Loot Crate,533246.3211009174
1,1,Somerville,Massachusetts,Boston,55018793,paint-nite,Consumer Products & Services,100,2,42941,1,36555.2472,6,4,MA,Paint Nite,550187.93
2,2,Visalia,California,"Visalia-Porterville, CA",33507450,calcom-solar,Energy,47,3,42942,1,31633.5448,172,16,CA,CalCom Solar,712924.4680851063
3,3,Evansville,Indiana,"Evansville, IN-KY",30695215,eluxurysupplycom,Retail,82,4,36643,2,23619.7198,641,18,IN,eLuxurySupply.com,374331.89024390245
4,4,Atlanta,Georgia,Atlanta,33370967,companycom,Business Products & Services,48,5,36639,2,23486.8894,29,17,GA,Company.com,695228.4791666666
5,5,Cambridge,Massachusetts,Boston,17743829,globalization-partners,Business Products & Services,15,6,42943,1,16196.5338,6,17,MA,Globalization Partners,1182921.9333333333
6,6,New York,New York,New York City,15733570,bounce-exchange,Software,130,7,42944,1,14574.6474,9,9,NY,Bounce Exchange,121027.46153846153
7,7,Santa Monica,California,Los Angeles,15598837,los-york,Advertising & Marketing,25,8,42945,1,14404.6093,2,5,CA,Los York,623953.48
8,8,Pittsburgh,Pennsylvania,"Pittsburgh, PA",42425003,pantherx-specialty-pharmacy,Health,39,9,42946,1,13380.8799,52,10,PA,PANTHERx Specialty Pharmacy,1087820.5897435897
9,9,Leesburg,Virginia,"Washington, DC",25863238,fedbiz-it-solutions,Government Services,9,10,42947,1,12620.5845,3,7,VA,FedBiz IT Solutions,2873693.111111111
10,10,Columbus,Ohio,"Columbus, OH",12369863,small-business-owners-of-america,Financial Services,14,11,42948,1,12059.8622,19,2,OH,Small Business Owners of America,883561.6428571428
11,11,Charlotte,North Carolina,Charlotte,11518066,planit-group,IT Services,52,12,42949,1,11525.3681,43,8,NC,PLANIT GROUP,221501.26923076922
12,12,San Diego,California,San Diego,65877327,suja-juice,Food & Beverage,250,13,42950,1,10511.0846,11,11,CA,Suja Juice,263509.308
13,13,Addison,Texas,Dallas,28804779,s2-capital,Real Estate,105,14,42951,1,9645.7324,8,3,TX,S2 Capital,274331.22857142857
14,14,Grand Rapids,Michigan,"Grand Rapids-Wyoming, MI",11212596,formulafolio-investments,Financial Services,35,15,37197,2,9400.5092,219,2,MI,FormulaFolio Investments,320359.8857142857
15,15,New York,New York,New York City,17432811,persado,Software,171,16,42952,1,9389.7747,9,9,NY,Persado,101946.26315789473
16,16,Carson,California,Los Angeles,11449478,berkley,Manufacturing,15,17,42953,1,9249.2602,2,15,CA,Berkley,763298.5333333333
17,17,New York,New York,New York City,14917600,exusia,IT Services,185,18,42954,1,8803.2659,9,8,NY,Exusia,80635.67567567568
18,18,Roswell,Georgia,Atlanta,23181949,thrive-farmers,Food & Beverage,35,19,42955,1,8577.1781,29,11,GA,Thrive Farmers,662341.4
19,19,Hollywood,Florida,Miami,8629685,tribeca-marketing-group,Education,10,20,42956,1,8395.2895,1,19,FL,Tribeca Marketing Group,862968.5
20,20,Westchester,Illinois,Chicago,17349869,ch-financial-services,Financial Services,15,21,36809,2,8052.9041,17,2,IL,C&H Financial Services,1156657.9333333333
21,21,Apollo Beach,Florida,Tampa,8099089,paykings,Financial Services,6,22,42957,1,7905.4255,7,2,FL,PAYKINGS,1349848.1666666667
22,22,Londonderry,New Hampshire,Boston,8003634,highland-project-logistics,Logistics & Transportation,5,23,42958,1,7903.554,6,6,NH,Highland Project Logistics,1600726.8
23,23,Annapolis,Maryland,Baltimore,8623201,furniture-solutions-group,Business Products & Services,8,24,42959,1,7799.5978,35,17,MD,Furniture Solutions Group,1077900.125
24,24,Oakbrook,Illinois,Chicago,971148423,midwest-equity-mortgage,Financial Services,200,25,37267,2,7754.3956,17,2,IL,Midwest Equity Mortgage,4855742.115
25,25,San Diego,California,San Diego,19031027,big-block-realty,Real Estate,16,26,42960,1,7612.7068,11,3,CA,Big Block Realty,1189439.1875
26,26,Irvine,California,Los Angeles,11100000,cylance,Security,235,26,44578,1,7613.0469,2,13,CA,Cylance,47234.04255319149
27,27,Boca Raton,Florida,Miami,9718979,blackstone-labs,Health,30,27,42961,1,7546.0566,1,10,FL,Blackstone Labs,323965.9666666667
28,28,Chicago,Illinois,Chicago,18557648,elements-holdings-group-inc-subsidiaries,Business Products & Services,25,28,42962,1,7117.1678,17,17,IL,Elements Holdings Group Inc & Subsidiaries,742305.92
29,29,Washington,Utah,"St. George, UT",13005808,legend-solar,Energy,140,29,42963,1,7101.8827,308,16,UT,Legend Solar,92898.62857142858
30,30,Cedarhurst,New York,New York City,14855156,taldepotcom,Retail,72,30,42964,1,6988.2629,9,18,NY,Taldepot.com,206321.61111111112
31,31,Savannah,Georgia,"Savannah, GA",9392978,nine-line-apparel,Retail,105,31,42965,1,6961.9116,86,18,GA,Nine Line Apparel,89456.93333333333
32,32,St. Petersburg,Florida,Tampa,7548189,the-penny-hoarder,Media,17,32,42966,1,6934.2,7,12,FL,The Penny Hoarder,444011.1176470588
33,33,Maple Grove,Minnesota,Minneapolis,8012390,inspire-medical-systems,Health,67,33,42967,1,6889.2358,13,10,MN,Inspire Medical Systems,119587.9104477612
34,34,Draper,Utah,Salt Lake City,6678264,the-phoenix-recovery-counseling-centers,Health,45,34,42968,1,6545.0388,12,10,UT,The Phoenix Recovery & Counseling Centers,148405.86666666667
35,35,Greenbelt,Maryland,"Washington, DC",43416041,n2grate,Government Services,31,35,42969,1,6402.4541,3,7,MD,n2grate,1400517.4516129033
36,36,Guilderland Center,New York,"Albany-Schenectady-Troy, NY",7427427,remarkable-liquids,Food & Beverage,36,36,42970,1,6186.9173,146,11,NY,Remarkable Liquids,206317.41666666666
37,37,Auburn,Alabama,,9783962,chicken-salad-chick,Food & Beverage,27,37,42971,1,6042.7337,998,11,AL,Chicken Salad Chick,362368.962962963
38,38,Boston,Massachusetts,Boston,6477979,haystackid,IT Services,68,38,36685,2,5962.3447,6,8,MA,HAYSTACKID,95264.39705882352
39,39,Manalapan,New Jersey,New York City,12244587,chelsea-financial-group,Insurance,5,39,42972,1,5961.1366,9,1,NJ,Chelsea Financial Group,2448917.4
40,40,Dallas,Texas,Dallas,661260608,jm-bullion,Financial Services,37,40,42973,1,5907.0651,8,2,TX,JM Bullion,17871908.324324325
41,41,Irvine,California,Los Angeles,6583181,cirruspath,Software,56,41,42974,1,5903.1561,2,9,CA,Cirruspath,117556.80357142857
42,42,Smyrna,Georgia,Atlanta,49053588,castle-medical,Health,302,42,36634,2,5882.1595,29,10,GA,Castle Medical,162429.09933774834
43,43,Cottonwood Heights,Utah,Salt Lake City,130066373,zurixx,Education,101,43,42975,1,5626.0982,12,19,UT,Zurixx,1287785.8712871287
44,44,Atlanta,Georgia,Atlanta,5890205,macstadium,IT Services,15,44,42976,1,5341.1471,29,8,GA,MacStadium,392680.3333333333
45,45,Chicago,Illinois,Chicago,13614808,revamp-electronics,Business Products & Services,27,45,36671,2,5301.0727,17,17,IL,ReVamp Electronics,504252.14814814815
46,46,Omaha,Nebraska,"Omaha-Council Bluffs, NE-IA",24522882,atlas-medstaff,Health,40,46,42977,1,5229.4509,97,10,NE,Atlas MedStaff,613072.05
47,47,San Diego,California,San Diego,31674347,chosen-foods,Food & Beverage,25,47,42978,1,5147.8332,11,11,CA,Chosen Foods,1266973.88
48,48,Irvine,California,Los Angeles,30137895,bigrentz,Construction,95,48,42979,1,5092.6703,2,20,CA,BigRentz,317241.0
49,49,Springfield,Virginia,"Washington, DC",7190767,interactive-government-holdings,Government Services,138,49,42980,1,5057.8884,3,7,VA,Interactive Government Holdings,52107.00724637681
50,50,Columbia City,Indiana,"Fort Wayne, IN",19504848,impact-cnc,Manufacturing,100,50,42981,1,4929.7579,162,15,IN,Impact CNC,195048.48
51,51,Redwood City,California,San Francisco,21630111,man-crates,Retail,32,51,42982,1,4900.1528,4,18,CA,Man Crates,675940.96875
52,52,Irvine,California,Los Angeles,10298685,prescribewellness,Health,68,52,36751,2,4897.4694,2,10,CA,PrescribeWellness,151451.25
53,53,Los Angeles,California,Los Angeles,21566739,elevate-services,Business Products & Services,419,53,42983,1,4895.1914,2,17,CA,Elevate Services,51471.930787589496
54,54,Fresno,California,"Fresno, CA",12979142,pgm,Construction,35,54,42984,1,4842.7216,345,20,CA,PGM,370832.6285714286
55,55,Arlington,Virginia,"Washington, DC",11633759,bytecubed,IT Services,70,55,42985,1,4767.6816,3,8,VA,ByteCubed,166196.55714285714
56,56,Arlington,Virginia,"Washington, DC",34434049,excel-group,Real Estate,4,56,36697,2,4693.7321,3,3,VA,Excel Group,8608512.25
57,57,Wall Township,New Jersey,New York City,4792485,mp-consulting-services,Construction,9,57,42986,1,4664.8015,9,20,NJ,MP Consulting Services,532498.3333333334
58,58,Paramus,New Jersey,New York City,39506854,edufficient,Education,38,58,42987,1,4578.9776,9,19,NJ,Edufficient,1039654.052631579
59,59,Omaha,Nebraska,"Omaha-Council Bluffs, NE-IA",25687895,prime-time-healthcare,Health,38,59,42988,1,4396.1493,97,10,NE,Prime Time Healthcare,675997.2368421053
60,60,Fort Lauderdale,Florida,Miami,47072712,orangetheory-fitness,Health,93,60,25214,3,4308.4283,1,10,FL,Orangetheory Fitness,506158.1935483871
61,61,Scottsdale,Arizona,Phoenix,5509381,sparty-ventures,Advertising & Marketing,5,61,37416,2,4271.6919,46,5,AZ,Sparty Ventures,1101876.2
62,62,Greenville,South Carolina,"Greenville-Anderson-Mauldin, SC",24977109,sandlapper-capital-investments,Financial Services,16,62,42989,1,4228.7584,1000,2,SC,Sandlapper Capital Investments,1561069.3125
63,63,Charlestown,Massachusetts,Boston,6049710,downeast-cider-house,Food & Beverage,34,63,42990,1,4215.5496,6,11,MA,Downeast Cider House,177932.64705882352
64,64,Irvine,California,"Santa Cruz-Watsonville, CA",4695998,neurostructures,Health,10,64,42991,1,4208.5713,42,10,CA,NeuroStructures,469599.8
65,65,Marina del Rey,California,Los Angeles,152436398,dollar-shave-club,Consumer Products & Services,180,65,42992,1,4191.3212,2,4,CA,Dollar Shave Club,846868.8777777777
66,66,Clearwater,Florida,Tampa,11599482,stratus-video,Telecommunications,111,66,22176,4,4190.13,7,14,FL,Stratus Video,104499.83783783784
67,67,Orlando,Florida,"Orlando, FL",8451576,united-commerce-group,Retail,20,67,42993,1,4164.0364,68,18,FL,United Commerce Group,422578.8
